step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,1.04092,"{""ntp"": 1.0091311931610107, ""jepa_pooled"": 0.0317847803235054}",0.00000,0.21344,22.53,1.00e-03,256190
400,0.24288,"{""ntp"": 0.22057034075260162, ""jepa_pooled"": 0.022305574268102646}",0.17969,0.46245,37.91,9.94e-04,265635
600,0.16187,"{""ntp"": 0.14485737681388855, ""jepa_pooled"": 0.017007770016789436}",0.30078,0.56917,40.04,9.76e-04,268287
800,0.15783,"{""ntp"": 0.14430490136146545, ""jepa_pooled"": 0.013523895293474197}",0.28906,0.54150,42.46,9.46e-04,269529
1000,0.12711,"{""ntp"": 0.11373546719551086, ""jepa_pooled"": 0.01337555143982172}",0.37500,0.60079,41.43,9.05e-04,271469
1200,0.10448,"{""ntp"": 0.09336564689874649, ""jepa_pooled"": 0.011112560518085957}",0.39844,0.56126,42.26,8.55e-04,271823
1400,0.11439,"{""ntp"": 0.10379689931869507, ""jepa_pooled"": 0.010590905323624611}",0.41406,0.58498,42.57,7.96e-04,272135
1600,0.10337,"{""ntp"": 0.09358956664800644, ""jepa_pooled"": 0.009779934771358967}",0.43359,0.60474,42.54,7.31e-04,272376
1800,0.10479,"{""ntp"": 0.09526363015174866, ""jepa_pooled"": 0.00952562689781189}",0.48047,0.60079,45.03,6.60e-04,272585
2000,0.08926,"{""ntp"": 0.0800950825214386, ""jepa_pooled"": 0.009169399738311768}",0.48438,0.66403,45.31,5.87e-04,272807
2200,0.08674,"{""ntp"": 0.07721836119890213, ""jepa_pooled"": 0.00952132884413004}",0.54297,0.67589,45.07,5.13e-04,272968
2400,0.07919,"{""ntp"": 0.0689617320895195, ""jepa_pooled"": 0.010224674828350544}",0.49219,0.65613,47.07,4.40e-04,273715
2600,0.07860,"{""ntp"": 0.0685073733329773, ""jepa_pooled"": 0.010093767195940018}",0.61719,0.72727,47.26,3.69e-04,274409
2800,0.07470,"{""ntp"": 0.06338944286108017, ""jepa_pooled"": 0.011308162473142147}",0.60547,0.71937,47.51,3.04e-04,274799
3000,0.07350,"{""ntp"": 0.061934180557727814, ""jepa_pooled"": 0.011565743945538998}",0.66797,0.76285,47.68,2.45e-04,275132
3200,0.07109,"{""ntp"": 0.05996350198984146, ""jepa_pooled"": 0.011129174381494522}",0.62109,0.71146,48.85,1.95e-04,275527
3400,0.06803,"{""ntp"": 0.05647294968366623, ""jepa_pooled"": 0.011552062816917896}",0.61328,0.71542,48.26,1.54e-04,275808
3600,0.07421,"{""ntp"": 0.06180240958929062, ""jepa_pooled"": 0.012405700981616974}",0.64844,0.75494,47.71,1.24e-04,276050
3800,0.06825,"{""ntp"": 0.056184496730566025, ""jepa_pooled"": 0.012067532166838646}",0.59766,0.67589,47.94,1.06e-04,276264
4000,0.07112,"{""ntp"": 0.05857167765498161, ""jepa_pooled"": 0.012544484809041023}",0.62109,0.70751,46.67,1.00e-04,276480
