step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,0.76062,"{""ntp"": 0.7318100929260254, ""jepa_pooled"": 0.02881031110882759}",0.00781,0.33597,25.50,1.00e-03,262220
400,0.22633,"{""ntp"": 0.20587916672229767, ""jepa_pooled"": 0.020452003926038742}",0.27344,0.49012,31.68,9.94e-04,272420
600,0.16602,"{""ntp"": 0.1446540653705597, ""jepa_pooled"": 0.021363329142332077}",0.32422,0.50198,33.29,9.76e-04,275237
800,0.15795,"{""ntp"": 0.1372087150812149, ""jepa_pooled"": 0.020743707194924355}",0.33984,0.52174,33.66,9.46e-04,276704
1000,0.13923,"{""ntp"": 0.12066124379634857, ""jepa_pooled"": 0.018569327890872955}",0.41406,0.58498,33.56,9.05e-04,277650
1200,0.12285,"{""ntp"": 0.1019274964928627, ""jepa_pooled"": 0.02092326618731022}",0.41406,0.57312,32.88,8.55e-04,278329
1400,0.11981,"{""ntp"": 0.10143128037452698, ""jepa_pooled"": 0.018374258652329445}",0.45312,0.60079,32.83,7.96e-04,278823
1600,0.11321,"{""ntp"": 0.09433458000421524, ""jepa_pooled"": 0.01887163519859314}",0.45703,0.56917,32.26,7.31e-04,279216
1800,0.09921,"{""ntp"": 0.08132372051477432, ""jepa_pooled"": 0.0178822074085474}",0.52344,0.61660,32.40,6.60e-04,279543
2000,0.09817,"{""ntp"": 0.08011920005083084, ""jepa_pooled"": 0.018049539998173714}",0.48047,0.58498,32.01,5.87e-04,279854
2200,0.09616,"{""ntp"": 0.08014514297246933, ""jepa_pooled"": 0.0160189401358366}",0.50391,0.60870,31.61,5.13e-04,279958
2400,0.09414,"{""ntp"": 0.07835377007722855, ""jepa_pooled"": 0.015783967450261116}",0.51953,0.64032,31.09,4.40e-04,280039
2600,0.08041,"{""ntp"": 0.0663951188325882, ""jepa_pooled"": 0.014012225903570652}",0.53906,0.65217,30.58,3.69e-04,280138
2800,0.07973,"{""ntp"": 0.06658543646335602, ""jepa_pooled"": 0.013147281482815742}",0.51562,0.62451,29.57,3.04e-04,280220
3000,0.07399,"{""ntp"": 0.06287811696529388, ""jepa_pooled"": 0.011108704842627048}",0.53906,0.63636,29.97,2.45e-04,280279
3200,0.07473,"{""ntp"": 0.06415031105279922, ""jepa_pooled"": 0.010578821413218975}",0.57422,0.65217,28.50,1.95e-04,280349
3400,0.07679,"{""ntp"": 0.06538906693458557, ""jepa_pooled"": 0.011400362476706505}",0.58984,0.67194,28.06,1.54e-04,280426
3600,0.06563,"{""ntp"": 0.05510177090764046, ""jepa_pooled"": 0.01052851416170597}",0.63281,0.68775,28.34,1.24e-04,280655
3800,0.06563,"{""ntp"": 0.054927073419094086, ""jepa_pooled"": 0.010706640779972076}",0.62500,0.69170,27.69,1.06e-04,280676
4000,0.06670,"{""ntp"": 0.0565982349216938, ""jepa_pooled"": 0.010098883882164955}",0.62500,0.69565,27.93,1.00e-04,280728
