step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,0.78118,"{""ntp"": 0.7451910376548767, ""jepa_pooled"": 0.035993464291095734}",0.01953,0.32411,25.27,1.00e-03,267813
400,0.24372,"{""ntp"": 0.1851920783519745, ""jepa_pooled"": 0.05852906033396721}",0.28906,0.49407,32.71,9.94e-04,279014
600,0.20915,"{""ntp"": 0.12412009388208389, ""jepa_pooled"": 0.0850282534956932}",0.32422,0.50593,31.05,9.76e-04,282302
800,0.21324,"{""ntp"": 0.11934205144643784, ""jepa_pooled"": 0.09390175342559814}",0.37109,0.53360,28.55,9.46e-04,284228
1000,0.20878,"{""ntp"": 0.1108364388346672, ""jepa_pooled"": 0.09794565290212631}",0.40625,0.56917,27.83,9.05e-04,285425
1200,0.20094,"{""ntp"": 0.09991074353456497, ""jepa_pooled"": 0.101034015417099}",0.44922,0.58498,24.18,8.55e-04,286185
1400,0.19881,"{""ntp"": 0.09650231152772903, ""jepa_pooled"": 0.10230328887701035}",0.42578,0.53755,24.91,7.96e-04,286729
1600,0.19741,"{""ntp"": 0.09462767839431763, ""jepa_pooled"": 0.10278516262769699}",0.48828,0.58498,25.47,7.31e-04,287167
1800,0.17827,"{""ntp"": 0.07702621072530746, ""jepa_pooled"": 0.10124582797288895}",0.52344,0.63636,28.05,6.60e-04,287492
2000,0.17016,"{""ntp"": 0.07199367135763168, ""jepa_pooled"": 0.09816844761371613}",0.53516,0.62846,28.79,5.87e-04,287779
2200,0.16762,"{""ntp"": 0.0716889277100563, ""jepa_pooled"": 0.0959281474351883}",0.58594,0.67984,28.23,5.13e-04,288077
2400,0.16536,"{""ntp"": 0.07392127811908722, ""jepa_pooled"": 0.09143929928541183}",0.56641,0.66798,27.43,4.40e-04,288270
2600,0.14505,"{""ntp"": 0.05650576949119568, ""jepa_pooled"": 0.08854309469461441}",0.61719,0.68379,27.16,3.69e-04,288384
2800,0.14568,"{""ntp"": 0.059994447976350784, ""jepa_pooled"": 0.08568908274173737}",0.60156,0.67194,26.41,3.04e-04,288512
3000,0.14830,"{""ntp"": 0.06467729806900024, ""jepa_pooled"": 0.08362027257680893}",0.57031,0.66403,26.57,2.45e-04,288636
3200,0.13806,"{""ntp"": 0.0566709004342556, ""jepa_pooled"": 0.08138930052518845}",0.66016,0.70356,26.04,1.95e-04,288777
3400,0.13373,"{""ntp"": 0.05421604588627815, ""jepa_pooled"": 0.07951024919748306}",0.61719,0.67589,25.78,1.54e-04,288881
3600,0.12627,"{""ntp"": 0.04824116453528404, ""jepa_pooled"": 0.078026182949543}",0.65234,0.69960,26.06,1.24e-04,289161
3800,0.13126,"{""ntp"": 0.055032070726156235, ""jepa_pooled"": 0.07622642070055008}",0.63672,0.68775,24.58,1.06e-04,289258
4000,0.12151,"{""ntp"": 0.04636035114526749, ""jepa_pooled"": 0.0751546323299408}",0.65625,0.70751,24.62,1.00e-04,289325
