step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,2.27103,"{""ntp"": 0.9596375823020935, ""mtp"": 1.2868317365646362, ""jepa_pooled"": 0.02455836534500122}",0.00000,0.28627,21.02,1.00e-03,247157
400,1.72093,"{""ntp"": 0.5600552558898926, ""mtp"": 1.1387051343917847, ""jepa_pooled"": 0.022171562537550926}",0.02734,0.42353,16.57,9.94e-04,253358
600,1.52866,"{""ntp"": 0.449105829000473, ""mtp"": 1.0529706478118896, ""jepa_pooled"": 0.026582064107060432}",0.07031,0.44706,15.65,9.76e-04,256271
800,1.46928,"{""ntp"": 0.4174448847770691, ""mtp"": 1.0189323425292969, ""jepa_pooled"": 0.032898616045713425}",0.06641,0.50196,9.64,9.46e-04,257898
1000,1.42431,"{""ntp"": 0.3939642906188965, ""mtp"": 0.9929878115653992, ""jepa_pooled"": 0.03735574707388878}",0.08984,0.48627,7.78,9.05e-04,258657
1200,1.44161,"{""ntp"": 0.38493403792381287, ""mtp"": 1.0171732902526855, ""jepa_pooled"": 0.039504729211330414}",0.10938,0.50588,8.36,8.55e-04,259077
1400,1.33964,"{""ntp"": 0.3404650390148163, ""mtp"": 0.9594899415969849, ""jepa_pooled"": 0.03968697786331177}",0.14453,0.60392,6.40,7.96e-04,259126
1600,1.30952,"{""ntp"": 0.32723501324653625, ""mtp"": 0.943488359451294, ""jepa_pooled"": 0.038794197142124176}",0.17578,0.52157,6.69,7.31e-04,259287
1800,1.23456,"{""ntp"": 0.27569013833999634, ""mtp"": 0.9194102883338928, ""jepa_pooled"": 0.03946159780025482}",0.16016,0.60000,5.83,6.60e-04,259236
2000,1.16751,"{""ntp"": 0.25111880898475647, ""mtp"": 0.8777931332588196, ""jepa_pooled"": 0.038600023835897446}",0.17188,0.57255,6.55,5.87e-04,259048
2200,1.07528,"{""ntp"": 0.1714404821395874, ""mtp"": 0.8627535700798035, ""jepa_pooled"": 0.041088834404945374}",0.28906,0.60784,5.97,5.13e-04,259254
2400,1.00985,"{""ntp"": 0.12860170006752014, ""mtp"": 0.8403800129890442, ""jepa_pooled"": 0.04086857661604881}",0.40234,0.65098,7.25,4.40e-04,259284
2600,0.92014,"{""ntp"": 0.09428295493125916, ""mtp"": 0.7854027152061462, ""jepa_pooled"": 0.040457677096128464}",0.44141,0.64706,6.12,3.69e-04,259408
2800,0.88201,"{""ntp"": 0.0823669582605362, ""mtp"": 0.7598767876625061, ""jepa_pooled"": 0.03976563736796379}",0.57422,0.70588,6.25,3.04e-04,259397
3000,0.82213,"{""ntp"": 0.06311789155006409, ""mtp"": 0.7177226543426514, ""jepa_pooled"": 0.04128503426909447}",0.59766,0.71765,5.80,2.45e-04,259307
3200,0.79792,"{""ntp"": 0.061824239790439606, ""mtp"": 0.6946190595626831, ""jepa_pooled"": 0.041477467864751816}",0.62891,0.71373,5.70,1.95e-04,259187
3400,0.81188,"{""ntp"": 0.06129741296172142, ""mtp"": 0.709821879863739, ""jepa_pooled"": 0.040757425129413605}",0.67578,0.76078,5.99,1.54e-04,259523
3600,0.72355,"{""ntp"": 0.03899968042969704, ""mtp"": 0.6427032947540283, ""jepa_pooled"": 0.041851285845041275}",0.67578,0.76078,5.74,1.24e-04,259675
3800,0.74665,"{""ntp"": 0.048878151923418045, ""mtp"": 0.6565841436386108, ""jepa_pooled"": 0.04119126871228218}",0.67969,0.75294,5.70,1.06e-04,259741
4000,0.72497,"{""ntp"": 0.04062827676534653, ""mtp"": 0.6424851417541504, ""jepa_pooled"": 0.04185967147350311}",0.71484,0.80000,5.68,1.00e-04,259872
