step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,2.30942,"{""ntp"": 0.9904832243919373, ""mtp"": 1.3059957027435303, ""jepa_pooled"": 0.012936105951666832}",0.00391,0.31225,24.79,1.00e-03,239462
400,1.46517,"{""ntp"": 0.31876763701438904, ""mtp"": 1.1332515478134155, ""jepa_pooled"": 0.013151222839951515}",0.15234,0.46640,34.85,9.94e-04,248208
600,1.20477,"{""ntp"": 0.1365608125925064, ""mtp"": 1.048093318939209, ""jepa_pooled"": 0.02011198177933693}",0.35156,0.54941,43.70,9.76e-04,253377
800,1.09131,"{""ntp"": 0.1222546175122261, ""mtp"": 0.9417524933815002, ""jepa_pooled"": 0.027298077940940857}",0.42188,0.58498,51.99,9.46e-04,255962
1000,1.06083,"{""ntp"": 0.1210254654288292, ""mtp"": 0.912726104259491, ""jepa_pooled"": 0.027076005935668945}",0.45312,0.59684,57.45,9.05e-04,257283
1200,0.97464,"{""ntp"": 0.10249311476945877, ""mtp"": 0.8473409414291382, ""jepa_pooled"": 0.024809574708342552}",0.44141,0.59289,59.19,8.55e-04,258272
1400,0.91718,"{""ntp"": 0.09353365004062653, ""mtp"": 0.8019251227378845, ""jepa_pooled"": 0.021723486483097076}",0.52734,0.62846,62.36,7.96e-04,258765
1600,0.86121,"{""ntp"": 0.07738454639911652, ""mtp"": 0.7621229887008667, ""jepa_pooled"": 0.021698160097002983}",0.55859,0.65217,63.08,7.31e-04,259364
1800,0.81913,"{""ntp"": 0.07631967216730118, ""mtp"": 0.7209654450416565, ""jepa_pooled"": 0.021849416196346283}",0.55859,0.65613,65.62,6.60e-04,259776
2000,0.76760,"{""ntp"": 0.06465104967355728, ""mtp"": 0.6808419823646545, ""jepa_pooled"": 0.022111836820840836}",0.60156,0.69960,68.79,5.87e-04,260046
2200,0.75307,"{""ntp"": 0.07121201604604721, ""mtp"": 0.6596197485923767, ""jepa_pooled"": 0.02223356068134308}",0.60156,0.67984,67.51,5.13e-04,260420
2400,0.73631,"{""ntp"": 0.07311923801898956, ""mtp"": 0.6402881145477295, ""jepa_pooled"": 0.022901080548763275}",0.63281,0.71542,66.73,4.40e-04,260560
2600,0.68172,"{""ntp"": 0.047957099974155426, ""mtp"": 0.6107826232910156, ""jepa_pooled"": 0.022980526089668274}",0.66016,0.73123,65.08,3.69e-04,260800
2800,0.65631,"{""ntp"": 0.050154656171798706, ""mtp"": 0.5832602977752686, ""jepa_pooled"": 0.022897997871041298}",0.64844,0.71542,63.69,3.04e-04,260889
3000,0.64361,"{""ntp"": 0.05202868580818176, ""mtp"": 0.5688025951385498, ""jepa_pooled"": 0.022775981575250626}",0.69922,0.75099,64.23,2.45e-04,261082
3200,0.60956,"{""ntp"": 0.04166568070650101, ""mtp"": 0.5450208187103271, ""jepa_pooled"": 0.02287743054330349}",0.69141,0.74704,62.50,1.95e-04,261208
3400,0.59943,"{""ntp"": 0.043396253138780594, ""mtp"": 0.5332264304161072, ""jepa_pooled"": 0.022804003208875656}",0.71094,0.75494,62.71,1.54e-04,261283
3600,0.61098,"{""ntp"": 0.046990782022476196, ""mtp"": 0.5412839651107788, ""jepa_pooled"": 0.02270146831870079}",0.72266,0.77075,61.20,1.24e-04,261420
3800,0.59855,"{""ntp"": 0.04525865614414215, ""mtp"": 0.5305647850036621, ""jepa_pooled"": 0.02273138053715229}",0.75000,0.79447,60.02,1.06e-04,261491
4000,0.58846,"{""ntp"": 0.042527519166469574, ""mtp"": 0.5233323574066162, ""jepa_pooled"": 0.022603686898946762}",0.74219,0.78656,58.66,1.00e-04,261598
