step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,1.04047,"{""ntp"": 1.0114753246307373, ""jepa_pooled"": 0.028998004272580147}",0.00000,0.23922,20.90,1.00e-03,276915
400,0.28568,"{""ntp"": 0.24507081508636475, ""jepa_pooled"": 0.040613818913698196}",0.16406,0.45882,37.55,9.94e-04,285199
600,0.21720,"{""ntp"": 0.1677975058555603, ""jepa_pooled"": 0.04940260946750641}",0.26562,0.53333,43.85,9.76e-04,289036
800,0.21912,"{""ntp"": 0.16259750723838806, ""jepa_pooled"": 0.056522347033023834}",0.30469,0.55686,44.85,9.46e-04,290113
1000,0.18969,"{""ntp"": 0.12900128960609436, ""jepa_pooled"": 0.06068474054336548}",0.32031,0.54118,48.03,9.05e-04,289865
1200,0.19006,"{""ntp"": 0.1267050802707672, ""jepa_pooled"": 0.06335636973381042}",0.38281,0.51373,50.96,8.55e-04,290153
1400,0.16017,"{""ntp"": 0.09566343575716019, ""jepa_pooled"": 0.06450413167476654}",0.42578,0.55294,52.01,7.96e-04,290315
1600,0.15240,"{""ntp"": 0.08869045972824097, ""jepa_pooled"": 0.0637078657746315}",0.41797,0.56863,53.29,7.31e-04,290687
1800,0.15422,"{""ntp"": 0.09072498977184296, ""jepa_pooled"": 0.06349684298038483}",0.42578,0.59608,54.96,6.60e-04,290997
2000,0.14363,"{""ntp"": 0.08111105114221573, ""jepa_pooled"": 0.06252201646566391}",0.46875,0.62745,56.14,5.87e-04,291115
2200,0.13282,"{""ntp"": 0.07229958474636078, ""jepa_pooled"": 0.06051914393901825}",0.53516,0.66275,55.95,5.13e-04,291301
2400,0.12369,"{""ntp"": 0.06442718952894211, ""jepa_pooled"": 0.05926164239645004}",0.54297,0.67843,56.29,4.40e-04,291703
2600,0.12105,"{""ntp"": 0.06283774226903915, ""jepa_pooled"": 0.058209169656038284}",0.58594,0.70588,55.99,3.69e-04,292535
2800,0.12562,"{""ntp"": 0.06934329122304916, ""jepa_pooled"": 0.0562816746532917}",0.54688,0.65490,57.69,3.04e-04,292657
3000,0.11531,"{""ntp"": 0.061357468366622925, ""jepa_pooled"": 0.05395185574889183}",0.65234,0.73725,55.49,2.45e-04,292753
3200,0.10940,"{""ntp"": 0.05672276020050049, ""jepa_pooled"": 0.05267368257045746}",0.64844,0.74902,54.93,1.95e-04,292805
3400,0.10902,"{""ntp"": 0.057755712419748306, ""jepa_pooled"": 0.051263343542814255}",0.63672,0.73725,54.20,1.54e-04,292862
3600,0.09353,"{""ntp"": 0.04392443969845772, ""jepa_pooled"": 0.04960161820054054}",0.69531,0.76078,53.95,1.24e-04,292926
3800,0.10342,"{""ntp"": 0.054361555725336075, ""jepa_pooled"": 0.0490567646920681}",0.69141,0.78431,54.29,1.06e-04,293002
4000,0.09434,"{""ntp"": 0.04659576341509819, ""jepa_pooled"": 0.04774489998817444}",0.68359,0.76471,51.65,1.00e-04,293075
