step,loss,loss_parts,embed_acc,perm_valid,edge_f1,erank_last,lr,tok_per_s
200,0.98368,"{""ntp"": 0.9628357887268066, ""jepa_pooled"": 0.020848160609602928}",0.00000,0.13281,0.12899,7.06,1.00e-03,188302
400,0.72783,"{""ntp"": 0.7074576616287231, ""jepa_pooled"": 0.020370181649923325}",0.00000,0.92188,0.17630,13.10,9.94e-04,198392
600,0.32214,"{""ntp"": 0.28753069043159485, ""jepa_pooled"": 0.034606415778398514}",0.01562,0.16406,0.74293,20.76,9.76e-04,213636
800,0.28462,"{""ntp"": 0.2518233060836792, ""jepa_pooled"": 0.03279886022210121}",0.01172,0.25000,0.75109,22.92,9.46e-04,215770
1000,0.27268,"{""ntp"": 0.23964959383010864, ""jepa_pooled"": 0.03303417190909386}",0.00781,0.21484,0.75974,24.21,9.05e-04,213994
1200,0.27916,"{""ntp"": 0.24616554379463196, ""jepa_pooled"": 0.03299019858241081}",0.01562,0.10938,0.75096,24.78,8.55e-04,213333
1400,0.26264,"{""ntp"": 0.22922450304031372, ""jepa_pooled"": 0.033414077013731}",0.02734,0.17188,0.76368,25.39,7.96e-04,212641
1600,0.26730,"{""ntp"": 0.22973965108394623, ""jepa_pooled"": 0.037563905119895935}",0.02344,0.17969,0.75787,23.83,7.31e-04,212007
1800,0.26134,"{""ntp"": 0.22572645545005798, ""jepa_pooled"": 0.03561224415898323}",0.01562,0.23438,0.77206,25.63,6.60e-04,211556
2000,0.25671,"{""ntp"": 0.22022369503974915, ""jepa_pooled"": 0.03649083152413368}",0.02734,0.30859,0.78030,26.20,5.87e-04,211354
2200,0.25860,"{""ntp"": 0.22226665914058685, ""jepa_pooled"": 0.0363362580537796}",0.02734,0.18750,0.75933,26.46,5.13e-04,211191
2400,0.25433,"{""ntp"": 0.21770326793193817, ""jepa_pooled"": 0.0366235114634037}",0.03125,0.23438,0.76952,25.69,4.40e-04,211108
2600,0.25317,"{""ntp"": 0.21577823162078857, ""jepa_pooled"": 0.03738699108362198}",0.02734,0.14062,0.75610,25.58,3.69e-04,211019
2800,0.25233,"{""ntp"": 0.2144157737493515, ""jepa_pooled"": 0.037918996065855026}",0.04297,0.38281,0.78308,25.05,3.04e-04,211152
3000,0.25274,"{""ntp"": 0.214737668633461, ""jepa_pooled"": 0.03800315782427788}",0.01953,0.28125,0.75511,24.51,2.45e-04,211090
3200,0.24587,"{""ntp"": 0.20780834555625916, ""jepa_pooled"": 0.03806113079190254}",0.02734,0.26953,0.77333,24.81,1.95e-04,211015
3400,0.24087,"{""ntp"": 0.20251590013504028, ""jepa_pooled"": 0.03835426643490791}",0.00781,0.26562,0.73447,23.56,1.54e-04,210964
3600,0.24247,"{""ntp"": 0.20392440259456635, ""jepa_pooled"": 0.03854707255959511}",0.04297,0.33594,0.77689,23.25,1.24e-04,210907
3800,0.24093,"{""ntp"": 0.2028346210718155, ""jepa_pooled"": 0.03809068724513054}",0.03125,0.30078,0.76850,23.74,1.06e-04,210816
4000,0.24026,"{""ntp"": 0.20222967863082886, ""jepa_pooled"": 0.03802794963121414}",0.02344,0.25000,0.75107,22.73,1.00e-04,211414
