step,loss,loss_parts,embed_acc,perm_valid,edge_f1,erank_last,lr,tok_per_s
200,1.12110,"{""ntp"": 1.1210986375808716}",0.00000,0.00000,0.06888,2.33,1.00e-03,211281
400,0.90557,"{""ntp"": 0.90557461977005}",0.00000,0.25781,0.12859,3.45,9.94e-04,223516
600,0.79987,"{""ntp"": 0.799865186214447}",0.00000,0.91406,0.12834,4.62,9.76e-04,227360
800,0.68551,"{""ntp"": 0.6855097413063049}",0.00000,0.92578,0.15087,7.37,9.46e-04,229106
1000,0.64921,"{""ntp"": 0.6492072343826294}",0.00000,0.96875,0.15228,7.23,9.05e-04,229939
1200,0.63290,"{""ntp"": 0.6328970789909363}",0.00000,0.94141,0.15165,7.27,8.55e-04,230807
1400,0.63137,"{""ntp"": 0.6313726902008057}",0.00000,0.96094,0.15769,7.75,7.96e-04,231360
1600,0.61601,"{""ntp"": 0.6160070300102234}",0.00000,0.98047,0.16260,7.68,7.31e-04,231791
1800,0.60107,"{""ntp"": 0.6010676026344299}",0.00000,0.96875,0.19458,8.22,6.60e-04,232180
2000,0.23692,"{""ntp"": 0.23692111670970917}",0.01953,0.39062,0.74108,8.19,5.87e-04,232702
2200,0.23299,"{""ntp"": 0.2329893857240677}",0.01562,0.31641,0.72421,7.88,5.13e-04,232993
2400,0.22092,"{""ntp"": 0.22092457115650177}",0.03125,0.25781,0.75285,7.84,4.40e-04,233287
2600,0.22114,"{""ntp"": 0.22114315629005432}",0.01172,0.26953,0.72714,8.05,3.69e-04,233484
2800,0.21760,"{""ntp"": 0.21759597957134247}",0.03516,0.25000,0.75526,7.89,3.04e-04,233661
3000,0.21676,"{""ntp"": 0.2167598307132721}",0.02734,0.22266,0.74604,7.54,2.45e-04,233767
3200,0.21114,"{""ntp"": 0.21114474534988403}",0.01953,0.20703,0.72921,7.85,1.95e-04,235333
3400,0.20646,"{""ntp"": 0.2064570039510727}",0.03516,0.13672,0.70755,7.66,1.54e-04,236699
3600,0.20689,"{""ntp"": 0.2068943828344345}",0.01953,0.15625,0.73601,7.29,1.24e-04,236736
3800,0.20676,"{""ntp"": 0.2067621648311615}",0.03125,0.16406,0.74592,7.40,1.06e-04,236722
4000,0.21097,"{""ntp"": 0.21097110211849213}",0.05469,0.22656,0.72735,7.46,1.00e-04,236708
