step,loss,loss_parts,embed_acc,perm_valid,edge_f1,erank_last,lr,tok_per_s
200,1.85384,"{""ntp"": 1.2137118577957153, ""mtp"": 0.6401329040527344}",0.00000,0.00000,0.04447,3.78,1.00e-03,247083
400,1.80769,"{""ntp"": 1.1965177059173584, ""mtp"": 0.6111710071563721}",0.00000,0.00000,0.05282,4.43,9.94e-04,254477
600,1.68234,"{""ntp"": 1.0988118648529053, ""mtp"": 0.5835279822349548}",0.00000,0.00000,0.07756,9.08,9.76e-04,257108
800,1.38292,"{""ntp"": 0.8830103278160095, ""mtp"": 0.49991124868392944}",0.00000,0.00781,0.08719,15.55,9.46e-04,258209
1000,1.32342,"{""ntp"": 0.8461319804191589, ""mtp"": 0.4772869050502777}",0.00000,0.09375,0.08251,21.21,9.05e-04,259161
1200,1.26294,"{""ntp"": 0.7978867292404175, ""mtp"": 0.4650487005710602}",0.00000,0.19922,0.08849,28.80,8.55e-04,259774
1400,1.22460,"{""ntp"": 0.7688906192779541, ""mtp"": 0.45570945739746094}",0.00000,0.93750,0.10142,35.43,7.96e-04,260147
1600,0.75071,"{""ntp"": 0.28606390953063965, ""mtp"": 0.4646458029747009}",0.00000,0.17969,0.70423,37.17,7.31e-04,260505
1800,0.61502,"{""ntp"": 0.24954000115394592, ""mtp"": 0.36548230051994324}",0.00000,0.12109,0.72302,35.29,6.60e-04,260829
2000,0.54726,"{""ntp"": 0.23878329992294312, ""mtp"": 0.3084754943847656}",0.00000,0.11719,0.73333,37.93,5.87e-04,261581
2200,0.46896,"{""ntp"": 0.21289955079555511, ""mtp"": 0.25605663657188416}",0.01562,0.07031,0.75161,37.96,5.13e-04,262273
2400,0.45840,"{""ntp"": 0.21351511776447296, ""mtp"": 0.2448863685131073}",0.00391,0.08594,0.75791,41.35,4.40e-04,262759
2600,0.43775,"{""ntp"": 0.19917923212051392, ""mtp"": 0.2385738492012024}",0.01172,0.07812,0.80514,44.76,3.69e-04,264632
2800,0.43618,"{""ntp"": 0.2004942148923874, ""mtp"": 0.2356835901737213}",0.00781,0.07422,0.79520,46.79,3.04e-04,268153
3000,0.42374,"{""ntp"": 0.19470781087875366, ""mtp"": 0.22902870178222656}",0.00391,0.05469,0.75716,44.86,2.45e-04,271266
3200,0.40631,"{""ntp"": 0.18163259327411652, ""mtp"": 0.22467827796936035}",0.01172,0.11328,0.82450,47.60,1.95e-04,274046
3400,0.39684,"{""ntp"": 0.1774931699037552, ""mtp"": 0.21934407949447632}",0.00391,0.09375,0.78844,47.66,1.54e-04,274627
3600,0.38169,"{""ntp"": 0.17072635889053345, ""mtp"": 0.21096493303775787}",0.01562,0.14844,0.82649,46.66,1.24e-04,275176
3800,0.37614,"{""ntp"": 0.16850443184375763, ""mtp"": 0.20763929188251495}",0.00000,0.14453,0.82621,47.26,1.06e-04,274850
4000,0.37819,"{""ntp"": 0.17168739438056946, ""mtp"": 0.2064981609582901}",0.01172,0.12500,0.81899,46.71,1.00e-04,274627
