step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,1.37934,"{""ntp"": 1.3417108058929443, ""jepa_pooled"": 0.037632014602422714}",0.00000,0.26482,19.44,1.00e-03,267757
400,1.11419,"{""ntp"": 1.0829613208770752, ""jepa_pooled"": 0.031225034967064857}",0.03125,0.32806,27.90,9.94e-04,279683
600,nan,"{""ntp"": NaN, ""jepa_pooled"": NaN}",0.00000,0.00000,nan,9.76e-04,274248
800,nan,"{""ntp"": NaN, ""jepa_pooled"": NaN}",0.00000,0.00000,nan,9.46e-04,271298
1000,nan,"{""ntp"": NaN, ""jepa_pooled"": NaN}",0.00000,0.00000,nan,9.05e-04,269239
1200,nan,"{""ntp"": NaN, ""jepa_pooled"": NaN}",0.00000,0.00000,nan,8.55e-04,267645
1400,nan,"{""ntp"": NaN, ""jepa_pooled"": NaN}",0.00000,0.00000,nan,7.96e-04,266492
1600,nan,"{""ntp"": NaN, ""jepa_pooled"": NaN}",0.00000,0.00000,nan,7.31e-04,265743
1800,nan,"{""ntp"": NaN, ""jepa_pooled"": NaN}",0.00000,0.00000,nan,6.60e-04,265631
2000,nan,"{""ntp"": NaN, ""jepa_pooled"": NaN}",0.00000,0.00000,nan,5.87e-04,265740
2200,nan,"{""ntp"": NaN, ""jepa_pooled"": NaN}",0.00000,0.00000,nan,5.13e-04,265684
2400,nan,"{""ntp"": NaN, ""jepa_pooled"": NaN}",0.00000,0.00000,nan,4.40e-04,265665
2600,nan,"{""ntp"": NaN, ""jepa_pooled"": NaN}",0.00000,0.00000,nan,3.69e-04,265654
2800,nan,"{""ntp"": NaN, ""jepa_pooled"": NaN}",0.00000,0.00000,nan,3.04e-04,265655
3000,nan,"{""ntp"": NaN, ""jepa_pooled"": NaN}",0.00000,0.00000,nan,2.45e-04,265515
3200,nan,"{""ntp"": NaN, ""jepa_pooled"": NaN}",0.00000,0.00000,nan,1.95e-04,265253
3400,nan,"{""ntp"": NaN, ""jepa_pooled"": NaN}",0.00000,0.00000,nan,1.54e-04,265008
3600,nan,"{""ntp"": NaN, ""jepa_pooled"": NaN}",0.00000,0.00000,nan,1.24e-04,264777
3800,nan,"{""ntp"": NaN, ""jepa_pooled"": NaN}",0.00000,0.00000,nan,1.06e-04,264560
4000,nan,"{""ntp"": NaN, ""jepa_pooled"": NaN}",0.00000,0.00000,nan,1.00e-04,264360
