step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,0.82743,"{""ntp"": 0.7833964228630066, ""jepa_pooled"": 0.04403436928987503}",0.01953,0.29644,23.58,1.00e-03,214983
400,0.30147,"{""ntp"": 0.23227189481258392, ""jepa_pooled"": 0.06919360905885696}",0.17188,0.45059,31.40,9.94e-04,218954
600,0.26917,"{""ntp"": 0.15503637492656708, ""jepa_pooled"": 0.11413457244634628}",0.26953,0.50593,36.59,9.76e-04,219419
800,0.30173,"{""ntp"": 0.17215915024280548, ""jepa_pooled"": 0.1295739710330963}",0.27344,0.50593,39.59,9.46e-04,217650
1000,0.25237,"{""ntp"": 0.11854615807533264, ""jepa_pooled"": 0.1338287889957428}",0.33984,0.60870,42.60,9.05e-04,216250
1200,0.24133,"{""ntp"": 0.10647471249103546, ""jepa_pooled"": 0.13485579192638397}",0.38672,0.54150,44.78,8.55e-04,215378
1400,0.23992,"{""ntp"": 0.10318072885274887, ""jepa_pooled"": 0.13674238324165344}",0.42969,0.61660,46.57,7.96e-04,214611
1600,0.23035,"{""ntp"": 0.0942630022764206, ""jepa_pooled"": 0.1360868662595749}",0.45312,0.62055,46.97,7.31e-04,214128
1800,0.21871,"{""ntp"": 0.08462122827768326, ""jepa_pooled"": 0.13408881425857544}",0.45312,0.57708,49.55,6.60e-04,213708
2000,0.21365,"{""ntp"": 0.0845261961221695, ""jepa_pooled"": 0.12912854552268982}",0.48828,0.64427,48.90,5.87e-04,213625
2200,0.19407,"{""ntp"": 0.06916558742523193, ""jepa_pooled"": 0.12490123510360718}",0.55078,0.67194,50.97,5.13e-04,213532
2400,0.18524,"{""ntp"": 0.06326571106910706, ""jepa_pooled"": 0.12197435647249222}",0.51953,0.67589,50.52,4.40e-04,213468
2600,0.19450,"{""ntp"": 0.07369464635848999, ""jepa_pooled"": 0.12080778926610947}",0.55469,0.68379,51.64,3.69e-04,213454
2800,0.18691,"{""ntp"": 0.06799701601266861, ""jepa_pooled"": 0.1189126968383789}",0.60547,0.71937,52.17,3.04e-04,213488
3000,0.17944,"{""ntp"": 0.06493128836154938, ""jepa_pooled"": 0.11450548470020294}",0.65625,0.75099,51.58,2.45e-04,215773
3200,0.17051,"{""ntp"": 0.0572967529296875, ""jepa_pooled"": 0.11321702599525452}",0.67188,0.77866,52.06,1.95e-04,218557
3400,0.16329,"{""ntp"": 0.05295412987470627, ""jepa_pooled"": 0.11033449321985245}",0.64062,0.70751,52.48,1.54e-04,221122
3600,0.16348,"{""ntp"": 0.05571914464235306, ""jepa_pooled"": 0.10776153951883316}",0.69531,0.77866,52.74,1.24e-04,223405
3800,0.15835,"{""ntp"": 0.05414064601063728, ""jepa_pooled"": 0.10421070456504822}",0.64844,0.73123,52.61,1.06e-04,225530
4000,0.16261,"{""ntp"": 0.060872916132211685, ""jepa_pooled"": 0.10173831880092621}",0.66406,0.77075,52.47,1.00e-04,225948
