step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,1.31464,"{""ntp"": 1.279892086982727, ""jepa_pooled"": 0.03474340960383415}",0.00000,0.02767,18.10,1.00e-03,263576
400,0.92334,"{""ntp"": 0.8796961307525635, ""jepa_pooled"": 0.04364582523703575}",0.01172,0.37154,21.13,9.94e-04,274121
600,0.75645,"{""ntp"": 0.6965721845626831, ""jepa_pooled"": 0.05988171324133873}",0.08203,0.43083,28.42,9.76e-04,279530
800,0.72312,"{""ntp"": 0.6564822793006897, ""jepa_pooled"": 0.06664083153009415}",0.18750,0.46245,30.75,9.46e-04,284767
1000,0.59327,"{""ntp"": 0.5315977931022644, ""jepa_pooled"": 0.06166938319802284}",0.22266,0.53360,30.82,9.05e-04,291234
1200,0.56928,"{""ntp"": 0.5153770446777344, ""jepa_pooled"": 0.05390525981783867}",0.27344,0.49407,29.55,8.55e-04,292286
1400,0.52898,"{""ntp"": 0.4791035056114197, ""jepa_pooled"": 0.049879640340805054}",0.31250,0.53360,31.58,7.96e-04,292786
1600,0.47219,"{""ntp"": 0.42579415440559387, ""jepa_pooled"": 0.046393152326345444}",0.35156,0.56522,29.05,7.31e-04,293801
1800,0.44799,"{""ntp"": 0.403852641582489, ""jepa_pooled"": 0.044139016419649124}",0.33984,0.49802,28.84,6.60e-04,294131
2000,0.48426,"{""ntp"": 0.44285616278648376, ""jepa_pooled"": 0.04140578582882881}",0.40234,0.54941,30.47,5.87e-04,294113
2200,0.43258,"{""ntp"": 0.39281201362609863, ""jepa_pooled"": 0.03977050259709358}",0.39844,0.56522,29.81,5.13e-04,293993
2400,0.43984,"{""ntp"": 0.40186449885368347, ""jepa_pooled"": 0.037975650280714035}",0.39844,0.54150,28.57,4.40e-04,293400
2600,0.45724,"{""ntp"": 0.42089465260505676, ""jepa_pooled"": 0.03634682670235634}",0.40234,0.55731,28.30,3.69e-04,293055
2800,0.44292,"{""ntp"": 0.40754130482673645, ""jepa_pooled"": 0.03537512943148613}",0.40234,0.55731,28.82,3.04e-04,292707
3000,0.43945,"{""ntp"": 0.40524643659591675, ""jepa_pooled"": 0.03420354425907135}",0.46875,0.62846,27.24,2.45e-04,292501
3200,0.41543,"{""ntp"": 0.3827241063117981, ""jepa_pooled"": 0.03270844742655754}",0.49219,0.62451,27.16,1.95e-04,292366
3400,0.38802,"{""ntp"": 0.355972021818161, ""jepa_pooled"": 0.03204543888568878}",0.49609,0.61265,27.45,1.54e-04,292240
3600,0.40299,"{""ntp"": 0.3710811734199524, ""jepa_pooled"": 0.03190941736102104}",0.46094,0.59684,27.24,1.24e-04,292130
3800,0.40913,"{""ntp"": 0.3783586621284485, ""jepa_pooled"": 0.030771255493164062}",0.48047,0.62055,27.59,1.06e-04,292507
4000,0.41229,"{""ntp"": 0.3813324570655823, ""jepa_pooled"": 0.0309588760137558}",0.47656,0.59289,27.01,1.00e-04,292533
