step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,1.84442,"{""ntp"": 1.8444207906723022}",0.00000,0.29804,15.77,1.00e-03,293065
400,1.58156,"{""ntp"": 1.5815563201904297}",0.00000,0.34902,22.23,9.94e-04,303370
600,1.48961,"{""ntp"": 1.4896068572998047}",0.00781,0.28235,14.22,9.76e-04,307786
800,1.47942,"{""ntp"": 1.4794245958328247}",0.00000,0.02745,9.08,9.46e-04,309728
1000,1.39546,"{""ntp"": 1.395464301109314}",0.00000,0.02745,5.80,9.05e-04,310599
1200,1.38547,"{""ntp"": 1.3854650259017944}",0.00000,0.02745,4.75,8.55e-04,311330
1400,1.30974,"{""ntp"": 1.3097422122955322}",0.00000,0.02353,4.39,7.96e-04,312003
1600,1.33598,"{""ntp"": 1.3359849452972412}",0.00000,0.02353,3.83,7.31e-04,312297
1800,1.28007,"{""ntp"": 1.2800674438476562}",0.00000,0.02353,4.56,6.60e-04,312783
2000,1.33171,"{""ntp"": 1.3317118883132935}",0.00000,0.02745,4.29,5.87e-04,313136
2200,1.24193,"{""ntp"": 1.2419263124465942}",0.00000,0.03137,3.30,5.13e-04,313194
2400,1.17686,"{""ntp"": 1.176863431930542}",0.00000,0.01569,4.90,4.40e-04,313441
2600,1.25404,"{""ntp"": 1.2540435791015625}",0.00000,0.01961,3.83,3.69e-04,313713
2800,1.25317,"{""ntp"": 1.2531688213348389}",0.00000,0.02353,3.91,3.04e-04,313906
3000,1.14289,"{""ntp"": 1.1428946256637573}",0.00000,0.02353,3.27,2.45e-04,314046
3200,1.22260,"{""ntp"": 1.2225979566574097}",0.00000,0.02353,3.32,1.95e-04,314179
3400,1.26512,"{""ntp"": 1.2651163339614868}",0.00000,0.02353,4.22,1.54e-04,314179
3600,1.11626,"{""ntp"": 1.1162643432617188}",0.00000,0.02353,3.70,1.24e-04,314321
3800,1.23394,"{""ntp"": 1.23393714427948}",0.00000,0.02353,3.76,1.06e-04,314463
4000,1.17960,"{""ntp"": 1.179602861404419}",0.00000,0.02745,4.02,1.00e-04,314532
