step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,0.99140,"{""ntp"": 0.9521093964576721, ""jepa_pooled"": 0.039292722940444946}",0.00000,0.32157,25.00,1.00e-03,266991
400,0.23007,"{""ntp"": 0.1852097064256668, ""jepa_pooled"": 0.04485790431499481}",0.22266,0.52549,37.57,9.94e-04,277490
600,0.20277,"{""ntp"": 0.138761967420578, ""jepa_pooled"": 0.06400850415229797}",0.27344,0.50980,43.23,9.76e-04,280683
800,0.22761,"{""ntp"": 0.14555305242538452, ""jepa_pooled"": 0.08205487579107285}",0.33203,0.57255,47.24,9.46e-04,282700
1000,0.21460,"{""ntp"": 0.12233550101518631, ""jepa_pooled"": 0.09226445108652115}",0.33594,0.55686,49.13,9.05e-04,284002
1200,0.21045,"{""ntp"": 0.11418797820806503, ""jepa_pooled"": 0.09625961631536484}",0.35156,0.53725,50.21,8.55e-04,284564
1400,0.17883,"{""ntp"": 0.08354724943637848, ""jepa_pooled"": 0.0952794998884201}",0.40234,0.56863,52.29,7.96e-04,285177
1600,0.18178,"{""ntp"": 0.08553804457187653, ""jepa_pooled"": 0.09624000638723373}",0.45703,0.65490,52.47,7.31e-04,285659
1800,0.17557,"{""ntp"": 0.08257395774126053, ""jepa_pooled"": 0.09299908578395844}",0.48828,0.65490,53.50,6.60e-04,285883
2000,0.16599,"{""ntp"": 0.07399678975343704, ""jepa_pooled"": 0.09199079871177673}",0.50000,0.63922,55.07,5.87e-04,286183
2200,0.16274,"{""ntp"": 0.07341988384723663, ""jepa_pooled"": 0.08932103961706161}",0.57422,0.71765,55.64,5.13e-04,286200
2400,0.15063,"{""ntp"": 0.06408458203077316, ""jepa_pooled"": 0.08654345571994781}",0.53906,0.67843,55.72,4.40e-04,286323
2600,0.15085,"{""ntp"": 0.06582137197256088, ""jepa_pooled"": 0.08502942323684692}",0.57422,0.69020,55.62,3.69e-04,286427
2800,0.14705,"{""ntp"": 0.06512650102376938, ""jepa_pooled"": 0.08192385733127594}",0.59766,0.70588,55.30,3.04e-04,286421
3000,0.14966,"{""ntp"": 0.06947945803403854, ""jepa_pooled"": 0.08018185198307037}",0.62891,0.74902,55.57,2.45e-04,286522
3200,0.13690,"{""ntp"": 0.05861908569931984, ""jepa_pooled"": 0.0782773420214653}",0.61328,0.72549,55.60,1.95e-04,286645
3400,0.13419,"{""ntp"": 0.05750930309295654, ""jepa_pooled"": 0.0766795203089714}",0.66406,0.75294,55.47,1.54e-04,286627
3600,0.12161,"{""ntp"": 0.04693177714943886, ""jepa_pooled"": 0.07467443495988846}",0.65234,0.76471,55.78,1.24e-04,286730
3800,0.12829,"{""ntp"": 0.054515253752470016, ""jepa_pooled"": 0.07377202063798904}",0.64453,0.74510,55.83,1.06e-04,286781
4000,0.12178,"{""ntp"": 0.04939509555697441, ""jepa_pooled"": 0.07238004356622696}",0.67969,0.77647,54.30,1.00e-04,286894
