step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,0.98053,"{""ntp"": 0.9423905611038208, ""jepa_pooled"": 0.03813546150922775}",0.00000,0.34118,23.02,1.00e-03,268902
400,0.33947,"{""ntp"": 0.29402875900268555, ""jepa_pooled"": 0.045442625880241394}",0.13672,0.48627,33.08,9.94e-04,278346
600,0.22164,"{""ntp"": 0.1658300906419754, ""jepa_pooled"": 0.055812131613492966}",0.33594,0.56863,37.35,9.76e-04,283284
800,0.20776,"{""ntp"": 0.1439061462879181, ""jepa_pooled"": 0.06385032832622528}",0.36328,0.56471,37.76,9.46e-04,283186
1000,0.19110,"{""ntp"": 0.12237358093261719, ""jepa_pooled"": 0.06872200220823288}",0.37500,0.60000,38.58,9.05e-04,284064
1200,0.19165,"{""ntp"": 0.12127255648374557, ""jepa_pooled"": 0.07037708908319473}",0.37891,0.53725,38.23,8.55e-04,285333
1400,0.16961,"{""ntp"": 0.09466409683227539, ""jepa_pooled"": 0.07494360953569412}",0.38281,0.52941,40.27,7.96e-04,286004
1600,0.17297,"{""ntp"": 0.09673544764518738, ""jepa_pooled"": 0.07623275369405746}",0.39453,0.56471,40.70,7.31e-04,286690
1800,0.17052,"{""ntp"": 0.09237606078386307, ""jepa_pooled"": 0.07814600318670273}",0.41016,0.57255,40.37,6.60e-04,287230
2000,0.16338,"{""ntp"": 0.08617047220468521, ""jepa_pooled"": 0.07721368968486786}",0.43750,0.61569,41.27,5.87e-04,287404
2200,0.15737,"{""ntp"": 0.08161352574825287, ""jepa_pooled"": 0.07576067745685577}",0.45703,0.65098,41.62,5.13e-04,287739
2400,0.14601,"{""ntp"": 0.07117009162902832, ""jepa_pooled"": 0.0748363509774208}",0.52344,0.66667,42.71,4.40e-04,287881
2600,0.14477,"{""ntp"": 0.07129209488630295, ""jepa_pooled"": 0.07348227500915527}",0.50781,0.64706,42.43,3.69e-04,288348
2800,0.14497,"{""ntp"": 0.07270297408103943, ""jepa_pooled"": 0.07226813584566116}",0.53906,0.69020,42.98,3.04e-04,288590
3000,0.13700,"{""ntp"": 0.06540577113628387, ""jepa_pooled"": 0.0715903490781784}",0.58984,0.72157,43.26,2.45e-04,288598
3200,0.13401,"{""ntp"": 0.06212788447737694, ""jepa_pooled"": 0.07188138365745544}",0.58203,0.71373,43.22,1.95e-04,288763
3400,0.12917,"{""ntp"": 0.05847524106502533, ""jepa_pooled"": 0.07069527357816696}",0.59766,0.72549,42.44,1.54e-04,288907
3600,0.12221,"{""ntp"": 0.05212463065981865, ""jepa_pooled"": 0.07008622586727142}",0.64844,0.74902,42.80,1.24e-04,288889
3800,0.12587,"{""ntp"": 0.05625417083501816, ""jepa_pooled"": 0.06961085647344589}",0.62109,0.73333,42.60,1.06e-04,289034
4000,0.12654,"{""ntp"": 0.057124994695186615, ""jepa_pooled"": 0.06941622495651245}",0.67188,0.77255,42.32,1.00e-04,289104
