step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,1.05578,"{""ntp"": 0.8244481086730957, ""jepa_pooled"": 0.23133285343647003}",0.00781,0.31765,28.51,1.00e-03,267794
400,0.40624,"{""ntp"": 0.1892462968826294, ""jepa_pooled"": 0.21699552237987518}",0.26172,0.52549,40.18,9.94e-04,276931
600,0.35818,"{""ntp"": 0.1433098465204239, ""jepa_pooled"": 0.2148667275905609}",0.28516,0.53333,43.34,9.76e-04,280797
800,0.36670,"{""ntp"": 0.14554084837436676, ""jepa_pooled"": 0.22115418314933777}",0.31641,0.55294,48.02,9.46e-04,282996
1000,0.34499,"{""ntp"": 0.12794114649295807, ""jepa_pooled"": 0.21704882383346558}",0.33984,0.54510,50.48,9.05e-04,283638
1200,0.33797,"{""ntp"": 0.12126204371452332, ""jepa_pooled"": 0.21670715510845184}",0.39453,0.56863,53.78,8.55e-04,284359
1400,0.30539,"{""ntp"": 0.08651155233383179, ""jepa_pooled"": 0.21887513995170593}",0.41016,0.61176,55.28,7.96e-04,285372
1600,0.31053,"{""ntp"": 0.09376582503318787, ""jepa_pooled"": 0.21676473319530487}",0.49609,0.66275,55.64,7.31e-04,285880
1800,0.29742,"{""ntp"": 0.08060364425182343, ""jepa_pooled"": 0.21681208908557892}",0.53516,0.68627,56.34,6.60e-04,286511
2000,0.29022,"{""ntp"": 0.07805144041776657, ""jepa_pooled"": 0.2121715098619461}",0.51562,0.67843,58.47,5.87e-04,286951
2200,0.28764,"{""ntp"": 0.07604148983955383, ""jepa_pooled"": 0.2115951031446457}",0.62109,0.73333,58.25,5.13e-04,287257
2400,0.27625,"{""ntp"": 0.06571559607982635, ""jepa_pooled"": 0.21053937077522278}",0.55859,0.70588,59.34,4.40e-04,287586
2600,0.26781,"{""ntp"": 0.05979030951857567, ""jepa_pooled"": 0.20802345871925354}",0.57812,0.68627,58.72,3.69e-04,287662
2800,0.27084,"{""ntp"": 0.062339670956134796, ""jepa_pooled"": 0.20850405097007751}",0.53516,0.65098,59.62,3.04e-04,287977
3000,0.26934,"{""ntp"": 0.06300438195466995, ""jepa_pooled"": 0.20633511245250702}",0.61328,0.72157,58.85,2.45e-04,288254
3200,0.26565,"{""ntp"": 0.05951467901468277, ""jepa_pooled"": 0.20613723993301392}",0.60938,0.72549,58.84,1.95e-04,288347
3400,0.26163,"{""ntp"": 0.056999776512384415, ""jepa_pooled"": 0.2046317309141159}",0.62109,0.73333,58.47,1.54e-04,288559
3600,0.25525,"{""ntp"": 0.05047096312046051, ""jepa_pooled"": 0.20478230714797974}",0.62891,0.72549,58.82,1.24e-04,288736
3800,0.25912,"{""ntp"": 0.054205600172281265, ""jepa_pooled"": 0.20491907000541687}",0.64844,0.74118,58.46,1.06e-04,288790
4000,0.25335,"{""ntp"": 0.04759855568408966, ""jepa_pooled"": 0.2057482749223709}",0.67969,0.76078,57.13,1.00e-04,288964
