step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,2.53358,"{""ntp"": 0.7978794574737549, ""jepa_pooled"": 1.7357025146484375}",0.00781,0.28458,33.61,1.00e-03,263081
400,1.56008,"{""ntp"": 0.16476228833198547, ""jepa_pooled"": 1.3953139781951904}",0.32422,0.54941,48.68,9.94e-04,271462
600,1.31438,"{""ntp"": 0.12575297057628632, ""jepa_pooled"": 1.1886271238327026}",0.36719,0.54941,55.84,9.76e-04,275186
800,1.19929,"{""ntp"": 0.10494006425142288, ""jepa_pooled"": 1.0943456888198853}",0.46094,0.60474,62.72,9.46e-04,279612
1000,1.13870,"{""ntp"": 0.10406672954559326, ""jepa_pooled"": 1.0346344709396362}",0.47656,0.61265,66.41,9.05e-04,286455
1200,1.09006,"{""ntp"": 0.08864782005548477, ""jepa_pooled"": 1.0014110803604126}",0.48828,0.64427,69.15,8.55e-04,291812
1400,1.07495,"{""ntp"": 0.08931884914636612, ""jepa_pooled"": 0.9856311678886414}",0.49609,0.60870,71.89,7.96e-04,293188
1600,1.02598,"{""ntp"": 0.07124943286180496, ""jepa_pooled"": 0.9547289609909058}",0.53516,0.63241,72.57,7.31e-04,294321
1800,1.00530,"{""ntp"": 0.07274818420410156, ""jepa_pooled"": 0.9325553774833679}",0.55469,0.66403,74.43,6.60e-04,295434
2000,0.98859,"{""ntp"": 0.0706564262509346, ""jepa_pooled"": 0.9179333448410034}",0.58594,0.68379,73.93,5.87e-04,296735
2200,0.97064,"{""ntp"": 0.062355268746614456, ""jepa_pooled"": 0.9082896113395691}",0.57812,0.65613,75.64,5.13e-04,298560
2400,0.97095,"{""ntp"": 0.06566383689641953, ""jepa_pooled"": 0.9052885174751282}",0.57031,0.65217,76.42,4.40e-04,300250
2600,0.95636,"{""ntp"": 0.060314446687698364, ""jepa_pooled"": 0.8960440754890442}",0.61719,0.70751,75.44,3.69e-04,301740
2800,0.94914,"{""ntp"": 0.05608968809247017, ""jepa_pooled"": 0.8930505514144897}",0.60938,0.66008,76.13,3.04e-04,303067
3000,0.95242,"{""ntp"": 0.06047344580292702, ""jepa_pooled"": 0.891943633556366}",0.62500,0.69170,75.77,2.45e-04,304395
3200,0.93734,"{""ntp"": 0.0518156960606575, ""jepa_pooled"": 0.885523796081543}",0.62109,0.69565,75.89,1.95e-04,306002
3400,0.93495,"{""ntp"": 0.05254776030778885, ""jepa_pooled"": 0.8824034333229065}",0.66016,0.73913,75.01,1.54e-04,307258
3600,0.92920,"{""ntp"": 0.04356427490711212, ""jepa_pooled"": 0.8856392502784729}",0.69531,0.73913,74.90,1.24e-04,307404
3800,0.93843,"{""ntp"": 0.0522707961499691, ""jepa_pooled"": 0.886156439781189}",0.63672,0.69170,74.33,1.06e-04,307872
4000,0.93763,"{""ntp"": 0.05063507705926895, ""jepa_pooled"": 0.8869937062263489}",0.67969,0.72332,73.59,1.00e-04,308491
