step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,0.93081,"{""ntp"": 0.9138874411582947, ""jepa_pooled"": 0.01692151091992855}",0.01172,0.31225,21.19,1.00e-03,266474
400,0.39879,"{""ntp"": 0.3838168978691101, ""jepa_pooled"": 0.01497499831020832}",0.08984,0.42688,28.21,9.94e-04,279346
600,0.16434,"{""ntp"": 0.14672766625881195, ""jepa_pooled"": 0.01761712320148945}",0.34766,0.54941,26.92,9.76e-04,280191
800,0.15300,"{""ntp"": 0.1313457190990448, ""jepa_pooled"": 0.021654607728123665}",0.40234,0.59289,27.27,9.46e-04,281540
1000,0.15442,"{""ntp"": 0.12982119619846344, ""jepa_pooled"": 0.02459634095430374}",0.41797,0.55731,26.86,9.05e-04,282752
1200,0.14481,"{""ntp"": 0.11484673619270325, ""jepa_pooled"": 0.029959505423903465}",0.40625,0.56522,28.71,8.55e-04,283756
1400,0.13282,"{""ntp"": 0.10124804079532623, ""jepa_pooled"": 0.03157254680991173}",0.42578,0.56126,26.90,7.96e-04,284562
1600,0.14182,"{""ntp"": 0.10753127932548523, ""jepa_pooled"": 0.03429089114069939}",0.44922,0.57312,29.26,7.31e-04,284803
1800,0.12811,"{""ntp"": 0.09026827663183212, ""jepa_pooled"": 0.03783957660198212}",0.48438,0.61660,26.67,6.60e-04,286444
2000,0.12040,"{""ntp"": 0.0842192992568016, ""jepa_pooled"": 0.036176010966300964}",0.48828,0.60079,26.41,5.87e-04,286107
2200,0.11775,"{""ntp"": 0.0855884999036789, ""jepa_pooled"": 0.032161395996809006}",0.53516,0.66008,28.38,5.13e-04,286313
2400,0.11366,"{""ntp"": 0.08034326881170273, ""jepa_pooled"": 0.03331386670470238}",0.54688,0.62846,27.40,4.40e-04,286475
2600,0.09858,"{""ntp"": 0.07026851922273636, ""jepa_pooled"": 0.028312979266047478}",0.52344,0.63241,29.39,3.69e-04,286436
2800,0.09971,"{""ntp"": 0.07107840478420258, ""jepa_pooled"": 0.02863302454352379}",0.55078,0.62055,28.98,3.04e-04,286571
3000,0.09727,"{""ntp"": 0.06880775839090347, ""jepa_pooled"": 0.028458375483751297}",0.55859,0.66403,29.45,2.45e-04,286700
3200,0.09427,"{""ntp"": 0.06487216800451279, ""jepa_pooled"": 0.02939942479133606}",0.57422,0.66008,29.95,1.95e-04,286934
3400,0.09428,"{""ntp"": 0.06718096137046814, ""jepa_pooled"": 0.027098022401332855}",0.59766,0.70751,29.18,1.54e-04,287233
3600,0.08638,"{""ntp"": 0.05845199152827263, ""jepa_pooled"": 0.02793017029762268}",0.61719,0.69565,29.70,1.24e-04,287277
3800,0.09349,"{""ntp"": 0.06597203761339188, ""jepa_pooled"": 0.027521593496203423}",0.58984,0.66403,29.37,1.06e-04,287476
4000,0.08363,"{""ntp"": 0.056824471801519394, ""jepa_pooled"": 0.02680470421910286}",0.60156,0.69170,30.06,1.00e-04,288614
