step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,2.51620,"{""ntp"": 1.0027625560760498, ""jepa_pooled"": 1.5134401321411133}",0.00391,0.22134,50.15,1.00e-03,266427
400,1.49675,"{""ntp"": 0.44115543365478516, ""jepa_pooled"": 1.0555897951126099}",0.07031,0.41502,62.34,9.94e-04,277250
600,0.99154,"{""ntp"": 0.17996248602867126, ""jepa_pooled"": 0.811573326587677}",0.35156,0.56917,71.64,9.76e-04,281150
800,0.83052,"{""ntp"": 0.14004401862621307, ""jepa_pooled"": 0.6904761791229248}",0.41406,0.58893,76.71,9.46e-04,283054
1000,0.74959,"{""ntp"": 0.12097444385290146, ""jepa_pooled"": 0.6286173462867737}",0.40234,0.56917,81.60,9.05e-04,284291
1200,0.68676,"{""ntp"": 0.10448559373617172, ""jepa_pooled"": 0.5822752714157104}",0.45703,0.62846,83.48,8.55e-04,285122
1400,0.66556,"{""ntp"": 0.10396838933229446, ""jepa_pooled"": 0.5615935921669006}",0.46875,0.59289,84.36,7.96e-04,285618
1600,0.63696,"{""ntp"": 0.08731915056705475, ""jepa_pooled"": 0.5496370792388916}",0.51562,0.65217,86.87,7.31e-04,286052
1800,0.61949,"{""ntp"": 0.07857845723628998, ""jepa_pooled"": 0.5409070253372192}",0.53906,0.64427,89.08,6.60e-04,286421
2000,0.60429,"{""ntp"": 0.07497934997081757, ""jepa_pooled"": 0.5293124914169312}",0.53516,0.66798,88.75,5.87e-04,286689
2200,0.59295,"{""ntp"": 0.0700332373380661, ""jepa_pooled"": 0.5229178071022034}",0.53906,0.65217,90.53,5.13e-04,286894
2400,0.57912,"{""ntp"": 0.062430016696453094, ""jepa_pooled"": 0.5166873335838318}",0.60938,0.69170,90.41,4.40e-04,287046
2600,0.58436,"{""ntp"": 0.0551508329808712, ""jepa_pooled"": 0.5292129516601562}",0.58594,0.66798,91.09,3.69e-04,287221
2800,0.57331,"{""ntp"": 0.05936387926340103, ""jepa_pooled"": 0.5139429569244385}",0.57422,0.66403,91.46,3.04e-04,287362
3000,0.59982,"{""ntp"": 0.058076005429029465, ""jepa_pooled"": 0.5417478680610657}",0.60156,0.69565,91.75,2.45e-04,287493
3200,0.59145,"{""ntp"": 0.053764812648296356, ""jepa_pooled"": 0.537686288356781}",0.62891,0.69170,89.54,1.95e-04,287624
3400,0.58840,"{""ntp"": 0.04939501732587814, ""jepa_pooled"": 0.5390071868896484}",0.63672,0.70751,86.68,1.54e-04,287724
3600,0.58823,"{""ntp"": 0.04576613008975983, ""jepa_pooled"": 0.5424685478210449}",0.65234,0.72727,87.75,1.24e-04,287819
3800,0.58795,"{""ntp"": 0.05420427769422531, ""jepa_pooled"": 0.5337440967559814}",0.66797,0.73123,88.76,1.06e-04,287806
4000,0.58887,"{""ntp"": 0.047875046730041504, ""jepa_pooled"": 0.5409960746765137}",0.63281,0.69960,87.54,1.00e-04,287890
