step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,1.05521,"{""ntp"": 1.0218122005462646, ""jepa_pooled"": 0.033399708569049835}",0.00000,0.16601,21.88,1.00e-03,264793
400,0.25600,"{""ntp"": 0.21686692535877228, ""jepa_pooled"": 0.03913750872015953}",0.16406,0.44664,38.24,9.94e-04,276157
600,0.18830,"{""ntp"": 0.14555257558822632, ""jepa_pooled"": 0.04275054484605789}",0.25391,0.52964,41.64,9.76e-04,281509
800,0.19547,"{""ntp"": 0.14950242638587952, ""jepa_pooled"": 0.045967720448970795}",0.25781,0.49802,44.34,9.46e-04,284229
1000,0.16235,"{""ntp"": 0.11607450991868973, ""jepa_pooled"": 0.04627223685383797}",0.37500,0.52174,44.55,9.05e-04,290540
1200,0.14400,"{""ntp"": 0.10007647424936295, ""jepa_pooled"": 0.04391960799694061}",0.35938,0.52964,45.38,8.55e-04,297723
1400,0.15422,"{""ntp"": 0.11243459582328796, ""jepa_pooled"": 0.041786905378103256}",0.37500,0.55336,47.14,7.96e-04,301165
1600,0.13311,"{""ntp"": 0.09079969674348831, ""jepa_pooled"": 0.04231342673301697}",0.40625,0.61265,47.85,7.31e-04,306018
1800,0.13458,"{""ntp"": 0.09011882543563843, ""jepa_pooled"": 0.044464390724897385}",0.43750,0.61265,49.07,6.60e-04,306293
2000,0.12857,"{""ntp"": 0.0825728103518486, ""jepa_pooled"": 0.0459996722638607}",0.50391,0.67194,48.17,5.87e-04,304425
2200,0.12015,"{""ntp"": 0.07212750613689423, ""jepa_pooled"": 0.04802646115422249}",0.55859,0.69565,49.85,5.13e-04,303270
2400,0.11814,"{""ntp"": 0.06905216723680496, ""jepa_pooled"": 0.04909254610538483}",0.50000,0.66008,50.09,4.40e-04,302400
2600,0.12127,"{""ntp"": 0.07028665393590927, ""jepa_pooled"": 0.05097910016775131}",0.57812,0.72332,50.01,3.69e-04,301897
2800,0.11878,"{""ntp"": 0.06736049801111221, ""jepa_pooled"": 0.05142420157790184}",0.60938,0.72332,50.52,3.04e-04,301188
3000,0.10950,"{""ntp"": 0.0586058534681797, ""jepa_pooled"": 0.0508904866874218}",0.61719,0.72332,50.50,2.45e-04,300582
3200,0.11206,"{""ntp"": 0.061434876173734665, ""jepa_pooled"": 0.05062828212976456}",0.60938,0.71146,51.02,1.95e-04,300047
3400,0.10675,"{""ntp"": 0.05528559908270836, ""jepa_pooled"": 0.05146212875843048}",0.62891,0.72332,50.68,1.54e-04,299638
3600,0.10623,"{""ntp"": 0.055857446044683456, ""jepa_pooled"": 0.0503738708794117}",0.59766,0.70751,49.93,1.24e-04,299190
3800,0.10429,"{""ntp"": 0.05413155257701874, ""jepa_pooled"": 0.05016234889626503}",0.63281,0.71937,50.41,1.06e-04,298824
4000,0.10669,"{""ntp"": 0.057320985943078995, ""jepa_pooled"": 0.04936445876955986}",0.65625,0.75494,49.66,1.00e-04,298466
