step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,0.85210,"{""ntp"": 0.8470879793167114, ""jepa_pooled"": 0.005007321946322918}",0.00391,0.20553,22.24,1.00e-03,273353
400,0.19806,"{""ntp"": 0.19217711687088013, ""jepa_pooled"": 0.005878158379346132}",0.26172,0.50198,30.86,9.94e-04,282831
600,0.16508,"{""ntp"": 0.15401925146579742, ""jepa_pooled"": 0.011064918711781502}",0.28516,0.52569,33.82,9.76e-04,286910
800,0.16698,"{""ntp"": 0.14318785071372986, ""jepa_pooled"": 0.02379019744694233}",0.25391,0.51383,34.80,9.46e-04,289049
1000,0.17164,"{""ntp"": 0.12173440307378769, ""jepa_pooled"": 0.04990200325846672}",0.35938,0.56126,38.17,9.05e-04,290447
1200,0.18755,"{""ntp"": 0.09533675760030746, ""jepa_pooled"": 0.09221196919679642}",0.41016,0.57708,40.38,8.55e-04,291347
1400,0.25684,"{""ntp"": 0.10041002184152603, ""jepa_pooled"": 0.15643183887004852}",0.42969,0.58893,42.74,7.96e-04,291954
1600,0.33032,"{""ntp"": 0.09424032270908356, ""jepa_pooled"": 0.23607899248600006}",0.44531,0.60870,44.99,7.31e-04,292425
1800,0.40141,"{""ntp"": 0.08065807819366455, ""jepa_pooled"": 0.3207477629184723}",0.47266,0.60870,47.30,6.60e-04,292842
2000,0.49122,"{""ntp"": 0.08073616027832031, ""jepa_pooled"": 0.4104844927787781}",0.55469,0.70356,49.50,5.87e-04,293132
2200,0.57207,"{""ntp"": 0.0742875188589096, ""jepa_pooled"": 0.49777892231941223}",0.57812,0.72727,51.83,5.13e-04,293361
2400,0.64212,"{""ntp"": 0.06402014195919037, ""jepa_pooled"": 0.5781024694442749}",0.56250,0.71146,53.81,4.40e-04,293562
2600,0.71901,"{""ntp"": 0.06799940764904022, ""jepa_pooled"": 0.6510058045387268}",0.65234,0.74308,55.00,3.69e-04,293757
2800,0.76997,"{""ntp"": 0.06033648923039436, ""jepa_pooled"": 0.7096379995346069}",0.69141,0.78656,56.42,3.04e-04,293900
3000,0.82981,"{""ntp"": 0.06566224992275238, ""jepa_pooled"": 0.7641510963439941}",0.66406,0.75099,55.84,2.45e-04,294043
3200,0.86570,"{""ntp"": 0.05493255704641342, ""jepa_pooled"": 0.8107722401618958}",0.68359,0.76285,56.63,1.95e-04,294173
3400,0.90890,"{""ntp"": 0.05488680675625801, ""jepa_pooled"": 0.8540170788764954}",0.66406,0.72727,57.18,1.54e-04,294266
3600,0.94210,"{""ntp"": 0.05725112929940224, ""jepa_pooled"": 0.8848451375961304}",0.68359,0.77470,57.24,1.24e-04,294386
3800,0.97134,"{""ntp"": 0.053542058914899826, ""jepa_pooled"": 0.9177939295768738}",0.69141,0.75889,57.09,1.06e-04,294519
4000,0.99426,"{""ntp"": 0.05555148422718048, ""jepa_pooled"": 0.9387054443359375}",0.69922,0.76285,57.17,1.00e-04,294628
