step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,1.10468,"{""ntp"": 1.0119876861572266, ""jepa_pertoken"": 0.09269441664218903}",0.00000,0.13439,20.41,1.00e-03,234126
400,0.37708,"{""ntp"": 0.21337758004665375, ""jepa_pertoken"": 0.16370147466659546}",0.20703,0.51383,35.54,9.94e-04,241695
600,0.34756,"{""ntp"": 0.1453145444393158, ""jepa_pertoken"": 0.20224307477474213}",0.30078,0.54150,39.83,9.76e-04,243524
800,0.36536,"{""ntp"": 0.1537075936794281, ""jepa_pertoken"": 0.21165451407432556}",0.29688,0.54150,40.08,9.46e-04,244052
1000,0.32566,"{""ntp"": 0.11369651556015015, ""jepa_pertoken"": 0.21196694672107697}",0.39062,0.54941,42.57,9.05e-04,244468
1200,0.30829,"{""ntp"": 0.09918106347322464, ""jepa_pertoken"": 0.2091093212366104}",0.38281,0.53755,44.15,8.55e-04,244897
1400,0.31072,"{""ntp"": 0.10990122705698013, ""jepa_pertoken"": 0.20081868767738342}",0.40234,0.59684,43.75,7.96e-04,245478
1600,0.28030,"{""ntp"": 0.08893223851919174, ""jepa_pertoken"": 0.19137157499790192}",0.46875,0.62055,44.97,7.31e-04,249214
1800,0.26765,"{""ntp"": 0.08266405761241913, ""jepa_pertoken"": 0.18498192727565765}",0.46094,0.60079,46.53,6.60e-04,252160
2000,0.25906,"{""ntp"": 0.07911727577447891, ""jepa_pertoken"": 0.17994362115859985}",0.52734,0.64032,46.29,5.87e-04,251949
2200,0.24519,"{""ntp"": 0.06851458549499512, ""jepa_pertoken"": 0.1766720414161682}",0.55859,0.71146,47.04,5.13e-04,251327
2400,0.23826,"{""ntp"": 0.06502287089824677, ""jepa_pertoken"": 0.17323270440101624}",0.53906,0.71146,47.85,4.40e-04,251070
2600,0.23566,"{""ntp"": 0.06451474130153656, ""jepa_pertoken"": 0.17114733159542084}",0.57422,0.71542,48.59,3.69e-04,253520
2800,0.23262,"{""ntp"": 0.06353629380464554, ""jepa_pertoken"": 0.16908268630504608}",0.59375,0.71146,48.59,3.04e-04,256651
3000,0.22724,"{""ntp"": 0.06031882017850876, ""jepa_pertoken"": 0.16692596673965454}",0.60938,0.71146,48.81,2.45e-04,256287
3200,0.22083,"{""ntp"": 0.055763158947229385, ""jepa_pertoken"": 0.165063738822937}",0.64453,0.73123,48.83,1.95e-04,255872
3400,0.21568,"{""ntp"": 0.051771380007267, ""jepa_pertoken"": 0.16391070187091827}",0.59375,0.67589,48.17,1.54e-04,255548
3600,0.22051,"{""ntp"": 0.05822580307722092, ""jepa_pertoken"": 0.16228851675987244}",0.69141,0.79051,48.36,1.24e-04,255221
3800,0.21387,"{""ntp"": 0.052665192633867264, ""jepa_pertoken"": 0.16120773553848267}",0.66406,0.71937,48.18,1.06e-04,254989
4000,0.21633,"{""ntp"": 0.0568147748708725, ""jepa_pertoken"": 0.1595112383365631}",0.64844,0.75889,48.18,1.00e-04,254796
