step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,2.20519,"{""ntp"": 0.9358382225036621, ""mtp"": 1.2693493366241455}",0.00781,0.36863,18.19,1.00e-03,275723
400,1.42735,"{""ntp"": 0.3022807240486145, ""mtp"": 1.1250717639923096}",0.10547,0.50588,27.31,9.94e-04,286337
600,1.18519,"{""ntp"": 0.16332751512527466, ""mtp"": 1.0218585729599}",0.33594,0.53333,30.20,9.76e-04,289681
800,1.07292,"{""ntp"": 0.1465979367494583, ""mtp"": 0.9263246655464172}",0.38672,0.56471,36.31,9.46e-04,290991
1000,0.95959,"{""ntp"": 0.11850026249885559, ""mtp"": 0.8410934209823608}",0.44141,0.60392,41.14,9.05e-04,291756
1200,0.92370,"{""ntp"": 0.10877399146556854, ""mtp"": 0.8149264454841614}",0.44922,0.60392,34.97,8.55e-04,293226
1400,0.79802,"{""ntp"": 0.08082880079746246, ""mtp"": 0.7171905040740967}",0.56250,0.71765,29.97,7.96e-04,293886
1600,0.76811,"{""ntp"": 0.0752948671579361, ""mtp"": 0.6928163766860962}",0.59766,0.72941,27.47,7.31e-04,294558
1800,0.72545,"{""ntp"": 0.06757121533155441, ""mtp"": 0.6578837633132935}",0.62891,0.76863,23.68,6.60e-04,294659
2000,0.65797,"{""ntp"": 0.05700233578681946, ""mtp"": 0.600972056388855}",0.60547,0.70196,16.59,5.87e-04,294880
2200,0.67255,"{""ntp"": 0.06809720396995544, ""mtp"": 0.6044524908065796}",0.62109,0.74510,15.66,5.13e-04,295179
2400,0.61393,"{""ntp"": 0.05791840702295303, ""mtp"": 0.5560164451599121}",0.71484,0.80000,12.44,4.40e-04,296476
2600,0.57583,"{""ntp"": 0.03801402449607849, ""mtp"": 0.5378164052963257}",0.69141,0.78039,12.08,3.69e-04,296351
2800,0.58105,"{""ntp"": 0.05079134553670883, ""mtp"": 0.5302547812461853}",0.73047,0.80392,11.92,3.04e-04,296224
3000,0.55202,"{""ntp"": 0.04957481101155281, ""mtp"": 0.502448558807373}",0.75781,0.82353,10.00,2.45e-04,296156
3200,0.49796,"{""ntp"": 0.04155994951725006, ""mtp"": 0.4563980996608734}",0.75781,0.81176,9.70,1.95e-04,296011
3400,0.52039,"{""ntp"": 0.035695429891347885, ""mtp"": 0.4846991002559662}",0.78906,0.83529,9.20,1.54e-04,295980
3600,0.46248,"{""ntp"": 0.024393873289227486, ""mtp"": 0.4380892515182495}",0.80469,0.85490,9.22,1.24e-04,295958
3800,0.49085,"{""ntp"": 0.03321666270494461, ""mtp"": 0.4576292932033539}",0.83203,0.87059,9.57,1.06e-04,296321
4000,0.48430,"{""ntp"": 0.03224421292543411, ""mtp"": 0.4520554840564728}",0.83594,0.87843,8.85,1.00e-04,297166
