step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,2.53764,"{""ntp"": 1.0348081588745117, ""jepa_pooled"": 1.5028326511383057}",0.00781,0.18182,45.22,1.00e-03,258524
400,1.28835,"{""ntp"": 0.3029113709926605, ""jepa_pooled"": 0.9854414463043213}",0.16797,0.52569,56.22,9.94e-04,269785
600,0.91666,"{""ntp"": 0.1606912612915039, ""jepa_pooled"": 0.755972146987915}",0.35938,0.60870,55.88,9.76e-04,273936
800,0.78872,"{""ntp"": 0.13059905171394348, ""jepa_pooled"": 0.6581189632415771}",0.40234,0.60870,59.71,9.46e-04,276223
1000,0.70994,"{""ntp"": 0.11793415993452072, ""jepa_pooled"": 0.5920063853263855}",0.43750,0.58498,63.76,9.05e-04,277706
1200,0.67747,"{""ntp"": 0.09967619925737381, ""jepa_pooled"": 0.5777939558029175}",0.44531,0.60474,61.19,8.55e-04,278551
1400,0.66966,"{""ntp"": 0.09670060127973557, ""jepa_pooled"": 0.5729601979255676}",0.52734,0.65613,60.64,7.96e-04,279605
1600,0.66680,"{""ntp"": 0.09179210662841797, ""jepa_pooled"": 0.5750047564506531}",0.51172,0.64032,62.49,7.31e-04,279649
1800,0.63896,"{""ntp"": 0.07810702174901962, ""jepa_pooled"": 0.5608509182929993}",0.58203,0.67589,61.47,6.60e-04,280086
2000,0.63458,"{""ntp"": 0.07050098478794098, ""jepa_pooled"": 0.5640814900398254}",0.56250,0.67589,62.49,5.87e-04,280465
2200,0.63674,"{""ntp"": 0.0637112632393837, ""jepa_pooled"": 0.5730295777320862}",0.58203,0.65613,59.89,5.13e-04,280884
2400,0.64371,"{""ntp"": 0.06955255568027496, ""jepa_pooled"": 0.5741565227508545}",0.60938,0.69960,60.70,4.40e-04,281418
2600,0.63322,"{""ntp"": 0.057833168655633926, ""jepa_pooled"": 0.5753827691078186}",0.61328,0.70356,60.99,3.69e-04,281657
2800,0.64719,"{""ntp"": 0.06100696697831154, ""jepa_pooled"": 0.5861843228340149}",0.59766,0.65613,57.28,3.04e-04,281827
3000,0.65033,"{""ntp"": 0.062240224331617355, ""jepa_pooled"": 0.5880904197692871}",0.61719,0.70751,56.89,2.45e-04,281977
3200,0.66334,"{""ntp"": 0.05597100034356117, ""jepa_pooled"": 0.6073681116104126}",0.65234,0.70751,56.34,1.95e-04,282143
3400,0.65650,"{""ntp"": 0.05191130191087723, ""jepa_pooled"": 0.604590654373169}",0.62891,0.69565,54.60,1.54e-04,282189
3600,0.65173,"{""ntp"": 0.04607517272233963, ""jepa_pooled"": 0.6056577563285828}",0.66797,0.71146,53.52,1.24e-04,283567
3800,0.67365,"{""ntp"": 0.05425982549786568, ""jepa_pooled"": 0.6193902492523193}",0.65625,0.69565,53.64,1.06e-04,285872
4000,0.67137,"{""ntp"": 0.04561550170183182, ""jepa_pooled"": 0.6257534027099609}",0.64844,0.71146,51.18,1.00e-04,285688
