step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,2.61999,"{""ntp"": 1.2420804500579834, ""mtp"": 1.3399194478988647, ""jepa_pooled"": 0.03798661008477211}",0.00000,0.07905,21.56,1.00e-03,241189
400,1.82383,"{""ntp"": 0.6231045722961426, ""mtp"": 1.169461727142334, ""jepa_pooled"": 0.031264688819646835}",0.03516,0.39130,32.36,9.94e-04,248967
600,1.58203,"{""ntp"": 0.39395177364349365, ""mtp"": 1.1538289785385132, ""jepa_pooled"": 0.03425239026546478}",0.11328,0.48221,34.79,9.76e-04,251958
800,1.21510,"{""ntp"": 0.1851053684949875, ""mtp"": 0.9953525066375732, ""jepa_pooled"": 0.03463956341147423}",0.28125,0.50198,32.24,9.46e-04,253623
1000,1.15317,"{""ntp"": 0.1372336894273758, ""mtp"": 0.9832035899162292, ""jepa_pooled"": 0.03273315355181694}",0.37109,0.53755,26.37,9.05e-04,254503
1200,1.08167,"{""ntp"": 0.11522334069013596, ""mtp"": 0.9347332715988159, ""jepa_pooled"": 0.03171374276280403}",0.43750,0.58893,19.98,8.55e-04,255244
1400,1.02175,"{""ntp"": 0.10151364654302597, ""mtp"": 0.8907601833343506, ""jepa_pooled"": 0.02947213128209114}",0.47656,0.59684,21.49,7.96e-04,255629
1600,0.97033,"{""ntp"": 0.0869685709476471, ""mtp"": 0.8549004793167114, ""jepa_pooled"": 0.02846047654747963}",0.50000,0.62846,15.29,7.31e-04,256042
1800,0.91603,"{""ntp"": 0.0783633142709732, ""mtp"": 0.8086097240447998, ""jepa_pooled"": 0.029055966064333916}",0.48828,0.64032,11.62,6.60e-04,256345
2000,0.87700,"{""ntp"": 0.06839008629322052, ""mtp"": 0.7789120078086853, ""jepa_pooled"": 0.029702000319957733}",0.59766,0.69960,13.06,5.87e-04,256531
2200,0.82313,"{""ntp"": 0.06085306778550148, ""mtp"": 0.7321889996528625, ""jepa_pooled"": 0.03009268082678318}",0.57812,0.67589,9.91,5.13e-04,256742
2400,0.79730,"{""ntp"": 0.05937458947300911, ""mtp"": 0.7072479724884033, ""jepa_pooled"": 0.0306735560297966}",0.62500,0.69565,8.11,4.40e-04,256854
2600,0.75328,"{""ntp"": 0.044907066971063614, ""mtp"": 0.6776308417320251, ""jepa_pooled"": 0.030738327652215958}",0.64453,0.71542,7.76,3.69e-04,256977
2800,0.72508,"{""ntp"": 0.0461382158100605, ""mtp"": 0.648431122303009, ""jepa_pooled"": 0.030507143586874008}",0.65234,0.70751,8.20,3.04e-04,257045
3000,0.69914,"{""ntp"": 0.050299108028411865, ""mtp"": 0.6171028017997742, ""jepa_pooled"": 0.03173685446381569}",0.63672,0.71146,7.96,2.45e-04,257136
3200,0.67473,"{""ntp"": 0.04486390948295593, ""mtp"": 0.598619818687439, ""jepa_pooled"": 0.031249234452843666}",0.71094,0.77470,7.41,1.95e-04,257233
3400,0.63384,"{""ntp"": 0.03896678611636162, ""mtp"": 0.5627862811088562, ""jepa_pooled"": 0.03208634629845619}",0.68750,0.75099,6.48,1.54e-04,257270
3600,0.64630,"{""ntp"": 0.035590264946222305, ""mtp"": 0.5785415172576904, ""jepa_pooled"": 0.0321672149002552}",0.76172,0.81423,6.69,1.24e-04,257340
3800,0.62851,"{""ntp"": 0.037815969437360764, ""mtp"": 0.5587617754936218, ""jepa_pooled"": 0.03192931413650513}",0.74609,0.79447,6.61,1.06e-04,257316
4000,0.61237,"{""ntp"": 0.03449492156505585, ""mtp"": 0.5463501811027527, ""jepa_pooled"": 0.031525880098342896}",0.77344,0.79842,5.57,1.00e-04,257392
