step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,3.59130,"{""ntp"": 2.227931261062622, ""jepa_pooled"": 1.363368272781372}",0.00000,0.02344,10.80,1.00e-03,207981
400,3.03119,"{""ntp"": 2.1111414432525635, ""jepa_pooled"": 0.9200441837310791}",0.00000,0.05859,4.40,9.94e-04,214328
600,1.13568,"{""ntp"": 0.4485016167163849, ""jepa_pooled"": 0.6871803402900696}",0.19922,0.19922,7.18,9.76e-04,214980
800,0.98426,"{""ntp"": 0.3760320842266083, ""jepa_pooled"": 0.6082319617271423}",0.24609,0.24609,7.81,9.46e-04,214720
1000,0.97844,"{""ntp"": 0.37021154165267944, ""jepa_pooled"": 0.6082245707511902}",0.17969,0.17969,8.54,9.05e-04,215366
1200,0.94865,"{""ntp"": 0.3309509754180908, ""jepa_pooled"": 0.6176986694335938}",0.23047,0.23047,7.22,8.55e-04,215595
1400,0.94098,"{""ntp"": 0.31454339623451233, ""jepa_pooled"": 0.626436710357666}",0.25391,0.25391,8.81,7.96e-04,215768
1600,0.91781,"{""ntp"": 0.29529324173927307, ""jepa_pooled"": 0.6225192546844482}",0.18750,0.18750,7.96,7.31e-04,215711
1800,0.89971,"{""ntp"": 0.2910960018634796, ""jepa_pooled"": 0.6086100339889526}",0.18359,0.18359,8.22,6.60e-04,215851
2000,0.87318,"{""ntp"": 0.2784954607486725, ""jepa_pooled"": 0.5946863293647766}",0.21094,0.21094,8.82,5.87e-04,215958
2200,0.86438,"{""ntp"": 0.281605064868927, ""jepa_pooled"": 0.5827773213386536}",0.20703,0.20703,8.87,5.13e-04,215873
2400,0.83640,"{""ntp"": 0.2629765272140503, ""jepa_pooled"": 0.573427677154541}",0.17969,0.17969,8.95,4.40e-04,215941
2600,0.81732,"{""ntp"": 0.24501200020313263, ""jepa_pooled"": 0.5723105072975159}",0.21094,0.21094,9.80,3.69e-04,216010
2800,0.82858,"{""ntp"": 0.2584753632545471, ""jepa_pooled"": 0.5701094269752502}",0.24609,0.24609,9.69,3.04e-04,215904
3000,0.80521,"{""ntp"": 0.24526727199554443, ""jepa_pooled"": 0.5599383115768433}",0.23047,0.23047,10.30,2.45e-04,215986
3200,0.80670,"{""ntp"": 0.2504226267337799, ""jepa_pooled"": 0.556279182434082}",0.25781,0.25781,10.92,1.95e-04,216049
3400,0.79994,"{""ntp"": 0.24390503764152527, ""jepa_pooled"": 0.5560362339019775}",0.19141,0.19141,10.68,1.54e-04,216097
3600,0.81626,"{""ntp"": 0.24397994577884674, ""jepa_pooled"": 0.5722819566726685}",0.22266,0.22266,11.53,1.24e-04,216027
3800,0.82260,"{""ntp"": 0.23866476118564606, ""jepa_pooled"": 0.5839353799819946}",0.21484,0.21484,11.87,1.06e-04,216081
4000,0.80726,"{""ntp"": 0.24296139180660248, ""jepa_pooled"": 0.5642979145050049}",0.19531,0.19531,12.25,1.00e-04,216130
