step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,3.77708,"{""ntp"": 2.2178962230682373, ""mtp"": 1.5591800212860107}",0.00000,0.02344,19.17,1.00e-03,197571
400,3.43672,"{""ntp"": 2.1102864742279053, ""mtp"": 1.3264381885528564}",0.00000,0.04688,38.70,9.94e-04,199569
600,3.22406,"{""ntp"": 2.0137834548950195, ""mtp"": 1.2102789878845215}",0.00000,0.02344,49.18,9.76e-04,200913
800,3.10419,"{""ntp"": 1.9701519012451172, ""mtp"": 1.1340389251708984}",0.00000,0.03906,50.70,9.46e-04,213956
1000,3.01137,"{""ntp"": 1.9208447933197021, ""mtp"": 1.090528964996338}",0.00000,0.05469,52.68,9.05e-04,222136
1200,2.96994,"{""ntp"": 1.9017654657363892, ""mtp"": 1.0681772232055664}",0.00000,0.05078,55.37,8.55e-04,228353
1400,2.72373,"{""ntp"": 1.608143925666809, ""mtp"": 1.1155836582183838}",0.00391,0.08203,77.09,7.96e-04,233073
1600,1.37700,"{""ntp"": 0.40464115142822266, ""mtp"": 0.9723548889160156}",0.15625,0.16016,76.47,7.31e-04,236753
1800,1.28576,"{""ntp"": 0.38590309023857117, ""mtp"": 0.8998608589172363}",0.18359,0.19141,52.73,6.60e-04,236143
2000,1.27158,"{""ntp"": 0.3928029239177704, ""mtp"": 0.8787748217582703}",0.14453,0.14453,58.91,5.87e-04,232615
2200,1.19802,"{""ntp"": 0.35242795944213867, ""mtp"": 0.845594048500061}",0.23047,0.23047,50.27,5.13e-04,229532
2400,1.15530,"{""ntp"": 0.3220553398132324, ""mtp"": 0.8332453370094299}",0.23047,0.23047,45.55,4.40e-04,232251
2600,1.13195,"{""ntp"": 0.3135529160499573, ""mtp"": 0.8183960318565369}",0.19922,0.19922,44.61,3.69e-04,234308
2800,1.11631,"{""ntp"": 0.3080766201019287, ""mtp"": 0.8082358837127686}",0.25000,0.25000,35.76,3.04e-04,236315
3000,1.08923,"{""ntp"": 0.2954973876476288, ""mtp"": 0.7937320470809937}",0.19922,0.19922,47.83,2.45e-04,238089
3200,1.07326,"{""ntp"": 0.2920611798763275, ""mtp"": 0.7811940312385559}",0.17578,0.17578,31.11,1.95e-04,239343
3400,1.05577,"{""ntp"": 0.28015807271003723, ""mtp"": 0.7756161093711853}",0.20312,0.20312,36.71,1.54e-04,236862
3600,1.05696,"{""ntp"": 0.287198543548584, ""mtp"": 0.7697597146034241}",0.19922,0.19922,37.53,1.24e-04,234895
3800,1.04503,"{""ntp"": 0.28545165061950684, ""mtp"": 0.7595783472061157}",0.21484,0.21484,34.93,1.06e-04,233002
4000,1.01215,"{""ntp"": 0.2704196274280548, ""mtp"": 0.7417303323745728}",0.16406,0.16406,23.94,1.00e-04,231368
