step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,1.16609,"{""ntp"": 1.0091692209243774, ""jepa_pooled"": 0.15692482888698578}",0.00000,0.27059,19.38,1.00e-03,296322
400,0.32676,"{""ntp"": 0.22871296107769012, ""jepa_pooled"": 0.09805193543434143}",0.20703,0.54510,28.28,9.94e-04,308971
600,0.26482,"{""ntp"": 0.1471533328294754, ""jepa_pooled"": 0.11766638606786728}",0.28125,0.53333,25.70,9.76e-04,313506
800,0.26648,"{""ntp"": 0.15686215460300446, ""jepa_pooled"": 0.10961677879095078}",0.32031,0.52157,27.13,9.46e-04,315721
1000,0.19601,"{""ntp"": 0.12610235810279846, ""jepa_pooled"": 0.06990298628807068}",0.30469,0.50588,20.50,9.05e-04,317568
1200,0.14569,"{""ntp"": 0.1180826798081398, ""jepa_pooled"": 0.027608821168541908}",0.35938,0.49020,17.30,8.55e-04,318478
1400,0.16974,"{""ntp"": 0.1105419471859932, ""jepa_pooled"": 0.05919887498021126}",0.39453,0.56078,24.28,7.96e-04,319133
1600,0.19939,"{""ntp"": 0.1089300736784935, ""jepa_pooled"": 0.09046066552400589}",0.40234,0.56078,24.43,7.31e-04,319671
1800,0.15254,"{""ntp"": 0.09489140659570694, ""jepa_pooled"": 0.05765179917216301}",0.39453,0.56471,26.52,6.60e-04,320876
2000,0.14653,"{""ntp"": 0.08515117317438126, ""jepa_pooled"": 0.061378393322229385}",0.42969,0.56078,30.52,5.87e-04,321992
2200,0.15988,"{""ntp"": 0.09407650679349899, ""jepa_pooled"": 0.06580748409032822}",0.42969,0.56863,32.17,5.13e-04,323803
2400,0.15151,"{""ntp"": 0.08070379495620728, ""jepa_pooled"": 0.07080287486314774}",0.46875,0.61961,34.80,4.40e-04,323674
2600,0.12887,"{""ntp"": 0.07555454224348068, ""jepa_pooled"": 0.05331336334347725}",0.45312,0.56471,24.05,3.69e-04,323642
2800,0.11993,"{""ntp"": 0.07953836768865585, ""jepa_pooled"": 0.04039502143859863}",0.48828,0.59608,26.53,3.04e-04,326278
3000,0.12340,"{""ntp"": 0.07757417112588882, ""jepa_pooled"": 0.04582912474870682}",0.53516,0.67843,27.79,2.45e-04,326856
3200,0.09942,"{""ntp"": 0.07659654319286346, ""jepa_pooled"": 0.02282140776515007}",0.50781,0.61569,19.12,1.95e-04,326598
3400,0.10030,"{""ntp"": 0.07006055116653442, ""jepa_pooled"": 0.03024216555058956}",0.50391,0.61569,24.24,1.54e-04,326561
3600,0.08863,"{""ntp"": 0.05583767592906952, ""jepa_pooled"": 0.03279532864689827}",0.53125,0.63529,26.66,1.24e-04,329262
3800,0.09710,"{""ntp"": 0.06326267868280411, ""jepa_pooled"": 0.03383953496813774}",0.53125,0.64314,28.49,1.06e-04,331764
4000,0.09456,"{""ntp"": 0.06168387457728386, ""jepa_pooled"": 0.03287201747298241}",0.54688,0.65098,28.29,1.00e-04,330786
