step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
400,6.06487,"{""ntp"": 2.0539841651916504, ""backchain"": 4.01088285446167, ""bc_g"": 2.392453908920288, ""bc_m"": 3.2261133193969727, ""bc_a"": 2.403198003768921}",0.00000,0.04688,41.47,9.99e-04,137253
800,2.91597,"{""ntp"": 0.4683477282524109, ""backchain"": 2.447617769241333, ""bc_g"": 0.511144757270813, ""bc_m"": 3.077636241912842, ""bc_a"": 1.3064547777175903}",0.10547,0.12891,21.29,9.94e-04,139300
1200,2.02890,"{""ntp"": 0.342282772064209, ""backchain"": 1.6866145133972168, ""bc_g"": 0.0026097306981682777, ""bc_m"": 2.5773322582244873, ""bc_a"": 0.7932869791984558}",0.22656,0.22656,7.94,9.84e-04,138119
1600,1.76490,"{""ntp"": 0.31608372926712036, ""backchain"": 1.4488205909729004, ""bc_g"": 0.008201719261705875, ""bc_m"": 2.2245681285858154, ""bc_a"": 0.6648712158203125}",0.17188,0.17188,3.59,9.69e-04,137578
2000,1.66104,"{""ntp"": 0.28519973158836365, ""backchain"": 1.3758412599563599, ""bc_g"": 0.003043043427169323, ""bc_m"": 2.0801010131835938, ""bc_a"": 0.668538510799408}",0.17188,0.17188,2.76,9.49e-04,139872
2400,1.63317,"{""ntp"": 0.27249059081077576, ""backchain"": 1.3606795072555542, ""bc_g"": 0.0021015461534261703, ""bc_m"": 1.9970639944076538, ""bc_a"": 0.7221934199333191}",0.25000,0.25000,2.18,9.25e-04,142905
2800,1.58962,"{""ntp"": 0.25071024894714355, ""backchain"": 1.3389140367507935, ""bc_g"": 0.0012432746589183807, ""bc_m"": 1.9198707342147827, ""bc_a"": 0.7567141652107239}",0.19141,0.19141,1.96,8.96e-04,144517
3200,1.56156,"{""ntp"": 0.24870695173740387, ""backchain"": 1.3128536939620972, ""bc_g"": 0.0008302140631712973, ""bc_m"": 1.8688846826553345, ""bc_a"": 0.7559924721717834}",0.19922,0.19922,1.84,8.64e-04,147697
3600,1.52264,"{""ntp"": 0.24455846846103668, ""backchain"": 1.2780793905258179, ""bc_g"": 0.0006238776841200888, ""bc_m"": 1.8111881017684937, ""bc_a"": 0.7443469166755676}",0.21094,0.21094,1.80,8.28e-04,148482
4000,1.49491,"{""ntp"": 0.24422885477542877, ""backchain"": 1.2506812810897827, ""bc_g"": 0.00047602210543118417, ""bc_m"": 1.7525599002838135, ""bc_a"": 0.7483267188072205}",0.21484,0.21484,1.70,7.89e-04,147285
4400,1.46414,"{""ntp"": 0.23988638818264008, ""backchain"": 1.2242534160614014, ""bc_g"": 0.0006538892048411071, ""bc_m"": 1.698435664176941, ""bc_a"": 0.7494173049926758}",0.19531,0.19531,1.71,7.47e-04,145874
4800,1.46055,"{""ntp"": 0.23247410356998444, ""backchain"": 1.2280755043029785, ""bc_g"": 0.0005716219893656671, ""bc_m"": 1.6698211431503296, ""bc_a"": 0.7857581377029419}",0.19922,0.19922,1.72,7.03e-04,144969
5200,1.47364,"{""ntp"": 0.24337267875671387, ""backchain"": 1.2302687168121338, ""bc_g"": 0.0004001217894256115, ""bc_m"": 1.6418622732162476, ""bc_a"": 0.8182750344276428}",0.19922,0.19922,1.63,6.57e-04,144770
5600,1.48402,"{""ntp"": 0.2427264302968979, ""backchain"": 1.2412983179092407, ""bc_g"": 0.00034392523230053484, ""bc_m"": 1.6069891452789307, ""bc_a"": 0.875263512134552}",0.25391,0.25391,1.61,6.10e-04,144087
6000,1.47584,"{""ntp"": 0.2381637543439865, ""backchain"": 1.2376772165298462, ""bc_g"": 0.00027643985231406987, ""bc_m"": 1.5890100002288818, ""bc_a"": 0.8860680460929871}",0.23047,0.23047,1.60,5.62e-04,143600
6400,1.46465,"{""ntp"": 0.24207445979118347, ""backchain"": 1.2225788831710815, ""bc_g"": 0.0005104638985358179, ""bc_m"": 1.487880825996399, ""bc_a"": 0.9567664265632629}",0.17188,0.17188,1.46,5.14e-04,143251
6800,1.45503,"{""ntp"": 0.24459876120090485, ""backchain"": 1.2104339599609375, ""bc_g"": 0.0002720193879213184, ""bc_m"": 1.4192111492156982, ""bc_a"": 1.0013847351074219}",0.15625,0.15625,1.50,4.67e-04,142908
7200,1.45199,"{""ntp"": 0.2358907014131546, ""backchain"": 1.216102123260498, ""bc_g"": 0.00023867453273851424, ""bc_m"": 1.358816385269165, ""bc_a"": 1.0731490850448608}",0.23047,0.23047,1.49,4.20e-04,143443
7600,1.50932,"{""ntp"": 0.24670767784118652, ""backchain"": 1.2626142501831055, ""bc_g"": 0.0002740520576480776, ""bc_m"": 1.3778263330459595, ""bc_a"": 1.1471279859542847}",0.20312,0.20312,1.42,3.75e-04,144958
8000,1.50595,"{""ntp"": 0.2323434054851532, ""backchain"": 1.2736032009124756, ""bc_g"": 0.00031706318259239197, ""bc_m"": 1.3344089984893799, ""bc_a"": 1.2124803066253662}",0.20703,0.20703,1.44,3.32e-04,144647
8400,1.52041,"{""ntp"": 0.2383776754140854, ""backchain"": 1.2820303440093994, ""bc_g"": 0.00023580760171171278, ""bc_m"": 1.3074899911880493, ""bc_a"": 1.256334900856018}",0.21094,0.21094,1.46,2.91e-04,145063
8800,1.54151,"{""ntp"": 0.2332356721162796, ""backchain"": 1.3082785606384277, ""bc_g"": 0.00026827689725905657, ""bc_m"": 1.3046917915344238, ""bc_a"": 1.3115969896316528}",0.16016,0.16016,1.42,2.54e-04,144782
9200,1.55316,"{""ntp"": 0.23452210426330566, ""backchain"": 1.3186413049697876, ""bc_g"": 0.00021586485672742128, ""bc_m"": 1.2757021188735962, ""bc_a"": 1.3613646030426025}",0.22656,0.22656,1.47,2.19e-04,144486
9600,1.56139,"{""ntp"": 0.23690710961818695, ""backchain"": 1.324482798576355, ""bc_g"": 0.00017210462829098105, ""bc_m"": 1.2285962104797363, ""bc_a"": 1.4201972484588623}",0.21484,0.21484,1.46,1.89e-04,144002
10000,1.55600,"{""ntp"": 0.2353321760892868, ""backchain"": 1.320670485496521, ""bc_g"": 0.00029930166783742607, ""bc_m"": 1.2076605558395386, ""bc_a"": 1.4333810806274414}",0.18750,0.18750,1.44,1.62e-04,144020
