step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,7.43630,"{""ntp"": 2.6698076725006104, ""backchain"": 4.766490936279297, ""bc_g"": 2.637922763824463, ""bc_m"": 3.5800046920776367, ""bc_a"": 3.315054416656494}",0.00000,0.03906,30.80,1.00e-03,127370
400,6.08703,"{""ntp"": 2.064232349395752, ""backchain"": 4.022797107696533, ""bc_g"": 2.397277355194092, ""bc_m"": 3.208970785140991, ""bc_a"": 2.4393463134765625}",0.00000,0.04688,44.90,9.94e-04,142119
600,5.60349,"{""ntp"": 1.998680830001831, ""backchain"": 3.6048104763031006, ""bc_g"": 2.344038724899292, ""bc_m"": 3.071047306060791, ""bc_a"": 1.7945352792739868}",0.00000,0.06250,27.87,9.76e-04,158124
800,2.64285,"{""ntp"": 0.4593229591846466, ""backchain"": 2.183529853820801, ""bc_g"": 0.09585901349782944, ""bc_m"": 3.0346713066101074, ""bc_a"": 1.2365292310714722}",0.15234,0.19141,24.86,9.46e-04,156896
1000,2.32748,"{""ntp"": 0.387817919254303, ""backchain"": 1.9396612644195557, ""bc_g"": 0.014964123256504536, ""bc_m"": 2.892909526824951, ""bc_a"": 0.9714490175247192}",0.14844,0.14844,7.02,9.05e-04,154525
1200,2.18407,"{""ntp"": 0.35077977180480957, ""backchain"": 1.8332871198654175, ""bc_g"": 0.008182537741959095, ""bc_m"": 2.777251958847046, ""bc_a"": 0.8811398148536682}",0.22266,0.22266,3.34,8.55e-04,151785
1400,2.05622,"{""ntp"": 0.32732313871383667, ""backchain"": 1.7289009094238281, ""bc_g"": 0.005763653200119734, ""bc_m"": 2.6507387161254883, ""bc_a"": 0.8012993931770325}",0.21094,0.21094,2.42,7.96e-04,149245
1600,1.92223,"{""ntp"": 0.2933853566646576, ""backchain"": 1.6288487911224365, ""bc_g"": 0.004934769123792648, ""bc_m"": 2.518470525741577, ""bc_a"": 0.734292209148407}",0.23047,0.23047,2.18,7.31e-04,148178
1800,1.78233,"{""ntp"": 0.29750245809555054, ""backchain"": 1.4848272800445557, ""bc_g"": 0.003386477706953883, ""bc_m"": 2.27722430229187, ""bc_a"": 0.6890438795089722}",0.20703,0.20703,2.08,6.60e-04,147036
2000,1.66435,"{""ntp"": 0.28115037083625793, ""backchain"": 1.3831989765167236, ""bc_g"": 0.0019155979389324784, ""bc_m"": 2.1222376823425293, ""bc_a"": 0.6422445178031921}",0.24609,0.24609,1.87,5.87e-04,145755
2200,1.60845,"{""ntp"": 0.27257487177848816, ""backchain"": 1.3358720541000366, ""bc_g"": 0.0023636745754629374, ""bc_m"": 2.041147232055664, ""bc_a"": 0.6282332539558411}",0.22656,0.22656,1.95,5.13e-04,147372
2400,1.55605,"{""ntp"": 0.25711897015571594, ""backchain"": 1.2989287376403809, ""bc_g"": 0.0015368916792795062, ""bc_m"": 1.9709968566894531, ""bc_a"": 0.6253238320350647}",0.22266,0.22266,1.81,4.40e-04,146282
2600,1.52562,"{""ntp"": 0.2524568438529968, ""backchain"": 1.273160696029663, ""bc_g"": 0.002331861760467291, ""bc_m"": 1.9268450736999512, ""bc_a"": 0.6171445846557617}",0.17969,0.17969,1.85,3.69e-04,147780
2800,1.35711,"{""ntp"": 0.24794591963291168, ""backchain"": 1.1091634035110474, ""bc_g"": 0.0007779835723340511, ""bc_m"": 1.6036102771759033, ""bc_a"": 0.6139386296272278}",0.21484,0.21484,1.83,3.04e-04,147992
3000,1.33021,"{""ntp"": 0.2440345585346222, ""backchain"": 1.0861738920211792, ""bc_g"": 0.0007344093755818903, ""bc_m"": 1.5642735958099365, ""bc_a"": 0.6073397397994995}",0.21484,0.21484,1.68,2.45e-04,149036
3200,1.31619,"{""ntp"": 0.24710986018180847, ""backchain"": 1.069075345993042, ""bc_g"": 0.000627149420324713, ""bc_m"": 1.528855800628662, ""bc_a"": 0.6086676716804504}",0.22266,0.22266,1.66,1.95e-04,149566
3400,1.28864,"{""ntp"": 0.2380000799894333, ""backchain"": 1.0506415367126465, ""bc_g"": 0.0006320784450508654, ""bc_m"": 1.5009443759918213, ""bc_a"": 0.5997067093849182}",0.21484,0.21484,1.68,1.54e-04,149929
3600,1.29017,"{""ntp"": 0.2411445826292038, ""backchain"": 1.0490248203277588, ""bc_g"": 0.0006938378210179508, ""bc_m"": 1.4840025901794434, ""bc_a"": 0.6133533120155334}",0.20703,0.20703,1.60,1.24e-04,150562
3800,1.28916,"{""ntp"": 0.23435547947883606, ""backchain"": 1.0548031330108643, ""bc_g"": 0.0006189150153659284, ""bc_m"": 1.4688574075698853, ""bc_a"": 0.6401298642158508}",0.20703,0.20703,1.60,1.06e-04,151003
4000,1.29283,"{""ntp"": 0.2415478229522705, ""backchain"": 1.0512816905975342, ""bc_g"": 0.0006713957991451025, ""bc_m"": 1.4583914279937744, ""bc_a"": 0.6435006856918335}",0.15625,0.15625,1.57,1.00e-04,150366
