step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
400,5.06104,"{""ntp"": 2.1193230152130127, ""backchain"": 2.941720724105835, ""bc_g"": 2.4972121715545654, ""bc_m"": 3.3862292766571045}",0.00000,0.04688,3.69,9.99e-04,135585
800,4.62466,"{""ntp"": 1.9695637226104736, ""backchain"": 2.655092716217041, ""bc_g"": 2.3143105506896973, ""bc_m"": 2.995875120162964}",0.00000,0.06641,1.31,9.94e-04,137573
1200,1.90237,"{""ntp"": 0.420074462890625, ""backchain"": 1.4822912216186523, ""bc_g"": 0.051638711243867874, ""bc_m"": 2.9129438400268555}",0.14453,0.15625,1.16,9.84e-04,138183
1600,1.83417,"{""ntp"": 0.42834922671318054, ""backchain"": 1.4058228731155396, ""bc_g"": 0.032321441918611526, ""bc_m"": 2.7793242931365967}",0.18750,0.19531,1.11,9.69e-04,138465
2000,1.48330,"{""ntp"": 0.33943572640419006, ""backchain"": 1.1438624858856201, ""bc_g"": 0.008581940084695816, ""bc_m"": 2.2791430950164795}",0.22656,0.22656,1.09,9.49e-04,138625
2400,1.44120,"{""ntp"": 0.32402703166007996, ""backchain"": 1.117168664932251, ""bc_g"": 0.0015162493800744414, ""bc_m"": 2.232820987701416}",0.20312,0.21094,1.07,9.25e-04,139085
2800,1.38069,"{""ntp"": 0.2973124086856842, ""backchain"": 1.0833804607391357, ""bc_g"": 0.005160919390618801, ""bc_m"": 2.161600112915039}",0.19922,0.20312,1.07,8.96e-04,139102
3200,1.33689,"{""ntp"": 0.2723858952522278, ""backchain"": 1.06450617313385, ""bc_g"": 0.0010900483466684818, ""bc_m"": 2.127922296524048}",0.17969,0.17969,1.07,8.64e-04,139133
3600,1.30358,"{""ntp"": 0.27744194865226746, ""backchain"": 1.026137113571167, ""bc_g"": 0.0006828547338955104, ""bc_m"": 2.051591396331787}",0.23047,0.23047,1.07,8.28e-04,139258
4000,1.29145,"{""ntp"": 0.2686097025871277, ""backchain"": 1.0228362083435059, ""bc_g"": 0.0015501099405810237, ""bc_m"": 2.0441222190856934}",0.19922,0.19922,1.06,7.89e-04,139252
4400,1.25029,"{""ntp"": 0.26518967747688293, ""backchain"": 0.9851002097129822, ""bc_g"": 0.0008170013315975666, ""bc_m"": 1.9693833589553833}",0.19531,0.19922,1.07,7.47e-04,139208
4800,1.19533,"{""ntp"": 0.2511264681816101, ""backchain"": 0.9442026615142822, ""bc_g"": 0.0014316559536382556, ""bc_m"": 1.8869736194610596}",0.22266,0.22266,1.06,7.03e-04,139145
5200,1.17504,"{""ntp"": 0.25017860531806946, ""backchain"": 0.9248660206794739, ""bc_g"": 0.0007311103981919587, ""bc_m"": 1.8490009307861328}",0.20703,0.20703,1.07,6.57e-04,139108
5600,1.16640,"{""ntp"": 0.25639060139656067, ""backchain"": 0.9100118279457092, ""bc_g"": 0.0005269701359793544, ""bc_m"": 1.8194966316223145}",0.16406,0.16406,1.06,6.10e-04,139090
6000,1.09110,"{""ntp"": 0.2522444725036621, ""backchain"": 0.8388544917106628, ""bc_g"": 0.0005168811185285449, ""bc_m"": 1.6771920919418335}",0.19141,0.19141,1.05,5.62e-04,139097
6400,1.00051,"{""ntp"": 0.2379084676504135, ""backchain"": 0.7625969648361206, ""bc_g"": 0.0010844951029866934, ""bc_m"": 1.5241094827651978}",0.23047,0.23047,1.06,5.14e-04,139303
6800,0.97154,"{""ntp"": 0.2397289276123047, ""backchain"": 0.7318096160888672, ""bc_g"": 0.0005027228617109358, ""bc_m"": 1.4631165266036987}",0.19531,0.19531,1.06,4.67e-04,139549
7200,0.95634,"{""ntp"": 0.24533306062221527, ""backchain"": 0.7110065221786499, ""bc_g"": 0.0015892666997388005, ""bc_m"": 1.4204237461090088}",0.16406,0.16406,1.06,4.20e-04,139557
