step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,5.34484,"{""ntp"": 2.208887815475464, ""backchain"": 3.1359481811523438, ""bc_g"": 2.5779099464416504, ""bc_m"": 3.693986177444458}",0.00000,0.04688,13.71,1.00e-03,138586
400,4.94523,"{""ntp"": 2.0656509399414062, ""backchain"": 2.8795835971832275, ""bc_g"": 2.439523696899414, ""bc_m"": 3.319643497467041}",0.00000,0.05469,9.09,9.94e-04,136306
600,4.67645,"{""ntp"": 1.9778796434402466, ""backchain"": 2.6985721588134766, ""bc_g"": 2.319074869155884, ""bc_m"": 3.0780694484710693}",0.00000,0.04688,3.71,9.76e-04,136435
800,4.52132,"{""ntp"": 1.913960337638855, ""backchain"": 2.607360363006592, ""bc_g"": 2.2504632472991943, ""bc_m"": 2.9642574787139893}",0.00000,0.04688,2.35,9.46e-04,135456
1000,4.43493,"{""ntp"": 1.887743592262268, ""backchain"": 2.5471839904785156, ""bc_g"": 2.2035021781921387, ""bc_m"": 2.8908655643463135}",0.00000,0.04297,1.88,9.05e-04,134909
1200,4.34504,"{""ntp"": 1.8551194667816162, ""backchain"": 2.489919900894165, ""bc_g"": 2.1656017303466797, ""bc_m"": 2.8142380714416504}",0.00000,0.04297,1.79,8.55e-04,134185
1400,4.29459,"{""ntp"": 1.8355213403701782, ""backchain"": 2.45906400680542, ""bc_g"": 2.142559289932251, ""bc_m"": 2.775568962097168}",0.00000,0.01953,1.54,7.96e-04,133743
1600,4.22250,"{""ntp"": 1.8021835088729858, ""backchain"": 2.4203133583068848, ""bc_g"": 2.109334707260132, ""bc_m"": 2.7312917709350586}",0.00000,0.05859,1.50,7.31e-04,133636
1800,4.16433,"{""ntp"": 1.7882028818130493, ""backchain"": 2.376129627227783, ""bc_g"": 2.090970039367676, ""bc_m"": 2.6612892150878906}",0.00000,0.05078,1.33,6.60e-04,133859
2000,4.21030,"{""ntp"": 1.8067985773086548, ""backchain"": 2.403505802154541, ""bc_g"": 2.1109297275543213, ""bc_m"": 2.6960818767547607}",0.00000,0.05078,1.33,5.87e-04,134082
2200,4.10454,"{""ntp"": 1.7642394304275513, ""backchain"": 2.3402979373931885, ""bc_g"": 2.053173780441284, ""bc_m"": 2.6274220943450928}",0.00000,0.06641,1.33,5.13e-04,134039
2400,4.08093,"{""ntp"": 1.7580300569534302, ""backchain"": 2.322902202606201, ""bc_g"": 2.0546762943267822, ""bc_m"": 2.591128349304199}",0.00000,0.08203,1.27,4.40e-04,133970
2600,4.06437,"{""ntp"": 1.7520300149917603, ""backchain"": 2.312338352203369, ""bc_g"": 2.058490037918091, ""bc_m"": 2.5661866664886475}",0.00000,0.05078,1.30,3.69e-04,135231
2800,4.03457,"{""ntp"": 1.7412793636322021, ""backchain"": 2.2932939529418945, ""bc_g"": 2.031477212905884, ""bc_m"": 2.555110454559326}",0.00000,0.06250,1.27,3.04e-04,138490
3000,3.95199,"{""ntp"": 1.7055737972259521, ""backchain"": 2.2464184761047363, ""bc_g"": 1.9949474334716797, ""bc_m"": 2.497889518737793}",0.00000,0.04688,1.30,2.45e-04,141454
3200,3.90136,"{""ntp"": 1.6794910430908203, ""backchain"": 2.2218692302703857, ""bc_g"": 1.9538227319717407, ""bc_m"": 2.489915609359741}",0.00000,0.05859,1.33,1.95e-04,144183
3400,3.84995,"{""ntp"": 1.6522799730300903, ""backchain"": 2.1976680755615234, ""bc_g"": 1.9244438409805298, ""bc_m"": 2.4708924293518066}",0.00000,0.07422,1.36,1.54e-04,146663
3600,3.87521,"{""ntp"": 1.66940176486969, ""backchain"": 2.205808401107788, ""bc_g"": 1.9497581720352173, ""bc_m"": 2.4618585109710693}",0.00000,0.04297,1.37,1.24e-04,148897
3800,3.81869,"{""ntp"": 1.6344786882400513, ""backchain"": 2.1842100620269775, ""bc_g"": 1.8896814584732056, ""bc_m"": 2.47873854637146}",0.00000,0.08203,1.40,1.06e-04,151001
4000,3.75259,"{""ntp"": 1.6107670068740845, ""backchain"": 2.14182710647583, ""bc_g"": 1.822427749633789, ""bc_m"": 2.461226224899292}",0.00000,0.10938,1.44,1.00e-04,151469
