step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,3.59979,"{""ntp"": 2.2364227771759033, ""backchain"": 1.363371729850769, ""bc_g"": 2.6036617755889893, ""bc_a"": 0.12308164685964584}",0.00000,0.02734,11.72,1.00e-03,143001
400,3.38275,"{""ntp"": 2.085188388824463, ""backchain"": 1.2975599765777588, ""bc_g"": 2.4468154907226562, ""bc_a"": 0.14830434322357178}",0.00000,0.05078,17.26,9.94e-04,146305
600,3.27260,"{""ntp"": 2.0114686489105225, ""backchain"": 1.2611299753189087, ""bc_g"": 2.348072052001953, ""bc_a"": 0.17418786883354187}",0.00000,0.04297,15.57,9.76e-04,141934
800,1.68915,"{""ntp"": 0.8057695627212524, ""backchain"": 0.8833781480789185, ""bc_g"": 1.537962555885315, ""bc_a"": 0.22879377007484436}",0.07031,0.12891,39.64,9.46e-04,140301
1000,0.60938,"{""ntp"": 0.4501315653324127, ""backchain"": 0.15924715995788574, ""bc_g"": 0.16693289577960968, ""bc_a"": 0.1515614092350006}",0.16016,0.18750,49.21,9.05e-04,138618
1200,0.49437,"{""ntp"": 0.40655770897865295, ""backchain"": 0.08781322836875916, ""bc_g"": 0.04969258978962898, ""bc_a"": 0.12593387067317963}",0.20312,0.21875,45.67,8.55e-04,137767
1400,0.50943,"{""ntp"": 0.4225130081176758, ""backchain"": 0.08691283315420151, ""bc_g"": 0.054216932505369186, ""bc_a"": 0.11960873007774353}",0.20703,0.21875,48.69,7.96e-04,137138
1600,0.43695,"{""ntp"": 0.38172096014022827, ""backchain"": 0.05522788688540459, ""bc_g"": 0.014553644694387913, ""bc_a"": 0.09590213000774384}",0.18359,0.18359,45.36,7.31e-04,136807
1800,0.39491,"{""ntp"": 0.3550173342227936, ""backchain"": 0.03989001736044884, ""bc_g"": 0.0074756997637450695, ""bc_a"": 0.07230433821678162}",0.16016,0.16016,37.24,6.60e-04,138559
2000,0.36577,"{""ntp"": 0.3348850905895233, ""backchain"": 0.030885228887200356, ""bc_g"": 0.0021899405401200056, ""bc_a"": 0.05958051607012749}",0.18750,0.19141,46.91,5.87e-04,144088
2200,0.34341,"{""ntp"": 0.31721067428588867, ""backchain"": 0.026195531710982323, ""bc_g"": 0.0005174422985874116, ""bc_a"": 0.051873620599508286}",0.20312,0.20312,50.27,5.13e-04,149018
2400,0.32333,"{""ntp"": 0.29812660813331604, ""backchain"": 0.02520233578979969, ""bc_g"": 4.526860357145779e-05, ""bc_a"": 0.05035940185189247}",0.17969,0.17969,41.04,4.40e-04,153415
2600,0.30508,"{""ntp"": 0.27960485219955444, ""backchain"": 0.02547209896147251, ""bc_g"": 5.7062290579779074e-05, ""bc_a"": 0.05088713392615318}",0.18750,0.18750,29.20,3.69e-04,157334
2800,0.30694,"{""ntp"": 0.28171756863594055, ""backchain"": 0.025223614647984505, ""bc_g"": 0.00020332350686658174, ""bc_a"": 0.05024390667676926}",0.21875,0.21875,35.10,3.04e-04,160794
3000,0.30228,"{""ntp"": 0.2776961922645569, ""backchain"": 0.024581732228398323, ""bc_g"": 0.00016889633843675256, ""bc_a"": 0.04899456724524498}",0.18750,0.18750,35.24,2.45e-04,163806
3200,0.28971,"{""ntp"": 0.264420747756958, ""backchain"": 0.025285694748163223, ""bc_g"": 0.0007341126329265535, ""bc_a"": 0.049837276339530945}",0.16406,0.16406,33.43,1.95e-04,166606
3400,0.28605,"{""ntp"": 0.2607453465461731, ""backchain"": 0.025307901203632355, ""bc_g"": 1.7646390915615484e-05, ""bc_a"": 0.050598155707120895}",0.18750,0.18750,33.04,1.54e-04,169191
3600,0.28298,"{""ntp"": 0.2579967677593231, ""backchain"": 0.02498258277773857, ""bc_g"": 9.179892913380172e-06, ""bc_a"": 0.04995598644018173}",0.21484,0.21484,35.50,1.24e-04,168508
3800,0.28434,"{""ntp"": 0.2595403492450714, ""backchain"": 0.024800078943371773, ""bc_g"": 0.00013353968097362667, ""bc_a"": 0.04946661740541458}",0.22266,0.22266,34.38,1.06e-04,167264
4000,0.27624,"{""ntp"": 0.25088801980018616, ""backchain"": 0.025349443778395653, ""bc_g"": 2.3653299649595283e-05, ""bc_a"": 0.05067523568868637}",0.21094,0.21094,30.59,1.00e-04,169344
