step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,5.43717,"{""ntp"": 2.2251782417297363, ""backchain"": 3.2119956016540527, ""bc_g"": 2.5909461975097656, ""bc_m"": 3.7122788429260254, ""bc_a"": 0.12076610326766968}",0.00000,0.03906,14.99,1.00e-03,151203
400,4.94990,"{""ntp"": 2.0482451915740967, ""backchain"": 2.901654005050659, ""bc_g"": 2.4159202575683594, ""bc_m"": 3.2795095443725586, ""bc_a"": 0.10787838697433472}",0.00000,0.05469,3.46,9.94e-04,146294
600,4.76164,"{""ntp"": 2.0076663494110107, ""backchain"": 2.7539710998535156, ""bc_g"": 2.3416059017181396, ""bc_m"": 3.056553363800049, ""bc_a"": 0.1097831279039383}",0.00000,0.03516,2.07,9.76e-04,142118
800,4.55770,"{""ntp"": 1.9192419052124023, ""backchain"": 2.638458490371704, ""bc_g"": 2.245337724685669, ""bc_m"": 2.9281704425811768, ""bc_a"": 0.10340892523527145}",0.00000,0.04297,1.71,9.46e-04,139185
1000,4.51916,"{""ntp"": 1.9102321863174438, ""backchain"": 2.608926773071289, ""bc_g"": 2.2326669692993164, ""bc_m"": 2.8847591876983643, ""bc_a"": 0.10042757540941238}",0.00000,0.05078,1.54,9.05e-04,137662
1200,4.40277,"{""ntp"": 1.8672093152999878, ""backchain"": 2.5355606079101562, ""bc_g"": 2.1632025241851807, ""bc_m"": 2.812286138534546, ""bc_a"": 0.09563270956277847}",0.00000,0.06641,1.37,8.55e-04,136516
1400,4.33461,"{""ntp"": 1.8329507112503052, ""backchain"": 2.5016627311706543, ""bc_g"": 2.1429574489593506, ""bc_m"": 2.76693058013916, ""bc_a"": 0.09343697875738144}",0.00000,0.04297,1.28,7.96e-04,135831
1600,2.36872,"{""ntp"": 0.5779668092727661, ""backchain"": 1.7907496690750122, ""bc_g"": 0.4865628778934479, ""bc_m"": 2.966176748275757, ""bc_a"": 0.12875965237617493}",0.12891,0.20703,1.35,7.31e-04,135229
1800,1.81455,"{""ntp"": 0.351865291595459, ""backchain"": 1.4626857042312622, ""bc_g"": 0.019737469032406807, ""bc_m"": 2.819065809249878, ""bc_a"": 0.08656802028417587}",0.17969,0.18359,1.33,6.60e-04,134850
2000,1.72549,"{""ntp"": 0.3261934220790863, ""backchain"": 1.399301290512085, ""bc_g"": 0.006700115744024515, ""bc_m"": 2.722525119781494, ""bc_a"": 0.06937740743160248}",0.21875,0.21875,1.27,5.87e-04,134478
2200,1.66797,"{""ntp"": 0.3098762035369873, ""backchain"": 1.3580914735794067, ""bc_g"": 0.005939456168562174, ""bc_m"": 2.649325370788574, ""bc_a"": 0.060918036848306656}",0.16016,0.16016,1.20,5.13e-04,134214
2400,1.64492,"{""ntp"": 0.29923513531684875, ""backchain"": 1.3456863164901733, ""bc_g"": 0.002742200391367078, ""bc_m"": 2.6303319931030273, ""bc_a"": 0.05829843878746033}",0.20312,0.20312,1.17,4.40e-04,133962
2600,1.52875,"{""ntp"": 0.27351221442222595, ""backchain"": 1.255235195159912, ""bc_g"": 0.0002855840139091015, ""bc_m"": 2.449967861175537, ""bc_a"": 0.060216981917619705}",0.19141,0.19141,1.16,3.69e-04,133778
2800,1.41012,"{""ntp"": 0.2660352885723114, ""backchain"": 1.14408278465271, ""bc_g"": 0.00035946303978562355, ""bc_m"": 2.224043130874634, ""bc_a"": 0.06376281380653381}",0.19922,0.19922,1.17,3.04e-04,133588
3000,1.37176,"{""ntp"": 0.2586822211742401, ""backchain"": 1.1130774021148682, ""bc_g"": 0.0004951792070642114, ""bc_m"": 2.1591098308563232, ""bc_a"": 0.06654971837997437}",0.21094,0.21094,1.16,2.45e-04,133485
3200,1.37059,"{""ntp"": 0.26240959763526917, ""backchain"": 1.1081773042678833, ""bc_g"": 0.0003528034721966833, ""bc_m"": 2.1481196880340576, ""bc_a"": 0.06788206845521927}",0.23047,0.23047,1.16,1.95e-04,133429
3400,1.34739,"{""ntp"": 0.25085198879241943, ""backchain"": 1.0965334177017212, ""bc_g"": 0.000446311169071123, ""bc_m"": 2.1234583854675293, ""bc_a"": 0.0691620409488678}",0.20312,0.20312,1.16,1.54e-04,135778
3600,1.32178,"{""ntp"": 0.24130848050117493, ""backchain"": 1.0804669857025146, ""bc_g"": 0.0004665432497859001, ""bc_m"": 2.093017101287842, ""bc_a"": 0.06745022535324097}",0.23438,0.23438,1.16,1.24e-04,138308
3800,1.32507,"{""ntp"": 0.24414552748203278, ""backchain"": 1.0809242725372314, ""bc_g"": 0.00044598919339478016, ""bc_m"": 2.0927865505218506, ""bc_a"": 0.06861595064401627}",0.17188,0.17188,1.16,1.06e-04,140651
4000,1.31713,"{""ntp"": 0.24202585220336914, ""backchain"": 1.0751001834869385, ""bc_g"": 0.00048010217142291367, ""bc_m"": 2.0843913555145264, ""bc_a"": 0.06532871723175049}",0.19531,0.19531,1.16,1.00e-04,142848
