step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,3.61905,"{""ntp"": 2.292515516281128, ""belief"": 1.3265352249145508}",0.00000,0.03516,2.57,1.00e-03,144970
400,3.44195,"{""ntp"": 2.175600528717041, ""belief"": 1.2663519382476807}",0.00000,0.02344,2.05,9.94e-04,161466
600,3.33048,"{""ntp"": 2.089560031890869, ""belief"": 1.2409213781356812}",0.00000,0.03516,2.09,9.76e-04,165483
800,3.29251,"{""ntp"": 2.0576016902923584, ""belief"": 1.2349094152450562}",0.00000,0.05078,2.52,9.46e-04,168265
1000,3.20635,"{""ntp"": 1.974723219871521, ""belief"": 1.2316313982009888}",0.00000,0.04688,2.50,9.05e-04,170536
1200,3.16995,"{""ntp"": 1.9409593343734741, ""belief"": 1.228986382484436}",0.00000,0.03906,2.48,8.55e-04,170858
1400,3.13475,"{""ntp"": 1.9094663858413696, ""belief"": 1.2252840995788574}",0.00000,0.03516,2.49,7.96e-04,168352
1600,3.11430,"{""ntp"": 1.8898252248764038, ""belief"": 1.2244735956192017}",0.00000,0.05859,2.63,7.31e-04,166596
1800,3.08470,"{""ntp"": 1.862155556678772, ""belief"": 1.222542643547058}",0.00000,0.03906,2.56,6.60e-04,165257
2000,3.06552,"{""ntp"": 1.846092939376831, ""belief"": 1.2194232940673828}",0.00000,0.03516,2.57,5.87e-04,164206
2200,3.03093,"{""ntp"": 1.8126424551010132, ""belief"": 1.2182881832122803}",0.00000,0.06250,2.68,5.13e-04,163160
2400,3.01778,"{""ntp"": 1.801474928855896, ""belief"": 1.216302514076233}",0.00000,0.03125,2.45,4.40e-04,162456
2600,3.02516,"{""ntp"": 1.8086585998535156, ""belief"": 1.2164963483810425}",0.00000,0.07812,2.55,3.69e-04,161918
2800,2.99275,"{""ntp"": 1.7785711288452148, ""belief"": 1.2141830921173096}",0.00000,0.03516,2.39,3.04e-04,161501
3000,2.96078,"{""ntp"": 1.7475653886795044, ""belief"": 1.2132145166397095}",0.00000,0.03906,2.22,2.45e-04,161028
3200,2.97102,"{""ntp"": 1.7588882446289062, ""belief"": 1.2121354341506958}",0.00000,0.05078,2.43,1.95e-04,160211
3400,2.95354,"{""ntp"": 1.7415271997451782, ""belief"": 1.2120126485824585}",0.00000,0.04297,2.23,1.54e-04,159891
3600,2.96390,"{""ntp"": 1.7532380819320679, ""belief"": 1.2106584310531616}",0.00000,0.03516,2.22,1.24e-04,159624
3800,2.95098,"{""ntp"": 1.7412488460540771, ""belief"": 1.2097291946411133}",0.00000,0.03125,2.30,1.06e-04,159381
4000,2.94388,"{""ntp"": 1.7335962057113647, ""belief"": 1.2102789878845215}",0.00000,0.06641,2.43,1.00e-04,159161
