step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,3.70314,"{""ntp"": 2.2768352031707764, ""belief"": 1.426299810409546}",0.00000,0.03906,2.14,1.00e-03,128653
400,3.48438,"{""ntp"": 2.177379846572876, ""belief"": 1.3070030212402344}",0.00000,0.03516,2.38,9.94e-04,132178
600,3.34420,"{""ntp"": 2.0623385906219482, ""belief"": 1.2818598747253418}",0.00000,0.03516,2.78,9.76e-04,133582
800,3.27379,"{""ntp"": 2.012078285217285, ""belief"": 1.261710524559021}",0.00000,0.04297,2.48,9.46e-04,133591
1000,3.24394,"{""ntp"": 1.9941999912261963, ""belief"": 1.2497435808181763}",0.00000,0.05469,2.67,9.05e-04,133040
1200,3.18827,"{""ntp"": 1.9423942565917969, ""belief"": 1.2458711862564087}",0.00000,0.06250,2.58,8.55e-04,132746
1400,3.15316,"{""ntp"": 1.9178683757781982, ""belief"": 1.2352954149246216}",0.00000,0.04297,2.47,7.96e-04,132532
1600,3.10139,"{""ntp"": 1.8747209310531616, ""belief"": 1.226669192314148}",0.00000,0.04688,2.26,7.31e-04,132374
1800,3.08378,"{""ntp"": 1.8588260412216187, ""belief"": 1.2249499559402466}",0.00000,0.07422,2.44,6.60e-04,132230
2000,3.06972,"{""ntp"": 1.8475477695465088, ""belief"": 1.2221759557724}",0.00000,0.06641,2.48,5.87e-04,132172
2200,3.07219,"{""ntp"": 1.8535959720611572, ""belief"": 1.218597412109375}",0.00000,0.05469,2.39,5.13e-04,132064
2400,3.05550,"{""ntp"": 1.8371518850326538, ""belief"": 1.2183502912521362}",0.00000,0.05078,2.33,4.40e-04,131971
2600,3.02993,"{""ntp"": 1.8125754594802856, ""belief"": 1.2173537015914917}",0.00000,0.05859,2.25,3.69e-04,131891
2800,3.02347,"{""ntp"": 1.8098127841949463, ""belief"": 1.2136574983596802}",0.00000,0.03125,2.27,3.04e-04,131833
3000,2.99334,"{""ntp"": 1.779905915260315, ""belief"": 1.2134356498718262}",0.00000,0.03516,2.25,2.45e-04,131774
3200,2.98935,"{""ntp"": 1.7802486419677734, ""belief"": 1.2090978622436523}",0.00000,0.03516,2.29,1.95e-04,131715
3400,2.98618,"{""ntp"": 1.7779295444488525, ""belief"": 1.2082552909851074}",0.00000,0.03906,2.31,1.54e-04,131653
3600,2.98231,"{""ntp"": 1.7742549180984497, ""belief"": 1.2080546617507935}",0.00000,0.05078,2.33,1.24e-04,131603
3800,2.98474,"{""ntp"": 1.7772451639175415, ""belief"": 1.207499384880066}",0.00000,0.03125,2.25,1.06e-04,132352
4000,2.98858,"{""ntp"": 1.7817224264144897, ""belief"": 1.206858515739441}",0.00000,0.05469,2.27,1.00e-04,132421
