step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
400,2.10346,"{""ntp"": 2.1034600734710693}",0.00000,0.05078,10.12,9.99e-04,240668
800,1.98162,"{""ntp"": 1.9816229343414307}",0.00000,0.07031,10.23,9.94e-04,252840
1200,1.93655,"{""ntp"": 1.9365533590316772}",0.00000,0.03906,10.82,9.84e-04,253398
1600,1.87367,"{""ntp"": 1.8736743927001953}",0.00000,0.05859,10.20,9.69e-04,261249
2000,1.84280,"{""ntp"": 1.8428038358688354}",0.00000,0.07812,10.46,9.49e-04,263300
2400,1.82115,"{""ntp"": 1.8211498260498047}",0.00000,0.05859,4.22,9.25e-04,267027
2800,1.78932,"{""ntp"": 1.789315938949585}",0.00000,0.05469,5.31,8.96e-04,274713
3200,1.80746,"{""ntp"": 1.8074607849121094}",0.00000,0.03125,3.47,8.64e-04,274746
3600,1.79826,"{""ntp"": 1.798257827758789}",0.00000,0.05469,4.81,8.28e-04,272755
4000,1.76304,"{""ntp"": 1.7630407810211182}",0.00000,0.03516,3.73,7.89e-04,271584
4400,1.76963,"{""ntp"": 1.769627332687378}",0.00000,0.03516,2.70,7.47e-04,270512
4800,1.75755,"{""ntp"": 1.7575486898422241}",0.00000,0.03906,2.30,7.03e-04,273116
5200,1.75870,"{""ntp"": 1.758699655532837}",0.00000,0.04688,2.26,6.57e-04,272261
5600,1.72867,"{""ntp"": 1.7286739349365234}",0.00000,0.07422,2.61,6.10e-04,274371
6000,1.74491,"{""ntp"": 1.74491286277771}",0.00000,0.07812,2.24,5.62e-04,273523
6400,1.72003,"{""ntp"": 1.7200254201889038}",0.00000,0.05469,2.50,5.14e-04,273301
6800,1.72457,"{""ntp"": 1.7245725393295288}",0.00000,0.05078,2.15,4.67e-04,272110
7200,1.71615,"{""ntp"": 1.716145634651184}",0.00000,0.02734,2.17,4.20e-04,271021
7600,1.71553,"{""ntp"": 1.7155263423919678}",0.00000,0.03125,2.31,3.75e-04,273724
8000,1.70182,"{""ntp"": 1.701823353767395}",0.00000,0.02344,2.50,3.32e-04,276185
8400,1.69597,"{""ntp"": 1.6959713697433472}",0.00000,0.03516,2.24,2.91e-04,278471
8800,1.69660,"{""ntp"": 1.6965997219085693}",0.00000,0.04297,2.18,2.54e-04,280556
9200,1.68850,"{""ntp"": 1.6885007619857788}",0.00000,0.06250,2.26,2.19e-04,279958
9600,1.69700,"{""ntp"": 1.6970024108886719}",0.00000,0.05469,2.35,1.89e-04,278749
10000,1.69601,"{""ntp"": 1.696012258529663}",0.00000,0.03906,2.36,1.62e-04,277645
10400,1.69249,"{""ntp"": 1.6924877166748047}",0.00000,0.05078,2.56,1.40e-04,276615
10800,1.68794,"{""ntp"": 1.6879407167434692}",0.00000,0.07422,2.58,1.23e-04,278359
11200,1.68654,"{""ntp"": 1.6865441799163818}",0.00000,0.05469,2.35,1.10e-04,279882
11600,1.68586,"{""ntp"": 1.685857892036438}",0.00000,0.04297,2.75,1.03e-04,279439
12000,1.68709,"{""ntp"": 1.6870899200439453}",0.00000,0.02734,2.68,1.00e-04,280917
