step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,2.22086,"{""ntp"": 2.220858335494995}",0.00000,0.00000,6.05,1.00e-03,237267
400,2.14045,"{""ntp"": 2.1404547691345215}",0.00000,0.04297,6.74,9.94e-04,250174
600,2.06099,"{""ntp"": 2.060992956161499}",0.00000,0.05469,4.12,9.76e-04,254950
800,1.97203,"{""ntp"": 1.9720306396484375}",0.00000,0.07031,3.53,9.46e-04,256690
1000,1.94357,"{""ntp"": 1.9435662031173706}",0.00000,0.06250,2.82,9.05e-04,254983
1200,1.90808,"{""ntp"": 1.908082365989685}",0.00000,0.05469,3.24,8.55e-04,253236
1400,1.89790,"{""ntp"": 1.8979028463363647}",0.00000,0.03516,2.59,7.96e-04,252594
1600,1.85636,"{""ntp"": 1.8563594818115234}",0.00000,0.05859,2.55,7.31e-04,251598
1800,1.84497,"{""ntp"": 1.8449671268463135}",0.00000,0.04688,2.36,6.60e-04,250664
2000,1.82900,"{""ntp"": 1.8290014266967773}",0.00000,0.05469,2.03,5.87e-04,250097
2200,1.80598,"{""ntp"": 1.8059751987457275}",0.00000,0.04297,2.12,5.13e-04,249717
2400,1.80688,"{""ntp"": 1.8068844079971313}",0.00000,0.04688,2.01,4.40e-04,249748
2600,1.79210,"{""ntp"": 1.7920962572097778}",0.00000,0.08984,2.06,3.69e-04,249488
2800,1.76759,"{""ntp"": 1.7675912380218506}",0.00000,0.03516,1.90,3.04e-04,249634
3000,1.75770,"{""ntp"": 1.7577005624771118}",0.00000,0.03906,1.92,2.45e-04,250682
3200,1.73406,"{""ntp"": 1.7340583801269531}",0.00000,0.05859,1.86,1.95e-04,250615
3400,1.74249,"{""ntp"": 1.74249267578125}",0.00000,0.06641,1.81,1.54e-04,250563
3600,1.73629,"{""ntp"": 1.7362918853759766}",0.00000,0.06641,1.71,1.24e-04,250509
3800,1.72534,"{""ntp"": 1.7253373861312866}",0.00000,0.06641,1.69,1.06e-04,250295
4000,1.70898,"{""ntp"": 1.7089824676513672}",0.00000,0.07422,1.73,1.00e-04,250192
