step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,3.65010,"{""ntp"": 2.2443723678588867, ""belief"": 1.4057238101959229}",0.00000,0.03516,4.52,1.00e-03,137192
400,3.43800,"{""ntp"": 2.106688976287842, ""belief"": 1.3313068151474}",0.00000,0.03125,9.54,9.94e-04,141225
600,3.36765,"{""ntp"": 2.0483319759368896, ""belief"": 1.3193228244781494}",0.00000,0.03516,9.31,9.76e-04,142579
800,3.29259,"{""ntp"": 1.9919707775115967, ""belief"": 1.3006222248077393}",0.00000,0.04688,4.66,9.46e-04,143483
1000,3.28088,"{""ntp"": 1.9943962097167969, ""belief"": 1.2864882946014404}",0.00000,0.06250,4.09,9.05e-04,143873
1200,3.25280,"{""ntp"": 1.978068470954895, ""belief"": 1.2747365236282349}",0.00000,0.05859,2.80,8.55e-04,144246
1400,3.18833,"{""ntp"": 1.9240319728851318, ""belief"": 1.2642958164215088}",0.00000,0.04688,2.54,7.96e-04,144416
1600,3.18121,"{""ntp"": 1.9247550964355469, ""belief"": 1.2564550638198853}",0.00000,0.03516,2.16,7.31e-04,144577
1800,3.15487,"{""ntp"": 1.903297781944275, ""belief"": 1.2515692710876465}",0.00000,0.02344,2.19,6.60e-04,144701
2000,3.13511,"{""ntp"": 1.8965628147125244, ""belief"": 1.2385483980178833}",0.00000,0.05859,1.92,5.87e-04,144817
2200,3.08193,"{""ntp"": 1.8599923849105835, ""belief"": 1.2219352722167969}",0.00000,0.06250,1.77,5.13e-04,144867
2400,3.03957,"{""ntp"": 1.8365669250488281, ""belief"": 1.2030035257339478}",0.00000,0.05078,2.04,4.40e-04,144917
2600,3.01848,"{""ntp"": 1.8298120498657227, ""belief"": 1.1886707544326782}",0.00000,0.04297,2.02,3.69e-04,144968
2800,2.99927,"{""ntp"": 1.8200206756591797, ""belief"": 1.1792540550231934}",0.00000,0.03125,2.39,3.04e-04,145051
3000,2.96714,"{""ntp"": 1.7975749969482422, ""belief"": 1.1695698499679565}",0.00000,0.05859,2.62,2.45e-04,145125
3200,2.96930,"{""ntp"": 1.8063058853149414, ""belief"": 1.1629958152770996}",0.00000,0.03516,2.47,1.95e-04,145209
3400,2.94597,"{""ntp"": 1.789786696434021, ""belief"": 1.1561838388442993}",0.00000,0.05469,2.90,1.54e-04,148345
3600,2.95871,"{""ntp"": 1.8097997903823853, ""belief"": 1.1489111185073853}",0.00000,0.04688,2.92,1.24e-04,151244
3800,2.91542,"{""ntp"": 1.783695101737976, ""belief"": 1.131725788116455}",0.00000,0.03125,3.05,1.06e-04,153917
4000,2.91174,"{""ntp"": 1.7897148132324219, ""belief"": 1.1220279932022095}",0.00000,0.04297,3.23,1.00e-04,156431
