step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,2.20834,"{""ntp"": 2.208339214324951}",0.00000,0.03906,4.02,1.00e-03,230327
400,2.04905,"{""ntp"": 2.0490500926971436}",0.00000,0.03906,18.34,9.94e-04,240222
600,2.00308,"{""ntp"": 2.003084421157837}",0.00000,0.03516,32.16,9.76e-04,243671
800,1.90775,"{""ntp"": 1.9077470302581787}",0.00000,0.05078,34.88,9.46e-04,247066
1000,1.89094,"{""ntp"": 1.890939474105835}",0.00000,0.02344,39.01,9.05e-04,249045
1200,1.87038,"{""ntp"": 1.8703826665878296}",0.00000,0.04688,38.18,8.55e-04,250459
1400,1.85214,"{""ntp"": 1.8521395921707153}",0.00000,0.03125,39.69,7.96e-04,251454
1600,1.83206,"{""ntp"": 1.832060694694519}",0.00000,0.05859,39.68,7.31e-04,252179
1800,1.82929,"{""ntp"": 1.829285740852356}",0.00000,0.05078,41.88,6.60e-04,252752
2000,1.83153,"{""ntp"": 1.831525206565857}",0.00000,0.04688,41.12,5.87e-04,253195
2200,1.79370,"{""ntp"": 1.7936960458755493}",0.00000,0.05859,41.84,5.13e-04,253564
2400,1.79983,"{""ntp"": 1.799826979637146}",0.00000,0.05078,42.90,4.40e-04,253849
2600,1.79752,"{""ntp"": 1.7975237369537354}",0.00000,0.05469,42.12,3.69e-04,254121
2800,1.79019,"{""ntp"": 1.790192723274231}",0.00000,0.07422,42.36,3.04e-04,254364
3000,1.78977,"{""ntp"": 1.7897672653198242}",0.00000,0.01953,42.38,2.45e-04,254584
3200,1.77284,"{""ntp"": 1.772842288017273}",0.00000,0.06641,41.89,1.95e-04,254748
3400,1.77334,"{""ntp"": 1.7733371257781982}",0.00000,0.05469,42.12,1.54e-04,254889
3600,1.77199,"{""ntp"": 1.7719930410385132}",0.00000,0.05078,42.47,1.24e-04,255017
3800,1.77331,"{""ntp"": 1.7733098268508911}",0.00000,0.04688,42.80,1.06e-04,255125
4000,1.78347,"{""ntp"": 1.78346848487854}",0.00000,0.04688,42.66,1.00e-04,255221
