step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,0.84964,"{""ntp"": 0.7371122241020203, ""jepa_pooled"": 0.11252807080745697}",0.01172,0.40000,23.05,1.00e-03,264824
400,0.27951,"{""ntp"": 0.16875995695590973, ""jepa_pooled"": 0.1107456162571907}",0.29688,0.52157,30.08,9.94e-04,275706
600,0.25425,"{""ntp"": 0.13923420011997223, ""jepa_pooled"": 0.11501258611679077}",0.25781,0.50588,33.10,9.76e-04,279631
800,0.27433,"{""ntp"": 0.14483362436294556, ""jepa_pooled"": 0.1295008361339569}",0.34766,0.57255,35.04,9.46e-04,281307
1000,0.28959,"{""ntp"": 0.1285206377506256, ""jepa_pooled"": 0.16107051074504852}",0.34766,0.53725,36.58,9.05e-04,282046
1200,0.33244,"{""ntp"": 0.11536268144845963, ""jepa_pooled"": 0.2170751690864563}",0.38281,0.54510,38.33,8.55e-04,282682
1400,0.40276,"{""ntp"": 0.10621073842048645, ""jepa_pooled"": 0.2965487241744995}",0.39844,0.55294,40.78,7.96e-04,282740
1600,0.51396,"{""ntp"": 0.09205307811498642, ""jepa_pooled"": 0.4219042658805847}",0.42188,0.60392,42.09,7.31e-04,280177
1800,0.58662,"{""ntp"": 0.07859215885400772, ""jepa_pooled"": 0.5080322027206421}",0.48047,0.60392,43.19,6.60e-04,280572
2000,0.69955,"{""ntp"": 0.07832152396440506, ""jepa_pooled"": 0.6212330460548401}",0.44141,0.58824,44.92,5.87e-04,281447
2200,0.77315,"{""ntp"": 0.08131133764982224, ""jepa_pooled"": 0.6918424963951111}",0.48438,0.63137,46.52,5.13e-04,281964
2400,0.87456,"{""ntp"": 0.06914655864238739, ""jepa_pooled"": 0.8054084777832031}",0.51953,0.66275,46.89,4.40e-04,282203
2600,0.91152,"{""ntp"": 0.0724181979894638, ""jepa_pooled"": 0.839099645614624}",0.52734,0.65490,48.80,3.69e-04,282865
2800,0.92309,"{""ntp"": 0.07057078927755356, ""jepa_pooled"": 0.8525192737579346}",0.53906,0.65490,50.92,3.04e-04,283927
3000,0.99902,"{""ntp"": 0.06340587884187698, ""jepa_pooled"": 0.9356181621551514}",0.60547,0.70980,50.69,2.45e-04,283998
3200,1.08887,"{""ntp"": 0.06250963360071182, ""jepa_pooled"": 1.0263556241989136}",0.56641,0.67451,51.02,1.95e-04,284235
3400,1.07797,"{""ntp"": 0.06434999406337738, ""jepa_pooled"": 1.0136228799819946}",0.62500,0.72549,50.25,1.54e-04,284312
3600,1.05094,"{""ntp"": 0.04717160016298294, ""jepa_pooled"": 1.003766655921936}",0.63281,0.74902,50.06,1.24e-04,284332
3800,1.05670,"{""ntp"": 0.058441706001758575, ""jepa_pooled"": 0.9982551336288452}",0.62109,0.73333,50.34,1.06e-04,284627
4000,1.08363,"{""ntp"": 0.04876665771007538, ""jepa_pooled"": 1.0348658561706543}",0.66016,0.74510,49.95,1.00e-04,284672
