step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,0.78713,"{""ntp"": 0.7683118581771851, ""jepa_pooled"": 0.018818899989128113}",0.01562,0.32941,23.52,1.00e-03,271382
400,0.18698,"{""ntp"": 0.1678887903690338, ""jepa_pooled"": 0.019089151173830032}",0.28516,0.53333,30.30,9.94e-04,279107
600,0.16584,"{""ntp"": 0.12891514599323273, ""jepa_pooled"": 0.036922842264175415}",0.30469,0.52549,30.52,9.76e-04,284554
800,0.20950,"{""ntp"": 0.1480691283941269, ""jepa_pooled"": 0.061430178582668304}",0.34766,0.52941,31.04,9.46e-04,286717
1000,0.18881,"{""ntp"": 0.12081777304410934, ""jepa_pooled"": 0.06799013167619705}",0.35156,0.50196,33.77,9.05e-04,287817
1200,0.18369,"{""ntp"": 0.1182694360613823, ""jepa_pooled"": 0.0654195100069046}",0.39062,0.55294,33.98,8.55e-04,288425
1400,0.15616,"{""ntp"": 0.09425409883260727, ""jepa_pooled"": 0.061903662979602814}",0.44531,0.60784,35.33,7.96e-04,290273
1600,0.15201,"{""ntp"": 0.09258853644132614, ""jepa_pooled"": 0.05942078307271004}",0.45703,0.61961,35.87,7.31e-04,290625
1800,0.15598,"{""ntp"": 0.09629779309034348, ""jepa_pooled"": 0.05967861786484718}",0.46094,0.61569,35.90,6.60e-04,291310
2000,0.14081,"{""ntp"": 0.08269163221120834, ""jepa_pooled"": 0.05811832845211029}",0.43750,0.58431,35.59,5.87e-04,292192
2200,0.13617,"{""ntp"": 0.08001164346933365, ""jepa_pooled"": 0.056157104671001434}",0.52734,0.67843,36.81,5.13e-04,292028
2400,0.12247,"{""ntp"": 0.06631927192211151, ""jepa_pooled"": 0.05614716187119484}",0.51953,0.67451,36.64,4.40e-04,291972
2600,0.12427,"{""ntp"": 0.06892842799425125, ""jepa_pooled"": 0.055338870733976364}",0.55078,0.66667,37.56,3.69e-04,292606
2800,0.12589,"{""ntp"": 0.07158207893371582, ""jepa_pooled"": 0.05430886149406433}",0.57812,0.69020,37.47,3.04e-04,292592
3000,0.12236,"{""ntp"": 0.06849262118339539, ""jepa_pooled"": 0.05387101694941521}",0.62500,0.72941,37.09,2.45e-04,292086
3200,0.11804,"{""ntp"": 0.0639178678393364, ""jepa_pooled"": 0.05412530153989792}",0.56641,0.69020,36.94,1.95e-04,291972
3400,0.11227,"{""ntp"": 0.059577781707048416, ""jepa_pooled"": 0.05269036442041397}",0.62500,0.74510,36.80,1.54e-04,291653
3600,0.10337,"{""ntp"": 0.05099815875291824, ""jepa_pooled"": 0.052369292825460434}",0.64844,0.74902,37.45,1.24e-04,291522
3800,0.11273,"{""ntp"": 0.060143232345581055, ""jepa_pooled"": 0.0525914765894413}",0.66797,0.76078,37.38,1.06e-04,291378
4000,0.10286,"{""ntp"": 0.05070067197084427, ""jepa_pooled"": 0.05216028541326523}",0.67578,0.76863,36.96,1.00e-04,291234
