step,loss,loss_parts,path_acc,decision_acc,syn_cos_within,syn_cos_between,erank_last,lr,tok_per_s
200,4.13158,"{""ntp"": 4.111720085144043, ""jepa_pooled"": 0.019862880930304527}",0.00000,0.02362,0.54384,-0.00665,10.71,1.00e-03,198765
400,3.15216,"{""ntp"": 3.138237953186035, ""jepa_pooled"": 0.013926692306995392}",0.04688,0.44488,0.74442,-0.01167,15.36,9.94e-04,204221
600,2.94076,"{""ntp"": 2.9029452800750732, ""jepa_pooled"": 0.03781731054186821}",0.17578,0.44094,0.80424,-0.01334,18.05,9.76e-04,206073
800,2.83144,"{""ntp"": 2.764587640762329, ""jepa_pooled"": 0.06685707718133926}",0.30859,0.43307,0.83205,-0.01360,18.83,9.46e-04,207135
1000,2.82682,"{""ntp"": 2.748378276824951, ""jepa_pooled"": 0.07844291627407074}",0.41406,0.55512,0.85047,-0.01373,19.53,9.05e-04,207678
1200,2.80019,"{""ntp"": 2.719783067703247, ""jepa_pooled"": 0.080411896109581}",0.39844,0.53543,0.86436,-0.01372,21.03,8.55e-04,207989
1400,2.81356,"{""ntp"": 2.7313241958618164, ""jepa_pooled"": 0.08223608881235123}",0.40234,0.51575,0.87539,-0.01365,21.65,7.96e-04,208049
1600,2.80631,"{""ntp"": 2.7241861820220947, ""jepa_pooled"": 0.08212518692016602}",0.48438,0.61024,0.88354,-0.01336,22.38,7.31e-04,208783
1800,2.78198,"{""ntp"": 2.7033674716949463, ""jepa_pooled"": 0.07861185818910599}",0.44141,0.54331,0.89018,-0.01309,22.62,6.60e-04,209392
2000,2.76992,"{""ntp"": 2.6944799423217773, ""jepa_pooled"": 0.07544291764497757}",0.49219,0.61024,0.89539,-0.01271,23.32,5.87e-04,209882
2200,2.75406,"{""ntp"": 2.681236982345581, ""jepa_pooled"": 0.07282773405313492}",0.47266,0.61024,0.89922,-0.01223,23.90,5.13e-04,210160
2400,2.75301,"{""ntp"": 2.681565284729004, ""jepa_pooled"": 0.07144347578287125}",0.47266,0.58661,0.90251,-0.01187,24.10,4.40e-04,210515
2600,2.72763,"{""ntp"": 2.657092332839966, ""jepa_pooled"": 0.07054071873426437}",0.54297,0.65748,0.90498,-0.01158,24.91,3.69e-04,210746
2800,2.73384,"{""ntp"": 2.6648457050323486, ""jepa_pooled"": 0.06898989528417587}",0.60156,0.70472,0.90694,-0.01140,25.30,3.04e-04,210915
3000,2.73674,"{""ntp"": 2.6686489582061768, ""jepa_pooled"": 0.06808977574110031}",0.64062,0.72047,0.90830,-0.01127,25.42,2.45e-04,211032
3200,2.71504,"{""ntp"": 2.648838996887207, ""jepa_pooled"": 0.06620205193758011}",0.54297,0.66142,0.90937,-0.01109,25.26,1.95e-04,211218
3400,2.71573,"{""ntp"": 2.6494035720825195, ""jepa_pooled"": 0.06632497906684875}",0.66016,0.72835,0.91005,-0.01101,25.41,1.54e-04,211322
3600,2.71218,"{""ntp"": 2.6463208198547363, ""jepa_pooled"": 0.06585797667503357}",0.62500,0.71654,0.91061,-0.01094,25.59,1.24e-04,211471
3800,2.71521,"{""ntp"": 2.650214910507202, ""jepa_pooled"": 0.06499641388654709}",0.66406,0.73228,0.91103,-0.01081,25.50,1.06e-04,212569
4000,2.69237,"{""ntp"": 2.6282105445861816, ""jepa_pooled"": 0.0641573891043663}",0.67969,0.75591,0.91133,-0.01074,25.28,1.00e-04,213807
