step,loss,loss_parts,path_acc,decision_acc,syn_cos_within,syn_cos_between,erank_last,lr,tok_per_s
200,3.83870,"{""ntp"": 3.8188626766204834, ""jepa_pooled"": 0.019833488389849663}",0.00000,0.27381,0.55703,-0.00643,13.51,1.00e-03,241014
400,3.01333,"{""ntp"": 2.991684675216675, ""jepa_pooled"": 0.02164166420698166}",0.08594,0.39286,0.73356,-0.01052,18.25,9.94e-04,249905
600,2.91724,"{""ntp"": 2.8561909198760986, ""jepa_pooled"": 0.061046868562698364}",0.25391,0.51587,0.78095,-0.01139,21.52,9.76e-04,252791
800,2.84334,"{""ntp"": 2.7578792572021484, ""jepa_pooled"": 0.08545827120542526}",0.38672,0.56349,0.80594,-0.01191,22.49,9.46e-04,261856
1000,2.84381,"{""ntp"": 2.7509143352508545, ""jepa_pooled"": 0.09289827197790146}",0.33984,0.53571,0.82339,-0.01244,23.34,9.05e-04,261307
1200,2.80237,"{""ntp"": 2.704369306564331, ""jepa_pooled"": 0.0979989692568779}",0.36719,0.47619,0.83723,-0.01284,24.44,8.55e-04,260995
1400,2.81048,"{""ntp"": 2.7119927406311035, ""jepa_pooled"": 0.09848880022764206}",0.39062,0.56746,0.84757,-0.01309,24.35,7.96e-04,260927
1600,2.81822,"{""ntp"": 2.725841760635376, ""jepa_pooled"": 0.09237644821405411}",0.41406,0.56349,0.85580,-0.01322,25.70,7.31e-04,260650
1800,2.79326,"{""ntp"": 2.7039246559143066, ""jepa_pooled"": 0.08933775871992111}",0.49219,0.61508,0.86231,-0.01328,26.35,6.60e-04,260648
2000,2.80490,"{""ntp"": 2.71887469291687, ""jepa_pooled"": 0.08602875471115112}",0.48047,0.59127,0.86716,-0.01328,27.05,5.87e-04,260561
2200,2.76395,"{""ntp"": 2.6807003021240234, ""jepa_pooled"": 0.08325443416833878}",0.49219,0.60317,0.87125,-0.01325,27.16,5.13e-04,260388
2400,2.75929,"{""ntp"": 2.6784884929656982, ""jepa_pooled"": 0.0808032900094986}",0.55078,0.69444,0.87412,-0.01314,27.46,4.40e-04,260233
2600,2.75771,"{""ntp"": 2.6787524223327637, ""jepa_pooled"": 0.07896188646554947}",0.55469,0.67460,0.87667,-0.01305,27.47,3.69e-04,260153
2800,2.73826,"{""ntp"": 2.6628940105438232, ""jepa_pooled"": 0.07536371052265167}",0.52344,0.64683,0.87845,-0.01292,27.30,3.04e-04,260177
3000,2.72550,"{""ntp"": 2.651812791824341, ""jepa_pooled"": 0.07368537783622742}",0.62109,0.72619,0.87970,-0.01281,27.94,2.45e-04,260105
3200,2.71744,"{""ntp"": 2.64605712890625, ""jepa_pooled"": 0.0713874027132988}",0.59766,0.72222,0.88053,-0.01270,28.29,1.95e-04,260110
3400,2.71447,"{""ntp"": 2.644590139389038, ""jepa_pooled"": 0.06988275796175003}",0.61328,0.69841,0.88108,-0.01261,28.22,1.54e-04,260172
3600,2.70312,"{""ntp"": 2.6348421573638916, ""jepa_pooled"": 0.06827743351459503}",0.65625,0.73810,0.88143,-0.01251,28.63,1.24e-04,260081
3800,2.71435,"{""ntp"": 2.647519111633301, ""jepa_pooled"": 0.06683183461427689}",0.63281,0.73016,0.88176,-0.01245,28.41,1.06e-04,260051
4000,2.71150,"{""ntp"": 2.6469473838806152, ""jepa_pooled"": 0.06455370783805847}",0.66016,0.73810,0.88191,-0.01240,28.58,1.00e-04,260011
