step,loss,loss_parts,path_acc,decision_acc,syn_cos_within,syn_cos_between,erank_last,lr,tok_per_s
200,6.50564,"{""ntp"": 3.793212890625, ""mtp"": 2.7124314308166504}",0.00391,0.25000,0.58638,-0.00327,13.32,1.00e-03,241763
400,5.54314,"{""ntp"": 3.032033920288086, ""mtp"": 2.5111024379730225}",0.07422,0.42460,0.74220,-0.00281,22.82,9.94e-04,247265
600,5.20616,"{""ntp"": 2.834010601043701, ""mtp"": 2.372150182723999}",0.24219,0.46825,0.79356,-0.00345,26.60,9.76e-04,250998
800,5.06836,"{""ntp"": 2.7660443782806396, ""mtp"": 2.3023123741149902}",0.40625,0.57937,0.82157,-0.00373,28.83,9.46e-04,256225
1000,4.99381,"{""ntp"": 2.738821506500244, ""mtp"": 2.2549872398376465}",0.37891,0.55952,0.84165,-0.00341,29.72,9.05e-04,258041
1200,4.90370,"{""ntp"": 2.707606077194214, ""mtp"": 2.1960906982421875}",0.43750,0.55556,0.85714,-0.00319,28.30,8.55e-04,260513
1400,4.88312,"{""ntp"": 2.7200465202331543, ""mtp"": 2.1630783081054688}",0.49609,0.61111,0.86861,-0.00286,25.17,7.96e-04,262384
1600,4.79821,"{""ntp"": 2.713682174682617, ""mtp"": 2.0845324993133545}",0.50391,0.61111,0.87731,-0.00246,21.37,7.31e-04,262839
1800,4.74051,"{""ntp"": 2.7054855823516846, ""mtp"": 2.0350217819213867}",0.52734,0.63492,0.88447,-0.00222,21.84,6.60e-04,263861
2000,4.71392,"{""ntp"": 2.693089008331299, ""mtp"": 2.0208301544189453}",0.59375,0.66270,0.88945,-0.00195,22.33,5.87e-04,264670
2200,4.64761,"{""ntp"": 2.6745309829711914, ""mtp"": 1.973082184791565}",0.55859,0.65079,0.89337,-0.00178,24.77,5.13e-04,264246
2400,4.60336,"{""ntp"": 2.6640021800994873, ""mtp"": 1.9393572807312012}",0.64844,0.72619,0.89600,-0.00154,24.45,4.40e-04,264243
2600,4.60142,"{""ntp"": 2.671058416366577, ""mtp"": 1.9303581714630127}",0.67578,0.74603,0.89819,-0.00136,22.31,3.69e-04,263753
2800,4.54003,"{""ntp"": 2.660938024520874, ""mtp"": 1.8790876865386963}",0.61719,0.69048,0.89981,-0.00117,28.96,3.04e-04,263812
3000,4.51273,"{""ntp"": 2.6462299823760986, ""mtp"": 1.8665038347244263}",0.69141,0.75397,0.90102,-0.00095,24.45,2.45e-04,263849
3200,4.50222,"{""ntp"": 2.6336514949798584, ""mtp"": 1.8685650825500488}",0.72266,0.78175,0.90200,-0.00081,22.01,1.95e-04,263472
3400,4.46249,"{""ntp"": 2.630734920501709, ""mtp"": 1.8317521810531616}",0.71094,0.78175,0.90267,-0.00069,21.99,1.54e-04,263592
3600,4.46519,"{""ntp"": 2.6342623233795166, ""mtp"": 1.8309314250946045}",0.74219,0.80159,0.90318,-0.00057,23.09,1.24e-04,263289
3800,4.46689,"{""ntp"": 2.6352481842041016, ""mtp"": 1.831636905670166}",0.73047,0.79762,0.90354,-0.00045,23.85,1.06e-04,263514
4000,4.43975,"{""ntp"": 2.636817216873169, ""mtp"": 1.8029342889785767}",0.72266,0.78968,0.90385,-0.00036,23.01,1.00e-04,263975
