step,loss,loss_parts,path_acc,decision_acc,syn_cos_within,syn_cos_between,erank_last,lr,tok_per_s
200,3.60526,"{""ntp"": 3.605262279510498}",0.00391,0.26772,0.58296,-0.00996,13.76,1.00e-03,276209
400,3.01848,"{""ntp"": 3.0184836387634277}",0.09766,0.44094,0.72825,-0.01439,16.10,9.94e-04,289281
600,2.83333,"{""ntp"": 2.833327531814575}",0.23438,0.52362,0.77806,-0.01538,18.33,9.76e-04,293072
800,2.76475,"{""ntp"": 2.7647488117218018}",0.31641,0.56693,0.80498,-0.01593,18.66,9.46e-04,294812
1000,2.75883,"{""ntp"": 2.7588281631469727}",0.32422,0.48425,0.82368,-0.01629,19.50,9.05e-04,296712
1200,2.71435,"{""ntp"": 2.7143542766571045}",0.35938,0.53150,0.83786,-0.01648,19.56,8.55e-04,297065
1400,2.72441,"{""ntp"": 2.724414348602295}",0.37109,0.53543,0.84940,-0.01663,20.67,7.96e-04,297852
1600,2.75074,"{""ntp"": 2.7507402896881104}",0.42188,0.54331,0.85863,-0.01664,21.13,7.31e-04,298438
1800,2.70779,"{""ntp"": 2.7077877521514893}",0.42188,0.54331,0.86589,-0.01655,21.32,6.60e-04,298463
2000,2.69792,"{""ntp"": 2.697915554046631}",0.42578,0.55512,0.87123,-0.01644,21.58,5.87e-04,297969
2200,2.68839,"{""ntp"": 2.6883862018585205}",0.42578,0.56693,0.87510,-0.01629,21.91,5.13e-04,297109
2400,2.67989,"{""ntp"": 2.6798903942108154}",0.42578,0.55512,0.87828,-0.01608,22.61,4.40e-04,295950
2600,2.66928,"{""ntp"": 2.669280529022217}",0.51562,0.63386,0.88043,-0.01589,22.62,3.69e-04,295434
2800,2.67638,"{""ntp"": 2.6763811111450195}",0.49609,0.62992,0.88190,-0.01572,22.76,3.04e-04,294610
3000,2.65378,"{""ntp"": 2.653775453567505}",0.51172,0.64173,0.88296,-0.01557,22.99,2.45e-04,294146
3200,2.66610,"{""ntp"": 2.666097640991211}",0.54688,0.65354,0.88382,-0.01542,23.17,1.95e-04,293456
3400,2.65794,"{""ntp"": 2.6579360961914062}",0.56250,0.68110,0.88423,-0.01528,23.25,1.54e-04,293886
3600,2.63709,"{""ntp"": 2.6370885372161865}",0.54688,0.65354,0.88455,-0.01517,23.31,1.24e-04,293579
3800,2.64766,"{""ntp"": 2.6476633548736572}",0.58984,0.68504,0.88478,-0.01507,23.38,1.06e-04,295042
4000,2.64865,"{""ntp"": 2.648653984069824}",0.57422,0.66535,0.88488,-0.01498,23.38,1.00e-04,295805
