step,loss,loss_parts,path_acc,decision_acc,syn_cos_within,syn_cos_between,erank_last,lr,tok_per_s
200,4.25807,"{""ntp"": 2.3121426105499268, ""mtp"": 1.945928692817688}",0.00781,0.30709,0.71556,-0.01299,19.20,1.00e-03,184739
400,3.36498,"{""ntp"": 1.5789730548858643, ""mtp"": 1.786008358001709}",0.14062,0.43701,0.85820,-0.01448,28.29,9.94e-04,188396
600,3.18183,"{""ntp"": 1.4629361629486084, ""mtp"": 1.7188963890075684}",0.29688,0.46457,0.90450,-0.01390,37.72,9.76e-04,189487
800,3.09740,"{""ntp"": 1.437399983406067, ""mtp"": 1.66000497341156}",0.36719,0.54331,0.93246,-0.01272,41.83,9.46e-04,190926
1000,2.99686,"{""ntp"": 1.4162424802780151, ""mtp"": 1.5806180238723755}",0.37109,0.52756,0.95068,-0.01250,45.93,9.05e-04,191124
1200,2.93378,"{""ntp"": 1.4078457355499268, ""mtp"": 1.5259320735931396}",0.43750,0.54724,0.96158,-0.01233,49.63,8.55e-04,191157
1400,2.87999,"{""ntp"": 1.4076685905456543, ""mtp"": 1.4723217487335205}",0.48828,0.59843,0.96858,-0.01205,53.97,7.96e-04,191748
1600,2.77118,"{""ntp"": 1.3819738626480103, ""mtp"": 1.3892065286636353}",0.47656,0.59055,0.97311,-0.01183,55.32,7.31e-04,191701
1800,2.71106,"{""ntp"": 1.3765250444412231, ""mtp"": 1.334531545639038}",0.51172,0.61417,0.97669,-0.01154,58.25,6.60e-04,191987
2000,2.68569,"{""ntp"": 1.377544641494751, ""mtp"": 1.3081481456756592}",0.61328,0.70866,0.97903,-0.01127,59.18,5.87e-04,192267
2200,2.64749,"{""ntp"": 1.3687160015106201, ""mtp"": 1.2787712812423706}",0.57422,0.65748,0.98100,-0.01134,60.72,5.13e-04,192151
2400,2.60842,"{""ntp"": 1.3534749746322632, ""mtp"": 1.2549469470977783}",0.62109,0.69685,0.98238,-0.01143,61.84,4.40e-04,191852
2600,2.58105,"{""ntp"": 1.352453351020813, ""mtp"": 1.228594183921814}",0.65234,0.70866,0.98372,-0.01128,61.66,3.69e-04,191496
2800,2.52951,"{""ntp"": 1.3366355895996094, ""mtp"": 1.192875862121582}",0.66797,0.73622,0.98479,-0.01112,59.94,3.04e-04,191005
3000,2.53117,"{""ntp"": 1.348720908164978, ""mtp"": 1.1824530363082886}",0.73047,0.79921,0.98550,-0.01108,61.42,2.45e-04,190561
3200,2.49536,"{""ntp"": 1.3393223285675049, ""mtp"": 1.1560419797897339}",0.71094,0.76772,0.98606,-0.01100,61.81,1.95e-04,190271
3400,2.49850,"{""ntp"": 1.3434313535690308, ""mtp"": 1.1550636291503906}",0.71094,0.76772,0.98657,-0.01103,60.08,1.54e-04,190366
3600,2.45475,"{""ntp"": 1.3330776691436768, ""mtp"": 1.1216681003570557}",0.70312,0.77559,0.98692,-0.01098,58.14,1.24e-04,190360
3800,2.44164,"{""ntp"": 1.3302010297775269, ""mtp"": 1.1114437580108643}",0.76172,0.79528,0.98721,-0.01094,58.59,1.06e-04,190495
4000,2.43805,"{""ntp"": 1.3252919912338257, ""mtp"": 1.1127556562423706}",0.72266,0.77165,0.98742,-0.01095,59.33,1.00e-04,190547
