step,loss,loss_parts,path_acc,decision_acc,syn_cos_within,syn_cos_between,erank_last,lr,tok_per_s
200,2.15734,"{""ntp"": 2.1573429107666016}",0.00391,0.24803,0.71780,-0.01375,18.06,1.00e-03,214320
400,1.50666,"{""ntp"": 1.5066593885421753}",0.25781,0.47638,0.86096,-0.01481,20.76,9.94e-04,218520
600,1.45923,"{""ntp"": 1.4592312574386597}",0.36328,0.51181,0.90566,-0.01370,22.02,9.76e-04,222436
800,1.43151,"{""ntp"": 1.4315061569213867}",0.34766,0.54331,0.93153,-0.01329,22.03,9.46e-04,223813
1000,1.42109,"{""ntp"": 1.421086072921753}",0.38281,0.56299,0.94733,-0.01344,21.74,9.05e-04,224661
1200,1.40178,"{""ntp"": 1.4017781019210815}",0.42188,0.57874,0.95768,-0.01359,22.02,8.55e-04,225804
1400,1.40859,"{""ntp"": 1.4085909128189087}",0.43359,0.57874,0.96522,-0.01372,22.75,7.96e-04,226227
1600,1.40513,"{""ntp"": 1.4051262140274048}",0.50000,0.63780,0.97019,-0.01368,22.49,7.31e-04,226986
1800,1.39775,"{""ntp"": 1.3977528810501099}",0.50781,0.61024,0.97368,-0.01355,23.13,6.60e-04,227209
2000,1.38188,"{""ntp"": 1.3818786144256592}",0.51562,0.62205,0.97646,-0.01358,23.18,5.87e-04,227760
2200,1.36989,"{""ntp"": 1.369889497756958}",0.50391,0.61811,0.97846,-0.01357,23.93,5.13e-04,227881
2400,1.36851,"{""ntp"": 1.3685050010681152}",0.46875,0.59055,0.98002,-0.01348,23.42,4.40e-04,228288
2600,1.35731,"{""ntp"": 1.3573120832443237}",0.52734,0.64173,0.98128,-0.01336,23.75,3.69e-04,228345
2800,1.36527,"{""ntp"": 1.3652737140655518}",0.56250,0.65354,0.98206,-0.01317,23.77,3.04e-04,228634
3000,1.36287,"{""ntp"": 1.3628654479980469}",0.59375,0.68504,0.98272,-0.01311,23.31,2.45e-04,228581
3200,1.36065,"{""ntp"": 1.3606456518173218}",0.55859,0.65748,0.98319,-0.01292,23.11,1.95e-04,228720
3400,1.35402,"{""ntp"": 1.3540153503417969}",0.62500,0.71260,0.98361,-0.01281,22.91,1.54e-04,228663
3600,1.35419,"{""ntp"": 1.3541932106018066}",0.61719,0.70866,0.98393,-0.01266,22.68,1.24e-04,228382
3800,1.34993,"{""ntp"": 1.3499298095703125}",0.60547,0.70472,0.98418,-0.01254,22.98,1.06e-04,228519
4000,1.34196,"{""ntp"": 1.341962218284607}",0.64062,0.72047,0.98434,-0.01246,22.66,1.00e-04,228437
