step,loss,loss_parts,set_acc,path_valid,len_ratio,erank_last,lr,tok_per_s
200,0.55099,"{""ntp"": 0.5258871912956238, ""jepa_pooled"": 0.025102417916059494}",0.00000,0.01302,0.02230,29.31,1.00e-03,127629
400,0.22958,"{""ntp"": 0.19086173176765442, ""jepa_pooled"": 0.03871962055563927}",0.03516,0.37240,0.66494,42.79,9.94e-04,129947
600,0.20910,"{""ntp"": 0.16155008971691132, ""jepa_pooled"": 0.0475471056997776}",0.01953,0.42448,0.83030,51.82,9.76e-04,131533
800,0.19432,"{""ntp"": 0.14621520042419434, ""jepa_pooled"": 0.04810244217514992}",0.06250,0.52995,0.93545,57.17,9.46e-04,132346
1000,0.18158,"{""ntp"": 0.13183477520942688, ""jepa_pooled"": 0.04974803328514099}",0.10547,0.54557,0.94724,62.18,9.05e-04,132414
1200,0.18077,"{""ntp"": 0.1311521977186203, ""jepa_pooled"": 0.04962119460105896}",0.13281,0.58594,0.96801,65.30,8.55e-04,132728
1400,0.17655,"{""ntp"": 0.1266503632068634, ""jepa_pooled"": 0.04989773780107498}",0.21484,0.70573,0.97626,66.51,7.96e-04,132858
1600,0.17616,"{""ntp"": 0.12605005502700806, ""jepa_pooled"": 0.05011386051774025}",0.24609,0.71745,0.97917,68.62,7.31e-04,133279
1800,0.15544,"{""ntp"": 0.10757452249526978, ""jepa_pooled"": 0.04786746948957443}",0.34375,0.77344,0.98835,68.95,6.60e-04,133313
2000,0.16404,"{""ntp"": 0.11661288887262344, ""jepa_pooled"": 0.04742361232638359}",0.36328,0.77214,0.97725,70.39,5.87e-04,133467
2200,0.15423,"{""ntp"": 0.10884176194667816, ""jepa_pooled"": 0.04538438469171524}",0.49609,0.83984,0.98445,70.57,5.13e-04,133577
2400,0.14530,"{""ntp"": 0.1012260913848877, ""jepa_pooled"": 0.04406973347067833}",0.53125,0.85807,0.99448,70.53,4.40e-04,133690
2600,0.15059,"{""ntp"": 0.10765582323074341, ""jepa_pooled"": 0.042937327176332474}",0.67578,0.90104,0.99403,70.21,3.69e-04,133851
2800,0.13680,"{""ntp"": 0.09520352631807327, ""jepa_pooled"": 0.041594233363866806}",0.58984,0.88281,0.99800,70.06,3.04e-04,133948
3000,0.13570,"{""ntp"": 0.09484299272298813, ""jepa_pooled"": 0.04085257276892662}",0.74609,0.92708,0.99343,69.46,2.45e-04,133993
3200,0.13222,"{""ntp"": 0.09240906685590744, ""jepa_pooled"": 0.03981264308094978}",0.73047,0.92578,0.99781,69.28,1.95e-04,134037
3400,0.13606,"{""ntp"": 0.0970071479678154, ""jepa_pooled"": 0.03904873505234718}",0.78516,0.94141,0.99496,68.46,1.54e-04,134087
3600,0.13201,"{""ntp"": 0.09456626325845718, ""jepa_pooled"": 0.03743928298354149}",0.75781,0.93880,0.99781,67.90,1.24e-04,134174
3800,0.12550,"{""ntp"": 0.08906582742929459, ""jepa_pooled"": 0.03643088415265083}",0.78906,0.94661,0.99829,67.52,1.06e-04,134151
4000,0.12473,"{""ntp"": 0.0883786752820015, ""jepa_pooled"": 0.03634890541434288}",0.78516,0.94661,0.99917,67.11,1.00e-04,134015
