step,loss,loss_parts,set_acc,path_valid,len_ratio,erank_last,lr,tok_per_s
200,1.54923,"{""ntp"": 0.5483295917510986, ""mtp"": 1.000899314880371}",0.00000,0.00651,0.01737,26.11,1.00e-03,128919
400,0.95459,"{""ntp"": 0.20100103318691254, ""mtp"": 0.7535845637321472}",0.00391,0.29687,0.64336,39.45,9.94e-04,132473
600,0.72451,"{""ntp"": 0.15736344456672668, ""mtp"": 0.5671507716178894}",0.05469,0.48828,0.84840,49.72,9.76e-04,132850
800,0.61342,"{""ntp"": 0.1402548998594284, ""mtp"": 0.4731677770614624}",0.12891,0.61458,0.93733,57.41,9.46e-04,132613
1000,0.55712,"{""ntp"": 0.1339063197374344, ""mtp"": 0.4232169985771179}",0.08984,0.57422,0.96346,62.11,9.05e-04,132505
1200,0.52516,"{""ntp"": 0.13057096302509308, ""mtp"": 0.3945879340171814}",0.08594,0.60547,0.96152,66.10,8.55e-04,132299
1400,0.49994,"{""ntp"": 0.12322066724300385, ""mtp"": 0.3767161965370178}",0.13672,0.66406,0.98728,69.99,7.96e-04,131266
1600,0.46642,"{""ntp"": 0.11998011916875839, ""mtp"": 0.34643733501434326}",0.23047,0.70833,0.97473,71.97,7.31e-04,130385
1800,0.43401,"{""ntp"": 0.11189032346010208, ""mtp"": 0.322122722864151}",0.30078,0.75391,0.98761,69.60,6.60e-04,129708
2000,0.42083,"{""ntp"": 0.11027342826128006, ""mtp"": 0.31055688858032227}",0.34375,0.78516,0.99056,70.38,5.87e-04,129340
2200,0.41159,"{""ntp"": 0.10568898171186447, ""mtp"": 0.30590111017227173}",0.30469,0.77214,0.99128,69.73,5.13e-04,129512
2400,0.40657,"{""ntp"": 0.10781337320804596, ""mtp"": 0.2987554669380188}",0.47656,0.83724,0.99588,69.20,4.40e-04,129668
2600,0.38737,"{""ntp"": 0.10109739750623703, ""mtp"": 0.28627365827560425}",0.49219,0.83724,0.99167,69.47,3.69e-04,129830
2800,0.36877,"{""ntp"": 0.09813868999481201, ""mtp"": 0.2706339359283447}",0.64844,0.89323,0.99215,69.11,3.04e-04,130587
3000,0.36506,"{""ntp"": 0.09611187130212784, ""mtp"": 0.26895013451576233}",0.67969,0.90755,0.99781,68.63,2.45e-04,131390
3200,0.34675,"{""ntp"": 0.09122543036937714, ""mtp"": 0.255521684885025}",0.71094,0.91797,0.99803,68.78,1.95e-04,132096
3400,0.34357,"{""ntp"": 0.09363402426242828, ""mtp"": 0.24993449449539185}",0.67578,0.90234,0.99924,68.52,1.54e-04,132698
3600,0.34802,"{""ntp"": 0.09208372235298157, ""mtp"": 0.25593695044517517}",0.72656,0.92448,0.99876,66.96,1.24e-04,133262
3800,0.35655,"{""ntp"": 0.09543192386627197, ""mtp"": 0.261115700006485}",0.80469,0.94010,0.99946,67.59,1.06e-04,133788
4000,0.32752,"{""ntp"": 0.08698059618473053, ""mtp"": 0.24053961038589478}",0.74609,0.92578,0.99880,66.85,1.00e-04,134265
