step,loss,loss_parts,set_acc,path_valid,len_ratio,erank_last,lr,tok_per_s
200,0.52232,"{""ntp"": 0.5223199725151062}",0.00000,0.00911,0.02420,25.02,1.00e-03,145103
400,0.19352,"{""ntp"": 0.19352009892463684}",0.01953,0.35286,0.69314,32.60,9.94e-04,147518
600,0.16845,"{""ntp"": 0.16845467686653137}",0.03125,0.44792,0.81645,36.45,9.76e-04,148640
800,0.15217,"{""ntp"": 0.15216998755931854}",0.05469,0.49740,0.91137,38.89,9.46e-04,149607
1000,0.13775,"{""ntp"": 0.1377497762441635}",0.08594,0.52734,0.93287,42.28,9.05e-04,150235
1200,0.13516,"{""ntp"": 0.13515634834766388}",0.11328,0.59505,0.97379,44.90,8.55e-04,150717
1400,0.12955,"{""ntp"": 0.12955205142498016}",0.16016,0.65365,0.97347,46.37,7.96e-04,151071
1600,0.12888,"{""ntp"": 0.1288837492465973}",0.13672,0.67057,0.97443,48.23,7.31e-04,151313
1800,0.11066,"{""ntp"": 0.1106601282954216}",0.28516,0.74870,0.97769,46.69,6.60e-04,151505
2000,0.11727,"{""ntp"": 0.11726685613393784}",0.33594,0.77865,0.99402,48.28,5.87e-04,151598
2200,0.10999,"{""ntp"": 0.1099889874458313}",0.33203,0.77995,0.98191,48.23,5.13e-04,151676
2400,0.10076,"{""ntp"": 0.1007620170712471}",0.48828,0.84505,0.99023,47.81,4.40e-04,151746
2600,0.10834,"{""ntp"": 0.1083362028002739}",0.59375,0.87500,0.99165,47.24,3.69e-04,151822
2800,0.09466,"{""ntp"": 0.0946575179696083}",0.64062,0.89323,0.99471,47.16,3.04e-04,151890
3000,0.09670,"{""ntp"": 0.0967039242386818}",0.66797,0.90755,0.99269,47.22,2.45e-04,151943
3200,0.09274,"{""ntp"": 0.09274015575647354}",0.70703,0.92448,0.99484,46.52,1.95e-04,152010
3400,0.10014,"{""ntp"": 0.10014188289642334}",0.78906,0.94531,0.99554,46.74,1.54e-04,152054
3600,0.09490,"{""ntp"": 0.0949021652340889}",0.82422,0.95312,0.99957,46.16,1.24e-04,152088
3800,0.08932,"{""ntp"": 0.0893244594335556}",0.85547,0.96354,0.99909,46.16,1.06e-04,152131
4000,0.08866,"{""ntp"": 0.08866454660892487}",0.82031,0.95573,0.99855,45.99,1.00e-04,152163
