step,loss,loss_parts,set_acc,path_valid,len_ratio,syn_cos_within,syn_cos_between,erank_last,lr,tok_per_s
200,3.44762,"{""ntp"": 3.407102584838867, ""jepa_pooled"": 0.04052207991480827}",0.00000,0.00391,0.00636,0.69234,-0.01977,16.36,1.00e-03,114371
400,2.92308,"{""ntp"": 2.8917348384857178, ""jepa_pooled"": 0.03134024515748024}",0.00781,0.29557,0.44552,0.81449,-0.02091,23.16,9.94e-04,116246
600,2.87815,"{""ntp"": 2.8403635025024414, ""jepa_pooled"": 0.037791457027196884}",0.01562,0.55729,0.74307,0.85359,-0.02018,26.51,9.76e-04,116912
800,2.85165,"{""ntp"": 2.8119544982910156, ""jepa_pooled"": 0.03969066962599754}",0.01562,0.60026,0.80172,0.88006,-0.01961,28.99,9.46e-04,117225
1000,2.84688,"{""ntp"": 2.8032994270324707, ""jepa_pooled"": 0.043583545833826065}",0.08203,0.63411,0.87684,0.89891,-0.01878,30.18,9.05e-04,117438
1200,2.83733,"{""ntp"": 2.7911624908447266, ""jepa_pooled"": 0.046169158071279526}",0.12109,0.71094,0.90534,0.91264,-0.01804,31.34,8.55e-04,117541
1400,2.82694,"{""ntp"": 2.780567169189453, ""jepa_pooled"": 0.04637062922120094}",0.16016,0.73177,0.93466,0.92326,-0.01749,32.96,7.96e-04,117715
1600,2.82923,"{""ntp"": 2.7832303047180176, ""jepa_pooled"": 0.04600043222308159}",0.21484,0.79427,0.94287,0.93108,-0.01694,33.54,7.31e-04,117794
1800,2.81637,"{""ntp"": 2.77081561088562, ""jepa_pooled"": 0.04555223509669304}",0.23828,0.81510,0.95459,0.93710,-0.01660,33.51,6.60e-04,117845
2000,2.80605,"{""ntp"": 2.7632791996002197, ""jepa_pooled"": 0.042772434651851654}",0.34766,0.86328,0.97641,0.94207,-0.01634,33.77,5.87e-04,117927
2200,2.80212,"{""ntp"": 2.759781837463379, ""jepa_pooled"": 0.042341068387031555}",0.39062,0.87891,0.98335,0.94585,-0.01608,34.42,5.13e-04,117925
2400,2.79327,"{""ntp"": 2.7531681060791016, ""jepa_pooled"": 0.04010312259197235}",0.45312,0.90495,0.98742,0.94892,-0.01590,34.25,4.40e-04,117878
2600,2.79102,"{""ntp"": 2.7519967555999756, ""jepa_pooled"": 0.039028238505125046}",0.41016,0.88932,0.98255,0.95128,-0.01574,33.85,3.69e-04,117828
2800,2.78780,"{""ntp"": 2.7505335807800293, ""jepa_pooled"": 0.03726921230554581}",0.59375,0.95182,0.99294,0.95315,-0.01565,34.16,3.04e-04,117850
3000,2.78228,"{""ntp"": 2.7460055351257324, ""jepa_pooled"": 0.03627782315015793}",0.59375,0.94531,0.99191,0.95456,-0.01555,33.84,2.45e-04,117844
3200,2.77999,"{""ntp"": 2.7447216510772705, ""jepa_pooled"": 0.035265132784843445}",0.65234,0.96354,0.99418,0.95563,-0.01548,33.45,1.95e-04,117789
3400,2.77757,"{""ntp"": 2.7431931495666504, ""jepa_pooled"": 0.03438092768192291}",0.63672,0.95443,0.99452,0.95650,-0.01544,33.53,1.54e-04,117743
3600,2.76881,"{""ntp"": 2.7350337505340576, ""jepa_pooled"": 0.033780381083488464}",0.69141,0.96354,0.99556,0.95713,-0.01543,33.32,1.24e-04,117703
3800,2.77257,"{""ntp"": 2.7393441200256348, ""jepa_pooled"": 0.03322672098875046}",0.71484,0.97396,0.99618,0.95763,-0.01538,33.29,1.06e-04,117661
4000,2.76873,"{""ntp"": 2.736466884613037, ""jepa_pooled"": 0.03226368501782417}",0.69922,0.97266,0.99575,0.95804,-0.01536,32.69,1.00e-04,117597
