step,loss,loss_parts,set_acc,path_valid,len_ratio,syn_cos_within,syn_cos_between,erank_last,lr,tok_per_s
200,5.81708,"{""ntp"": 3.4056642055511475, ""mtp"": 2.4114162921905518}",0.00000,0.00130,0.00284,0.70400,-0.01929,15.50,1.00e-03,112921
400,5.14156,"{""ntp"": 2.9174323081970215, ""mtp"": 2.2241249084472656}",0.00000,0.25391,0.36605,0.82827,-0.02090,27.03,9.94e-04,114496
600,4.92600,"{""ntp"": 2.8611502647399902, ""mtp"": 2.064847469329834}",0.01953,0.47005,0.70474,0.86745,-0.02125,33.79,9.76e-04,115063
800,4.71396,"{""ntp"": 2.8152120113372803, ""mtp"": 1.8987512588500977}",0.00781,0.67448,0.82660,0.89359,-0.02174,41.04,9.46e-04,115716
1000,4.61607,"{""ntp"": 2.796804189682007, ""mtp"": 1.8192658424377441}",0.08203,0.68750,0.90990,0.91250,-0.02200,46.91,9.05e-04,116119
1200,4.54857,"{""ntp"": 2.790123462677002, ""mtp"": 1.758451223373413}",0.13281,0.74219,0.94535,0.92621,-0.02232,53.75,8.55e-04,116390
1400,4.49853,"{""ntp"": 2.777697801589966, ""mtp"": 1.7208369970321655}",0.22656,0.76562,0.95161,0.93649,-0.02245,56.45,7.96e-04,116628
1600,4.46658,"{""ntp"": 2.7772116661071777, ""mtp"": 1.6893643140792847}",0.37109,0.85286,0.97460,0.94415,-0.02244,59.53,7.31e-04,116817
1800,4.44864,"{""ntp"": 2.7683722972869873, ""mtp"": 1.680264949798584}",0.37500,0.86198,0.98306,0.95006,-0.02251,61.24,6.60e-04,116932
2000,4.40250,"{""ntp"": 2.7561488151550293, ""mtp"": 1.6463501453399658}",0.45703,0.89193,0.98613,0.95475,-0.02248,63.52,5.87e-04,117029
2200,4.41638,"{""ntp"": 2.760181188583374, ""mtp"": 1.6562018394470215}",0.51172,0.88542,0.97932,0.95817,-0.02249,63.54,5.13e-04,117093
2400,4.37581,"{""ntp"": 2.748800277709961, ""mtp"": 1.6270092725753784}",0.60547,0.92578,0.99529,0.96096,-0.02251,64.18,4.40e-04,117158
2600,4.37702,"{""ntp"": 2.7500312328338623, ""mtp"": 1.6269915103912354}",0.62891,0.93490,0.99414,0.96314,-0.02250,64.96,3.69e-04,117198
2800,4.34803,"{""ntp"": 2.7426393032073975, ""mtp"": 1.6053860187530518}",0.68359,0.95443,0.99639,0.96474,-0.02251,63.15,3.04e-04,117240
3000,4.34753,"{""ntp"": 2.7400429248809814, ""mtp"": 1.6074881553649902}",0.71094,0.95833,0.99656,0.96606,-0.02252,63.24,2.45e-04,117277
3200,4.33400,"{""ntp"": 2.737222909927368, ""mtp"": 1.596774935722351}",0.71875,0.97266,0.99705,0.96706,-0.02252,62.72,1.95e-04,117324
3400,4.32179,"{""ntp"": 2.735193967819214, ""mtp"": 1.5866001844406128}",0.70703,0.95573,0.99215,0.96780,-0.02254,61.98,1.54e-04,117347
3600,4.31638,"{""ntp"": 2.7327933311462402, ""mtp"": 1.5835834741592407}",0.77344,0.98307,0.99745,0.96837,-0.02254,61.37,1.24e-04,117369
3800,4.31521,"{""ntp"": 2.7353763580322266, ""mtp"": 1.5798288583755493}",0.75000,0.97917,0.99848,0.96879,-0.02254,61.10,1.06e-04,117395
4000,4.30832,"{""ntp"": 2.7333786487579346, ""mtp"": 1.5749385356903076}",0.76562,0.97656,0.99827,0.96915,-0.02256,59.46,1.00e-04,117420
