step,loss,loss_parts,set_acc,path_valid,len_ratio,syn_cos_within,syn_cos_between,erank_last,lr,tok_per_s
200,3.28911,"{""ntp"": 3.289113998413086}",0.00000,0.00391,0.00934,0.69715,-0.01890,16.71,1.00e-03,119154
400,2.89757,"{""ntp"": 2.8975670337677}",0.01172,0.28255,0.44127,0.81624,-0.02000,23.12,9.94e-04,121636
600,2.84999,"{""ntp"": 2.8499858379364014}",0.01172,0.48307,0.68721,0.85439,-0.01924,25.51,9.76e-04,123451
800,2.83666,"{""ntp"": 2.836655378341675}",0.01953,0.55469,0.75688,0.87963,-0.01842,26.76,9.46e-04,123850
1000,2.80910,"{""ntp"": 2.8090968132019043}",0.03125,0.64974,0.83425,0.89806,-0.01785,27.46,9.05e-04,123757
1200,2.79477,"{""ntp"": 2.7947700023651123}",0.07812,0.67318,0.86616,0.91114,-0.01728,28.72,8.55e-04,124686
1400,2.79762,"{""ntp"": 2.797621250152588}",0.07812,0.73437,0.93790,0.92096,-0.01673,28.62,7.96e-04,125768
1600,2.78847,"{""ntp"": 2.788468837738037}",0.16016,0.75260,0.91622,0.92845,-0.01630,29.41,7.31e-04,126536
1800,2.78170,"{""ntp"": 2.781698703765869}",0.17969,0.84635,0.94769,0.93463,-0.01578,30.06,6.60e-04,127154
2000,2.77286,"{""ntp"": 2.7728607654571533}",0.31250,0.85807,0.96270,0.93933,-0.01537,30.17,5.87e-04,127672
2200,2.76778,"{""ntp"": 2.767775297164917}",0.29688,0.88802,0.96801,0.94285,-0.01505,30.31,5.13e-04,128083
2400,2.75653,"{""ntp"": 2.756533622741699}",0.36328,0.91016,0.97477,0.94576,-0.01480,30.19,4.40e-04,128436
2600,2.75567,"{""ntp"": 2.7556657791137695}",0.46875,0.92057,0.98369,0.94812,-0.01460,29.85,3.69e-04,128717
2800,2.74913,"{""ntp"": 2.749130964279175}",0.53516,0.91667,0.98039,0.94983,-0.01449,29.93,3.04e-04,128974
3000,2.74795,"{""ntp"": 2.747950315475464}",0.54297,0.91927,0.99001,0.95122,-0.01439,29.72,2.45e-04,129187
3200,2.74635,"{""ntp"": 2.746352434158325}",0.62500,0.94661,0.98703,0.95233,-0.01437,29.48,1.95e-04,129383
3400,2.74460,"{""ntp"": 2.7445971965789795}",0.62500,0.94141,0.98788,0.95312,-0.01431,29.56,1.54e-04,129549
3600,2.73847,"{""ntp"": 2.73846697807312}",0.64844,0.94531,0.98440,0.95372,-0.01426,29.94,1.24e-04,129698
3800,2.73911,"{""ntp"": 2.7391104698181152}",0.69141,0.95703,0.99375,0.95421,-0.01424,29.38,1.06e-04,129833
4000,2.74350,"{""ntp"": 2.743497848510742}",0.69922,0.97135,0.99374,0.95458,-0.01423,29.45,1.00e-04,129952
