step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
200,1.24708,"{""ntp"": 0.8671468496322632, ""jepa_pooled"": 0.37993723154067993}",0.00391,0.20553,22.90,1.00e-03,254049
400,0.59743,"{""ntp"": 0.22778813540935516, ""jepa_pooled"": 0.36963915824890137}",0.16406,0.49407,32.97,9.94e-04,267284
600,0.50900,"{""ntp"": 0.14772826433181763, ""jepa_pooled"": 0.36126965284347534}",0.25000,0.51383,39.21,9.76e-04,271041
800,0.51168,"{""ntp"": 0.15519100427627563, ""jepa_pooled"": 0.35648807883262634}",0.26953,0.49802,42.85,9.46e-04,276985
1000,0.46378,"{""ntp"": 0.1141340509057045, ""jepa_pooled"": 0.34964293241500854}",0.37500,0.56522,46.22,9.05e-04,279346
1200,0.45403,"{""ntp"": 0.09756532311439514, ""jepa_pooled"": 0.3564647138118744}",0.35547,0.53755,48.33,8.55e-04,281336
1400,0.46566,"{""ntp"": 0.1004810780286789, ""jepa_pooled"": 0.3651798963546753}",0.42188,0.58498,51.95,7.96e-04,281866
1600,0.47124,"{""ntp"": 0.08583377301692963, ""jepa_pooled"": 0.3854050636291504}",0.50000,0.64822,54.06,7.31e-04,282705
1800,0.48985,"{""ntp"": 0.07658936828374863, ""jepa_pooled"": 0.4132590591907501}",0.48438,0.62451,56.23,6.60e-04,285172
2000,0.52479,"{""ntp"": 0.07425829023122787, ""jepa_pooled"": 0.4505334496498108}",0.53516,0.67194,57.22,5.87e-04,285129
2200,0.55698,"{""ntp"": 0.06967005133628845, ""jepa_pooled"": 0.48730671405792236}",0.59375,0.69565,59.04,5.13e-04,284322
2400,0.59029,"{""ntp"": 0.0625063106417656, ""jepa_pooled"": 0.527779221534729}",0.57422,0.69565,59.53,4.40e-04,283265
2600,0.63445,"{""ntp"": 0.06602858752012253, ""jepa_pooled"": 0.5684205293655396}",0.60938,0.70751,60.99,3.69e-04,281453
2800,0.66742,"{""ntp"": 0.06259115785360336, ""jepa_pooled"": 0.6048259735107422}",0.62109,0.73123,61.00,3.04e-04,279811
3000,0.70274,"{""ntp"": 0.06269354373216629, ""jepa_pooled"": 0.6400415897369385}",0.70312,0.79051,61.45,2.45e-04,279039
3200,0.72224,"{""ntp"": 0.060518089681863785, ""jepa_pooled"": 0.661719799041748}",0.62109,0.72332,60.80,1.95e-04,277579
3400,0.73385,"{""ntp"": 0.051476217806339264, ""jepa_pooled"": 0.6823697090148926}",0.64062,0.71542,62.34,1.54e-04,276857
3600,0.76457,"{""ntp"": 0.06136122718453407, ""jepa_pooled"": 0.7032123804092407}",0.62109,0.73123,63.05,1.24e-04,275804
3800,0.75988,"{""ntp"": 0.04900309070944786, ""jepa_pooled"": 0.7108783721923828}",0.61719,0.69170,62.17,1.06e-04,274803
4000,0.77692,"{""ntp"": 0.053231000900268555, ""jepa_pooled"": 0.7236844301223755}",0.64062,0.73123,63.64,1.00e-04,274095
