step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
400,6.31384,"{""ntp"": 2.0970218181610107, ""backchain"": 4.2168169021606445, ""bc_g"": 2.417391538619995, ""bc_m"": 3.2834603786468506, ""bc_a"": 2.7327818870544434}",0.00000,0.03906,22.48,1.60e-03,131564
800,5.67284,"{""ntp"": 1.943405270576477, ""backchain"": 3.7294363975524902, ""bc_g"": 2.2764194011688232, ""bc_m"": 2.9590117931365967, ""bc_a"": 2.2234418392181396}",0.00000,0.06250,1.28,2.00e-03,134068
1200,6.06130,"{""ntp"": 1.9240645170211792, ""backchain"": 4.137235641479492, ""bc_g"": 2.2499873638153076, ""bc_m"": 2.886025905609131, ""bc_a"": 3.138458013534546}",0.00000,0.05078,1.06,2.00e-03,134160
1600,5.57807,"{""ntp"": 1.8910304307937622, ""backchain"": 3.687035322189331, ""bc_g"": 2.207324743270874, ""bc_m"": 2.8143093585968018, ""bc_a"": 2.3524365425109863}",0.00000,0.04297,1.02,2.00e-03,134310
2000,5.11800,"{""ntp"": 1.8268563747406006, ""backchain"": 3.2911429405212402, ""bc_g"": 2.138653039932251, ""bc_m"": 2.6874608993530273, ""bc_a"": 1.7561721801757812}",0.00000,0.06641,1.01,2.00e-03,135622
2400,5.07815,"{""ntp"": 1.8161770105361938, ""backchain"": 3.2619762420654297, ""bc_g"": 2.1134955883026123, ""bc_m"": 2.6579623222351074, ""bc_a"": 1.7524946928024292}",0.00000,0.05469,1.01,2.00e-03,139173
2800,5.08209,"{""ntp"": 1.7776092290878296, ""backchain"": 3.3044846057891846, ""bc_g"": 2.0724973678588867, ""bc_m"": 2.6031250953674316, ""bc_a"": 1.9333468675613403}",0.00000,0.04297,1.01,2.00e-03,141487
3200,2.69769,"{""ntp"": 0.3734906017780304, ""backchain"": 2.324197769165039, ""bc_g"": 0.02178158052265644, ""bc_m"": 2.4911956787109375, ""bc_a"": 2.13541841506958}",0.21094,0.21094,1.00,2.00e-03,140506
3600,2.59629,"{""ntp"": 0.30873292684555054, ""backchain"": 2.2875590324401855, ""bc_g"": 0.011540343053638935, ""bc_m"": 2.132681131362915, ""bc_a"": 2.430896759033203}",0.17578,0.17969,1.00,2.00e-03,139768
4000,2.65590,"{""ntp"": 0.2675764858722687, ""backchain"": 2.3883280754089355, ""bc_g"": 0.017723772674798965, ""bc_m"": 1.953366994857788, ""bc_a"": 2.805565118789673}",0.21094,0.21094,1.00,2.00e-03,139193
4400,2.67866,"{""ntp"": 0.26879575848579407, ""backchain"": 2.4098620414733887, ""bc_g"": 0.0006306353025138378, ""bc_m"": 1.8611546754837036, ""bc_a"": 2.9579389095306396}",0.19141,0.19141,1.00,2.00e-03,140322
4800,2.68404,"{""ntp"": 0.26941582560539246, ""backchain"": 2.4146230220794678, ""bc_g"": 0.0010241171112284064, ""bc_m"": 1.8100509643554688, ""bc_a"": 3.0181708335876465}",0.19531,0.19922,1.00,2.00e-03,140917
5200,2.71186,"{""ntp"": 0.2688427269458771, ""backchain"": 2.443021059036255, ""bc_g"": 0.0043886941857635975, ""bc_m"": 1.7775993347167969, ""bc_a"": 3.1040539741516113}",0.23438,0.23438,1.00,2.00e-03,141734
5600,2.71758,"{""ntp"": 0.25216540694236755, ""backchain"": 2.4654157161712646, ""bc_g"": 0.0017440206138417125, ""bc_m"": 1.7688432931900024, ""bc_a"": 3.1602439880371094}",0.21484,0.21484,1.00,2.00e-03,141541
6000,2.68740,"{""ntp"": 0.2644903063774109, ""backchain"": 2.422905921936035, ""bc_g"": 0.0005939847906120121, ""bc_m"": 1.6663240194320679, ""bc_a"": 3.178893566131592}",0.23438,0.23438,1.00,2.00e-03,142496
6400,2.65110,"{""ntp"": 0.2505497336387634, ""backchain"": 2.400547504425049, ""bc_g"": 0.00040998533950187266, ""bc_m"": 1.6146109104156494, ""bc_a"": 3.1860740184783936}",0.18359,0.18359,1.00,2.00e-03,142180
6800,2.64285,"{""ntp"": 0.25038594007492065, ""backchain"": 2.392460823059082, ""bc_g"": 0.002579186810180545, ""bc_m"": 1.5407527685165405, ""bc_a"": 3.2415897846221924}",0.23047,0.23047,1.00,2.00e-03,142817
7200,2.68919,"{""ntp"": 0.2596614360809326, ""backchain"": 2.4295239448547363, ""bc_g"": 0.0003042557218577713, ""bc_m"": 1.5678178071975708, ""bc_a"": 3.2909257411956787}",0.21875,0.21875,1.00,2.00e-03,143040
7600,2.69524,"{""ntp"": 0.24590866267681122, ""backchain"": 2.4493296146392822, ""bc_g"": 0.0005777659243904054, ""bc_m"": 1.5390795469284058, ""bc_a"": 3.359001874923706}",0.21094,0.21094,1.00,2.00e-03,143244
8000,2.72737,"{""ntp"": 0.2543724477291107, ""backchain"": 2.4729952812194824, ""bc_g"": 0.0005280409823171794, ""bc_m"": 1.528954267501831, ""bc_a"": 3.416508197784424}",0.21875,0.21875,1.00,2.00e-03,143155
8400,2.74745,"{""ntp"": 0.24123379588127136, ""backchain"": 2.506211757659912, ""bc_g"": 0.00045259681064635515, ""bc_m"": 1.5014768838882446, ""bc_a"": 3.5104942321777344}",0.25781,0.25781,1.00,2.00e-03,143044
8800,2.79217,"{""ntp"": 0.26017433404922485, ""backchain"": 2.531996250152588, ""bc_g"": 0.00030797181534580886, ""bc_m"": 1.501724362373352, ""bc_a"": 3.561960458755493}",0.18359,0.18359,1.00,2.00e-03,143016
9200,2.80802,"{""ntp"": 0.24797651171684265, ""backchain"": 2.560041904449463, ""bc_g"": 0.00024727731943130493, ""bc_m"": 1.4757797718048096, ""bc_a"": 3.644056797027588}",0.18750,0.18750,1.00,2.00e-03,143208
9600,2.83297,"{""ntp"": 0.24825461208820343, ""backchain"": 2.5847158432006836, ""bc_g"": 0.0004860875487793237, ""bc_m"": 1.4518131017684937, ""bc_a"": 3.717132568359375}",0.21875,0.21875,1.00,2.00e-03,143622
10000,2.86441,"{""ntp"": 0.24808631837368011, ""backchain"": 2.616323232650757, ""bc_g"": 0.0001671979553066194, ""bc_m"": 1.4697966575622559, ""bc_a"": 3.7626826763153076}",0.17188,0.17188,1.00,2.00e-03,143518
10400,2.89382,"{""ntp"": 0.24866342544555664, ""backchain"": 2.6451544761657715, ""bc_g"": 0.0045169261284172535, ""bc_m"": 1.4466580152511597, ""bc_a"": 3.8391342163085938}",0.20703,0.20703,1.00,2.00e-03,144193
10800,2.93059,"{""ntp"": 0.2588789165019989, ""backchain"": 2.6717066764831543, ""bc_g"": 0.00017918056983035058, ""bc_m"": 1.4629241228103638, ""bc_a"": 3.88031005859375}",0.16797,0.16797,1.05,2.00e-03,143871
11200,2.92404,"{""ntp"": 0.2301333248615265, ""backchain"": 2.6939024925231934, ""bc_g"": 0.0004351946117822081, ""bc_m"": 1.4198046922683716, ""bc_a"": 3.967564821243286}",0.19141,0.19141,1.03,2.00e-03,143586
11600,2.89660,"{""ntp"": 0.24148035049438477, ""backchain"": 2.655118465423584, ""bc_g"": 0.0002014685160247609, ""bc_m"": 1.3764601945877075, ""bc_a"": 3.93357515335083}",0.22266,0.22266,1.05,2.00e-03,143430
12000,2.86796,"{""ntp"": 0.24559582769870758, ""backchain"": 2.622366189956665, ""bc_g"": 0.00014936238585505635, ""bc_m"": 1.3601410388946533, ""bc_a"": 3.88444185256958}",0.18750,0.18750,1.04,2.00e-03,143445
12400,2.83612,"{""ntp"": 0.24752818048000336, ""backchain"": 2.5885887145996094, ""bc_g"": 0.00032810948323458433, ""bc_m"": 1.317899227142334, ""bc_a"": 3.85895037651062}",0.25391,0.25391,1.05,2.00e-03,143456
12800,2.81365,"{""ntp"": 0.2458723783493042, ""backchain"": 2.5677809715270996, ""bc_g"": 0.00023187357874121517, ""bc_m"": 1.2844791412353516, ""bc_a"": 3.850851058959961}",0.22266,0.22266,1.04,2.00e-03,143887
13200,2.76597,"{""ntp"": 0.23917101323604584, ""backchain"": 2.5267956256866455, ""bc_g"": 0.00047983331023715436, ""bc_m"": 1.2414991855621338, ""bc_a"": 3.811612367630005}",0.21484,0.21484,1.04,2.00e-03,143653
13600,2.69222,"{""ntp"": 0.23489652574062347, ""backchain"": 2.4573283195495605, ""bc_g"": 0.00014072086196392775, ""bc_m"": 1.1859204769134521, ""bc_a"": 3.728595733642578}",0.19531,0.19531,1.06,2.00e-03,143521
14000,2.63507,"{""ntp"": 0.246511772274971, ""backchain"": 2.3885631561279297, ""bc_g"": 0.00020370662969071418, ""bc_m"": 1.1824451684951782, ""bc_a"": 3.5944771766662598}",0.17188,0.17188,1.00,2.00e-03,143402
14400,2.55924,"{""ntp"": 0.24173100292682648, ""backchain"": 2.3175125122070312, ""bc_g"": 0.00018951673700939864, ""bc_m"": 1.1193311214447021, ""bc_a"": 3.5155043601989746}",0.14062,0.14062,1.08,2.00e-03,143993
14800,2.57068,"{""ntp"": 0.24585291743278503, ""backchain"": 2.324826240539551, ""bc_g"": 6.661172665189952e-05, ""bc_m"": 1.1462522745132446, ""bc_a"": 3.503333568572998}",0.17578,0.17578,1.02,2.00e-03,144241
15200,2.55572,"{""ntp"": 0.24806468188762665, ""backchain"": 2.307657241821289, ""bc_g"": 0.000993614550679922, ""bc_m"": 1.131089210510254, ""bc_a"": 3.483231782913208}",0.20312,0.20312,1.03,2.00e-03,144710
15600,2.53394,"{""ntp"": 0.2411201298236847, ""backchain"": 2.292818546295166, ""bc_g"": 0.0006166344974189997, ""bc_m"": 1.1136661767959595, ""bc_a"": 3.4713542461395264}",0.22656,0.22656,1.00,2.00e-03,144423
16000,2.52213,"{""ntp"": 0.24328851699829102, ""backchain"": 2.2788374423980713, ""bc_g"": 0.00012619227345567197, ""bc_m"": 1.0872864723205566, ""bc_a"": 3.470262289047241}",0.19922,0.19922,1.00,2.00e-03,144156
16400,2.51911,"{""ntp"": 0.24173152446746826, ""backchain"": 2.2773797512054443, ""bc_g"": 8.899777458282188e-05, ""bc_m"": 1.1178406476974487, ""bc_a"": 3.4368298053741455}",0.15234,0.15234,1.01,2.00e-03,144155
16800,2.48885,"{""ntp"": 0.24284479022026062, ""backchain"": 2.246001958847046, ""bc_g"": 0.00728619797155261, ""bc_m"": 1.0704821348190308, ""bc_a"": 3.4142355918884277}",0.23047,0.23047,1.06,2.00e-03,144589
17200,2.47537,"{""ntp"": 0.24177789688110352, ""backchain"": 2.2335968017578125, ""bc_g"": 0.0001832849666243419, ""bc_m"": 1.043583631515503, ""bc_a"": 3.423426389694214}",0.18750,0.18750,1.04,2.00e-03,145105
17600,2.47954,"{""ntp"": 0.24288463592529297, ""backchain"": 2.236651659011841, ""bc_g"": 0.00019448970851954073, ""bc_m"": 1.069836139678955, ""bc_a"": 3.4032726287841797}",0.21094,0.21094,1.01,2.00e-03,145056
18000,2.47579,"{""ntp"": 0.23849831521511078, ""backchain"": 2.2372922897338867, ""bc_g"": 0.001413406920619309, ""bc_m"": 1.0798285007476807, ""bc_a"": 3.3933424949645996}",0.16797,0.16797,1.00,2.00e-03,144921
18400,2.45922,"{""ntp"": 0.23879052698612213, ""backchain"": 2.220430850982666, ""bc_g"": 7.411523256450891e-05, ""bc_m"": 1.0457067489624023, ""bc_a"": 3.395081043243408}",0.19141,0.19141,1.02,2.00e-03,144750
18800,2.48279,"{""ntp"": 0.2359815388917923, ""backchain"": 2.2468059062957764, ""bc_g"": 0.0006627481780014932, ""bc_m"": 1.0542049407958984, ""bc_a"": 3.438744068145752}",0.19141,0.19141,1.03,2.00e-03,144660
19200,2.49242,"{""ntp"": 0.2430703341960907, ""backchain"": 2.249347686767578, ""bc_g"": 8.625368354842067e-05, ""bc_m"": 1.049167513847351, ""bc_a"": 3.449441432952881}",0.23047,0.23047,1.06,2.00e-03,144630
19600,2.49091,"{""ntp"": 0.24050450325012207, ""backchain"": 2.250405788421631, ""bc_g"": 0.0036465218290686607, ""bc_m"": 1.0696200132369995, ""bc_a"": 3.4275448322296143}",0.16016,0.16016,1.03,2.00e-03,144443
