step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
400,5.91071,"{""ntp"": 2.048072338104248, ""backchain"": 3.8626346588134766, ""bc_g"": 2.3817710876464844, ""bc_m"": 3.225450038909912, ""bc_a"": 2.1180479526519775}",0.00000,0.06250,25.27,1.00e-03,137826
800,5.19044,"{""ntp"": 1.9590070247650146, ""backchain"": 3.2314352989196777, ""bc_g"": 2.288560628890991, ""bc_m"": 2.9370052814483643, ""bc_a"": 1.2373045682907104}",0.00000,0.03125,11.12,9.99e-04,139204
1200,2.06401,"{""ntp"": 0.33558887243270874, ""backchain"": 1.7284188270568848, ""bc_g"": 0.005320284981280565, ""bc_m"": 2.698709726333618, ""bc_a"": 0.7528076171875}",0.17578,0.17578,7.64,9.96e-04,140568
1600,1.77671,"{""ntp"": 0.3331010043621063, ""backchain"": 1.443610668182373, ""bc_g"": 0.0032100242096930742, ""bc_m"": 2.191408157348633, ""bc_a"": 0.6926032304763794}",0.21484,0.21484,2.68,9.92e-04,140565
2000,1.56405,"{""ntp"": 0.28483620285987854, ""backchain"": 1.2792152166366577, ""bc_g"": 0.0026868032291531563, ""bc_m"": 1.8782739639282227, ""bc_a"": 0.6774696707725525}",0.22266,0.22266,2.41,9.87e-04,140462
2400,1.53176,"{""ntp"": 0.28145909309387207, ""backchain"": 1.250296711921692, ""bc_g"": 0.0009018090204335749, ""bc_m"": 1.739166498184204, ""bc_a"": 0.7605251669883728}",0.17969,0.17969,1.65,9.81e-04,142843
2800,1.53090,"{""ntp"": 0.26103854179382324, ""backchain"": 1.2698602676391602, ""bc_g"": 0.0009446914191357791, ""bc_m"": 1.616365671157837, ""bc_a"": 0.9224101305007935}",0.18750,0.18750,1.40,9.74e-04,144572
3200,1.55722,"{""ntp"": 0.26276078820228577, ""backchain"": 1.2944639921188354, ""bc_g"": 0.0006315709906630218, ""bc_m"": 1.5523048639297485, ""bc_a"": 1.0359915494918823}",0.23828,0.23828,1.36,9.65e-04,143364
3600,1.57044,"{""ntp"": 0.24526622891426086, ""backchain"": 1.3251787424087524, ""bc_g"": 0.0008835624321363866, ""bc_m"": 1.486566185951233, ""bc_a"": 1.1629077196121216}",0.20703,0.20703,1.25,9.55e-04,143970
4000,1.56477,"{""ntp"": 0.2522229552268982, ""backchain"": 1.31254243850708, ""bc_g"": 0.000978942378424108, ""bc_m"": 1.4095958471298218, ""bc_a"": 1.2145099639892578}",0.21094,0.21094,1.19,9.45e-04,142994
4400,1.60680,"{""ntp"": 0.25015780329704285, ""backchain"": 1.356640338897705, ""bc_g"": 0.0010389009257778525, ""bc_m"": 1.4019087553024292, ""bc_a"": 1.3103331327438354}",0.19922,0.19922,1.13,9.33e-04,142320
4800,1.55244,"{""ntp"": 0.23919054865837097, ""backchain"": 1.313248634338379, ""bc_g"": 0.000503982009831816, ""bc_m"": 1.3508981466293335, ""bc_a"": 1.2750952243804932}",0.20703,0.20703,1.14,9.20e-04,141619
5200,1.53181,"{""ntp"": 0.24165968596935272, ""backchain"": 1.2901549339294434, ""bc_g"": 0.00026969113969244063, ""bc_m"": 1.3276156187057495, ""bc_a"": 1.2524244785308838}",0.21094,0.21094,1.12,9.05e-04,141054
5600,1.55532,"{""ntp"": 0.24741938710212708, ""backchain"": 1.3078978061676025, ""bc_g"": 0.0003228898567613214, ""bc_m"": 1.3181297779083252, ""bc_a"": 1.2973428964614868}",0.21484,0.21484,1.09,8.90e-04,140542
6000,1.56888,"{""ntp"": 0.24486754834651947, ""backchain"": 1.3240134716033936, ""bc_g"": 0.0003182711952831596, ""bc_m"": 1.2791861295700073, ""bc_a"": 1.3685225248336792}",0.18750,0.18750,1.08,8.74e-04,140123
6400,1.57006,"{""ntp"": 0.2386568933725357, ""backchain"": 1.3313984870910645, ""bc_g"": 0.000329403585055843, ""bc_m"": 1.1647436618804932, ""bc_a"": 1.497723937034607}",0.20703,0.20703,1.06,8.58e-04,139736
6800,1.58396,"{""ntp"": 0.2471330165863037, ""backchain"": 1.3368301391601562, ""bc_g"": 0.00015061594604048878, ""bc_m"": 1.1529521942138672, ""bc_a"": 1.5205574035644531}",0.22266,0.22266,1.06,8.40e-04,139418
