step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
400,5.90526,"{""ntp"": 2.0371572971343994, ""backchain"": 3.8680992126464844, ""bc_g"": 2.3819098472595215, ""bc_m"": 3.218926191329956, ""bc_a"": 2.1353628635406494}",0.00000,0.06641,28.92,1.00e-03,133264
800,2.87665,"{""ntp"": 0.5008261799812317, ""backchain"": 2.3758249282836914, ""bc_g"": 0.6129716038703918, ""bc_m"": 3.069758892059326, ""bc_a"": 1.0689194202423096}",0.17188,0.17188,48.98,1.00e-03,143479
1200,2.05216,"{""ntp"": 0.366411030292511, ""backchain"": 1.6857494115829468, ""bc_g"": 0.008411881513893604, ""bc_m"": 2.638470411300659, ""bc_a"": 0.724616527557373}",0.20703,0.20703,15.59,1.00e-03,151855
1600,1.74674,"{""ntp"": 0.33594396710395813, ""backchain"": 1.41079843044281, ""bc_g"": 0.004297453444451094, ""bc_m"": 2.1827197074890137, ""bc_a"": 0.634579598903656}",0.19531,0.19531,8.29,1.00e-03,148196
2000,1.58268,"{""ntp"": 0.2944764494895935, ""backchain"": 1.2882027626037598, ""bc_g"": 0.0017317677848041058, ""bc_m"": 2.0215961933135986, ""bc_a"": 0.5530773401260376}",0.19922,0.19922,5.19,1.00e-03,146338
2400,1.60600,"{""ntp"": 0.2886486351490021, ""backchain"": 1.3173537254333496, ""bc_g"": 0.0017023234395310283, ""bc_m"": 1.983195424079895, ""bc_a"": 0.649809718132019}",0.16406,0.16406,3.52,1.00e-03,146263
2800,1.61875,"{""ntp"": 0.26554709672927856, ""backchain"": 1.35320246219635, ""bc_g"": 0.0010310992365702987, ""bc_m"": 1.917941689491272, ""bc_a"": 0.7874321341514587}",0.21094,0.21094,2.29,1.00e-03,145387
3200,1.66313,"{""ntp"": 0.253889262676239, ""backchain"": 1.4092406034469604, ""bc_g"": 0.0014302957570180297, ""bc_m"": 1.8715434074401855, ""bc_a"": 0.9455075263977051}",0.19922,0.19922,2.05,1.00e-03,144002
3600,1.73094,"{""ntp"": 0.2501199245452881, ""backchain"": 1.4808244705200195, ""bc_g"": 0.0012168119428679347, ""bc_m"": 1.847037672996521, ""bc_a"": 1.1133943796157837}",0.18750,0.18750,1.88,1.00e-03,142856
4000,1.74617,"{""ntp"": 0.2607588469982147, ""backchain"": 1.485412359237671, ""bc_g"": 0.00138441554736346, ""bc_m"": 1.8138973712921143, ""bc_a"": 1.1555430889129639}",0.23047,0.23047,1.69,1.00e-03,141903
4400,1.67187,"{""ntp"": 0.24815884232521057, ""backchain"": 1.423708200454712, ""bc_g"": 0.001722318702377379, ""bc_m"": 1.6662266254425049, ""bc_a"": 1.1794674396514893}",0.21875,0.21875,1.48,1.00e-03,141173
4800,1.60689,"{""ntp"": 0.24913187325000763, ""backchain"": 1.3577580451965332, ""bc_g"": 0.0011509633623063564, ""bc_m"": 1.529371738433838, ""bc_a"": 1.1849935054779053}",0.20703,0.20703,1.52,1.00e-03,140590
5200,1.59656,"{""ntp"": 0.2495008260011673, ""backchain"": 1.3470627069473267, ""bc_g"": 0.0009066189522854984, ""bc_m"": 1.473873496055603, ""bc_a"": 1.2193453311920166}",0.17578,0.17578,1.47,1.00e-03,140042
5600,1.63038,"{""ntp"": 0.24886451661586761, ""backchain"": 1.3815104961395264, ""bc_g"": 0.007508215960115194, ""bc_m"": 1.487488031387329, ""bc_a"": 1.2680246829986572}",0.17969,0.17969,1.39,1.00e-03,139640
6000,1.63795,"{""ntp"": 0.24556639790534973, ""backchain"": 1.3923797607421875, ""bc_g"": 0.0009249796275980771, ""bc_m"": 1.4616858959197998, ""bc_a"": 1.3221486806869507}",0.23047,0.23047,1.38,1.00e-03,140070
6400,1.63550,"{""ntp"": 0.24195705354213715, ""backchain"": 1.393541693687439, ""bc_g"": 0.0009598272736184299, ""bc_m"": 1.434264063835144, ""bc_a"": 1.351859450340271}",0.20703,0.20703,1.27,1.00e-03,142002
6800,1.63248,"{""ntp"": 0.25207218527793884, ""backchain"": 1.3804078102111816, ""bc_g"": 0.0011950223706662655, ""bc_m"": 1.410340666770935, ""bc_a"": 1.3492799997329712}",0.22656,0.22656,1.27,1.00e-03,144236
