step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
400,5.92508,"{""ntp"": 2.031125783920288, ""backchain"": 3.8939504623413086, ""bc_g"": 2.380817413330078, ""bc_m"": 3.2581968307495117, ""bc_a"": 2.1488866806030273}",0.00000,0.05078,30.90,1.00e-03,61740
800,4.99702,"{""ntp"": 1.7335602045059204, ""backchain"": 3.263455390930176, ""bc_g"": 1.9268115758895874, ""bc_m"": 3.0686144828796387, ""bc_a"": 1.5314844846725464}",0.00391,0.12500,9.60,1.00e-03,61913
1200,2.36510,"{""ntp"": 0.4233580231666565, ""backchain"": 1.9417383670806885, ""bc_g"": 0.006907717790454626, ""bc_m"": 2.887387990951538, ""bc_a"": 0.9891810417175293}",0.23438,0.23438,5.56,1.00e-03,62058
1600,2.18370,"{""ntp"": 0.34745678305625916, ""backchain"": 1.8362467288970947, ""bc_g"": 0.010980713181197643, ""bc_m"": 2.570639133453369, ""bc_a"": 1.0908737182617188}",0.22266,0.22266,2.70,1.00e-03,62172
2000,1.89551,"{""ntp"": 0.31504684686660767, ""backchain"": 1.5804598331451416, ""bc_g"": 0.002734808949753642, ""bc_m"": 2.1828341484069824, ""bc_a"": 0.9753506779670715}",0.22266,0.22266,1.87,1.00e-03,62243
2400,1.74723,"{""ntp"": 0.27457424998283386, ""backchain"": 1.4726587533950806, ""bc_g"": 0.001869600615464151, ""bc_m"": 2.076509475708008, ""bc_a"": 0.8669382929801941}",0.20703,0.20703,1.71,1.00e-03,62289
2800,1.73218,"{""ntp"": 0.26525452733039856, ""backchain"": 1.4669272899627686, ""bc_g"": 0.0018671491416171193, ""bc_m"": 2.0364599227905273, ""bc_a"": 0.895527720451355}",0.18750,0.18750,1.68,1.00e-03,62313
3200,1.56509,"{""ntp"": 0.25730279088020325, ""backchain"": 1.3077917098999023, ""bc_g"": 0.0012666955590248108, ""bc_m"": 1.684985876083374, ""bc_a"": 0.9293307065963745}",0.19531,0.19531,1.55,1.00e-03,62321
3600,1.51101,"{""ntp"": 0.2557576298713684, ""backchain"": 1.2552504539489746, ""bc_g"": 0.0007204958819784224, ""bc_m"": 1.5208792686462402, ""bc_a"": 0.9889012575149536}",0.16406,0.16406,1.33,1.00e-03,62326
4000,1.55130,"{""ntp"": 0.25216731429100037, ""backchain"": 1.2991310358047485, ""bc_g"": 0.007947461679577827, ""bc_m"": 1.476892113685608, ""bc_a"": 1.1134225130081177}",0.17188,0.17188,1.32,1.00e-03,62323
