step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
400,3.32895,"{""ntp"": 2.099224328994751, ""backchain"": 1.2297264337539673, ""bc_g"": 2.4594528675079346}",0.00000,0.04688,7.88,1.00e-03,144538
800,3.20311,"{""ntp"": 2.023632526397705, ""backchain"": 1.1794759035110474, ""bc_g"": 2.3589518070220947}",0.00000,0.04688,2.92,1.00e-03,150501
1200,3.12413,"{""ntp"": 1.9742355346679688, ""backchain"": 1.1498949527740479, ""bc_g"": 2.2997899055480957}",0.00000,0.06250,1.83,1.00e-03,151723
1600,0.42554,"{""ntp"": 0.4122670292854309, ""backchain"": 0.013269628398120403, ""bc_g"": 0.026539256796240807}",0.22266,0.22656,1.99,1.00e-03,163153
2000,0.35919,"{""ntp"": 0.35212379693984985, ""backchain"": 0.007064899895340204, ""bc_g"": 0.014129799790680408}",0.24219,0.25000,1.99,1.00e-03,167119
2400,0.39654,"{""ntp"": 0.39465776085853577, ""backchain"": 0.001886032521724701, ""bc_g"": 0.003772065043449402}",0.18750,0.18750,1.56,1.00e-03,163893
2800,0.35387,"{""ntp"": 0.35371115803718567, ""backchain"": 0.0001588311861269176, ""bc_g"": 0.0003176623722538352}",0.18359,0.18359,1.84,1.00e-03,161598
3200,0.33062,"{""ntp"": 0.33050617575645447, ""backchain"": 0.00011226575588807464, ""bc_g"": 0.00022453151177614927}",0.18359,0.18359,1.58,1.00e-03,160039
3600,0.31857,"{""ntp"": 0.3185562193393707, ""backchain"": 1.599093957338482e-05, ""bc_g"": 3.198187914676964e-05}",0.22656,0.23047,1.46,1.00e-03,159253
4000,0.32341,"{""ntp"": 0.3189564645290375, ""backchain"": 0.004453107714653015, ""bc_g"": 0.00890621542930603}",0.22656,0.22656,1.44,1.00e-03,158611
4400,0.31016,"{""ntp"": 0.31014490127563477, ""backchain"": 1.5781954061822034e-05, ""bc_g"": 3.156390812364407e-05}",0.21484,0.21484,1.41,1.00e-03,157530
4800,0.29099,"{""ntp"": 0.2891359329223633, ""backchain"": 0.0018574605928733945, ""bc_g"": 0.003714921185746789}",0.16406,0.16406,1.55,1.00e-03,156405
5200,0.27426,"{""ntp"": 0.274223655462265, ""backchain"": 3.773527350858785e-05, ""bc_g"": 7.54705470171757e-05}",0.19531,0.19531,1.55,1.00e-03,155876
5600,0.29859,"{""ntp"": 0.29585716128349304, ""backchain"": 0.002735954476520419, ""bc_g"": 0.005471908953040838}",0.20703,0.20703,1.59,1.00e-03,154078
6000,0.28464,"{""ntp"": 0.2750174403190613, ""backchain"": 0.009618285112082958, ""bc_g"": 0.019236570224165916}",0.21094,0.21094,1.38,1.00e-03,153994
6400,0.27534,"{""ntp"": 0.27352118492126465, ""backchain"": 0.0018158899620175362, ""bc_g"": 0.0036317799240350723}",0.22266,0.22656,1.57,1.00e-03,153926
6800,0.26888,"{""ntp"": 0.2688477635383606, ""backchain"": 3.653607200249098e-05, ""bc_g"": 7.307214400498196e-05}",0.19141,0.19141,1.45,1.00e-03,153269
7200,0.29413,"{""ntp"": 0.2938224971294403, ""backchain"": 0.0003116141597274691, ""bc_g"": 0.0006232283194549382}",0.15234,0.15234,1.40,1.00e-03,152697
7600,0.25591,"{""ntp"": 0.2558597922325134, ""backchain"": 4.646359957405366e-05, ""bc_g"": 9.292719914810732e-05}",0.24609,0.24609,1.35,1.00e-03,153170
8000,0.25889,"{""ntp"": 0.25889018177986145, ""backchain"": 3.363892801644397e-06, ""bc_g"": 6.727785603288794e-06}",0.21094,0.21094,1.40,1.00e-03,152494
8400,0.27220,"{""ntp"": 0.27137476205825806, ""backchain"": 0.0008265524520538747, ""bc_g"": 0.0016531049041077495}",0.16016,0.16016,1.56,1.00e-03,151653
8800,0.26884,"{""ntp"": 0.26817649602890015, ""backchain"": 0.000661258352920413, ""bc_g"": 0.001322516705840826}",0.24609,0.24609,1.38,1.00e-03,153546
9200,0.26423,"{""ntp"": 0.2640860974788666, ""backchain"": 0.00014693016419187188, ""bc_g"": 0.00029386032838374376}",0.25391,0.25391,1.58,1.00e-03,152347
9600,0.25469,"{""ntp"": 0.254686564207077, ""backchain"": 8.089545190159697e-06, ""bc_g"": 1.6179090380319394e-05}",0.18359,0.18359,1.44,1.00e-03,152849
10000,0.25293,"{""ntp"": 0.2526906132698059, ""backchain"": 0.000237325657508336, ""bc_g"": 0.000474651315016672}",0.17969,0.17969,1.51,1.00e-03,153461
10400,0.26413,"{""ntp"": 0.2640845477581024, ""backchain"": 4.4010925194015726e-05, ""bc_g"": 8.802185038803145e-05}",0.21875,0.21875,1.47,1.00e-03,153236
10800,0.26242,"{""ntp"": 0.2620463967323303, ""backchain"": 0.0003727925068233162, ""bc_g"": 0.0007455850136466324}",0.21484,0.21484,1.48,1.00e-03,153191
11200,0.25951,"{""ntp"": 0.25945141911506653, ""backchain"": 6.138838216429576e-05, ""bc_g"": 0.00012277676432859153}",0.20312,0.20312,1.36,1.00e-03,153180
11600,0.25248,"{""ntp"": 0.25234586000442505, ""backchain"": 0.00012956968566868454, ""bc_g"": 0.0002591393713373691}",0.19922,0.19922,1.32,1.00e-03,152401
12000,0.25400,"{""ntp"": 0.2539573311805725, ""backchain"": 4.12996050727088e-05, ""bc_g"": 8.25992101454176e-05}",0.17969,0.17969,1.34,1.00e-03,152273
12400,0.24355,"{""ntp"": 0.2435286045074463, ""backchain"": 1.9025959772989154e-05, ""bc_g"": 3.805191954597831e-05}",0.19141,0.19141,1.32,1.00e-03,152063
12800,0.24974,"{""ntp"": 0.24971500039100647, ""backchain"": 2.039090577454772e-05, ""bc_g"": 4.078181154909544e-05}",0.23047,0.23047,1.27,1.00e-03,152238
13200,0.23983,"{""ntp"": 0.23982378840446472, ""backchain"": 1.0980113984260242e-05, ""bc_g"": 2.1960227968520485e-05}",0.21484,0.21484,1.23,1.00e-03,152245
13600,0.25002,"{""ntp"": 0.2500174939632416, ""backchain"": 7.407360953948228e-06, ""bc_g"": 1.4814721907896455e-05}",0.17578,0.17578,1.23,1.00e-03,151723
14000,0.24804,"{""ntp"": 0.24800072610378265, ""backchain"": 3.79818920919206e-05, ""bc_g"": 7.59637841838412e-05}",0.16406,0.16406,1.40,1.00e-03,151751
14400,0.24667,"{""ntp"": 0.2466643899679184, ""backchain"": 7.32211856302456e-06, ""bc_g"": 1.464423712604912e-05}",0.22266,0.22266,1.30,1.00e-03,151154
14800,0.24629,"{""ntp"": 0.24626830220222473, ""backchain"": 2.628693800943438e-05, ""bc_g"": 5.257387601886876e-05}",0.25781,0.25781,1.29,1.00e-03,151217
15200,0.25248,"{""ntp"": 0.25246304273605347, ""backchain"": 1.5263480236171745e-05, ""bc_g"": 3.052696047234349e-05}",0.23438,0.23438,1.30,1.00e-03,151783
15600,0.24607,"{""ntp"": 0.2460641860961914, ""backchain"": 7.314758022403112e-06, ""bc_g"": 1.4629516044806223e-05}",0.19531,0.19531,1.31,1.00e-03,151914
16000,0.24018,"{""ntp"": 0.24017705023288727, ""backchain"": 2.0086658878426533e-06, ""bc_g"": 4.017331775685307e-06}",0.19531,0.19531,1.27,1.00e-03,151802
