step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
400,4.87406,"{""ntp"": 2.0580379962921143, ""backchain"": 2.8160223960876465, ""bc_g"": 2.4002432823181152, ""bc_m"": 3.2318012714385986}",0.00000,0.03906,6.52,1.00e-03,62857
800,4.50465,"{""ntp"": 1.9210379123687744, ""backchain"": 2.583613157272339, ""bc_g"": 2.249683141708374, ""bc_m"": 2.9175431728363037}",0.00000,0.05859,2.12,1.00e-03,63448
1200,4.38172,"{""ntp"": 1.8727205991744995, ""backchain"": 2.508997678756714, ""bc_g"": 2.1859118938446045, ""bc_m"": 2.8320834636688232}",0.00000,0.03125,1.46,1.00e-03,63645
1600,4.28354,"{""ntp"": 1.8443357944488525, ""backchain"": 2.439208745956421, ""bc_g"": 2.1435139179229736, ""bc_m"": 2.734903573989868}",0.00000,0.05469,1.23,1.00e-03,63746
2000,4.23044,"{""ntp"": 1.8269904851913452, ""backchain"": 2.4034481048583984, ""bc_g"": 2.1215932369232178, ""bc_m"": 2.685302972793579}",0.00000,0.04297,1.16,1.00e-03,63817
2400,4.23121,"{""ntp"": 1.8213462829589844, ""backchain"": 2.4098620414733887, ""bc_g"": 2.126673936843872, ""bc_m"": 2.6930501461029053}",0.00000,0.05078,1.13,1.00e-03,63855
2800,4.10132,"{""ntp"": 1.7715511322021484, ""backchain"": 2.329763889312744, ""bc_g"": 2.0621845722198486, ""bc_m"": 2.5973434448242188}",0.00000,0.02344,1.08,1.00e-03,63883
3200,4.08156,"{""ntp"": 1.7615495920181274, ""backchain"": 2.320007085800171, ""bc_g"": 2.047145366668701, ""bc_m"": 2.5928688049316406}",0.00000,0.05078,1.06,1.00e-03,63891
3600,4.04920,"{""ntp"": 1.755624771118164, ""backchain"": 2.293578863143921, ""bc_g"": 2.0444726943969727, ""bc_m"": 2.542685031890869}",0.00000,0.06250,1.06,1.00e-03,63918
4000,4.03865,"{""ntp"": 1.7504361867904663, ""backchain"": 2.2882165908813477, ""bc_g"": 2.0385239124298096, ""bc_m"": 2.5379090309143066}",0.00000,0.05078,1.06,1.00e-03,63932
4400,3.94080,"{""ntp"": 1.7161873579025269, ""backchain"": 2.2246131896972656, ""bc_g"": 1.9994115829467773, ""bc_m"": 2.449814796447754}",0.00000,0.04688,1.05,1.00e-03,63948
4800,3.84582,"{""ntp"": 1.6534658670425415, ""backchain"": 2.19235897064209, ""bc_g"": 1.9263792037963867, ""bc_m"": 2.458338975906372}",0.00000,0.05078,1.05,1.00e-03,63957
