step,loss,loss_parts,embed_acc,perm_valid,edge_f1,erank_last,lr,tok_per_s
400,1.41331,"{""ntp"": 0.8953956365585327, ""mtp"": 0.5179176330566406}",0.00000,0.25391,0.13239,10.09,1.00e-03,166570
800,1.11089,"{""ntp"": 0.6819841265678406, ""mtp"": 0.42890965938568115}",0.00000,0.98438,0.15213,22.81,1.00e-03,168596
1200,0.63094,"{""ntp"": 0.24615851044654846, ""mtp"": 0.384785532951355}",0.01172,0.33203,0.70879,32.01,1.00e-03,176629
1600,0.45474,"{""ntp"": 0.21166597306728363, ""mtp"": 0.2430698573589325}",0.02344,0.19531,0.68992,36.16,1.00e-03,179984
2000,0.40307,"{""ntp"": 0.18094080686569214, ""mtp"": 0.22212643921375275}",0.15625,0.48047,0.86993,43.33,1.00e-03,180282
2400,0.38335,"{""ntp"": 0.17283682525157928, ""mtp"": 0.21051588654518127}",0.19141,0.45703,0.87628,43.15,1.00e-03,176522
2800,0.38051,"{""ntp"": 0.17634287476539612, ""mtp"": 0.2041657269001007}",0.19922,0.48828,0.88963,46.00,1.00e-03,174809
3200,0.35403,"{""ntp"": 0.16523365676403046, ""mtp"": 0.18879446387290955}",0.21094,0.41016,0.87676,45.31,1.00e-03,174466
3600,0.35041,"{""ntp"": 0.16401496529579163, ""mtp"": 0.18639256060123444}",0.19531,0.42578,0.86692,42.14,1.00e-03,173509
4000,0.33868,"{""ntp"": 0.15610356628894806, ""mtp"": 0.18257716298103333}",0.28516,0.56641,0.89766,40.26,1.00e-03,172694
4400,0.33643,"{""ntp"": 0.15245351195335388, ""mtp"": 0.18397697806358337}",0.28516,0.53516,0.90830,37.74,1.00e-03,172416
4800,0.33429,"{""ntp"": 0.15659452974796295, ""mtp"": 0.1776973158121109}",0.27344,0.48828,0.89672,38.78,1.00e-03,172170
5200,0.32485,"{""ntp"": 0.149930939078331, ""mtp"": 0.17491428554058075}",0.29688,0.62109,0.91108,36.65,1.00e-03,171375
5600,0.32976,"{""ntp"": 0.15042877197265625, ""mtp"": 0.17932985723018646}",0.24609,0.62891,0.90041,34.66,1.00e-03,170893
6000,0.32139,"{""ntp"": 0.1482209861278534, ""mtp"": 0.17316775023937225}",0.34766,0.63281,0.91307,34.01,1.00e-03,170471
6400,0.31735,"{""ntp"": 0.14604362845420837, ""mtp"": 0.17130766808986664}",0.28516,0.59375,0.89829,34.29,1.00e-03,170608
6800,0.31829,"{""ntp"": 0.14717260003089905, ""mtp"": 0.17111434042453766}",0.38672,0.66797,0.92487,27.63,1.00e-03,170258
7200,0.31744,"{""ntp"": 0.14675229787826538, ""mtp"": 0.170684352517128}",0.36328,0.69531,0.92707,25.59,1.00e-03,169996
7600,0.31449,"{""ntp"": 0.14602875709533691, ""mtp"": 0.16846555471420288}",0.37891,0.68359,0.92326,25.86,1.00e-03,169746
8000,0.31094,"{""ntp"": 0.14377453923225403, ""mtp"": 0.16716887056827545}",0.44922,0.70703,0.92475,25.88,1.00e-03,169508
8400,0.30867,"{""ntp"": 0.14301256835460663, ""mtp"": 0.16565485298633575}",0.44141,0.71484,0.93169,24.62,1.00e-03,169385
8800,0.30660,"{""ntp"": 0.1396970897912979, ""mtp"": 0.16690167784690857}",0.50781,0.73438,0.93526,22.76,1.00e-03,169287
9200,0.30381,"{""ntp"": 0.13724300265312195, ""mtp"": 0.16656893491744995}",0.46094,0.75391,0.93279,22.74,1.00e-03,168979
9600,0.30449,"{""ntp"": 0.14133614301681519, ""mtp"": 0.16314971446990967}",0.48828,0.76953,0.94157,21.60,1.00e-03,169125
10000,0.30572,"{""ntp"": 0.13969619572162628, ""mtp"": 0.16602781414985657}",0.57812,0.75000,0.94832,20.44,1.00e-03,168905
10400,0.30419,"{""ntp"": 0.13923469185829163, ""mtp"": 0.16495224833488464}",0.51172,0.78906,0.94169,17.67,1.00e-03,168560
10800,0.30182,"{""ntp"": 0.13971327245235443, ""mtp"": 0.1621054708957672}",0.49609,0.69922,0.93595,21.49,1.00e-03,168575
11200,0.29376,"{""ntp"": 0.13437572121620178, ""mtp"": 0.1593855321407318}",0.48438,0.71484,0.92936,18.57,1.00e-03,168753
11600,0.30003,"{""ntp"": 0.13660939037799835, ""mtp"": 0.16341979801654816}",0.60547,0.78906,0.95367,17.91,1.00e-03,169441
12000,0.30038,"{""ntp"": 0.13770908117294312, ""mtp"": 0.16267573833465576}",0.58984,0.73828,0.94501,17.41,1.00e-03,169283
12400,0.29998,"{""ntp"": 0.1356511265039444, ""mtp"": 0.16432996094226837}",0.59375,0.78125,0.94997,16.51,1.00e-03,169123
12800,0.29164,"{""ntp"": 0.13294896483421326, ""mtp"": 0.15869098901748657}",0.59766,0.81641,0.95241,14.93,1.00e-03,168989
13200,0.29181,"{""ntp"": 0.13289619982242584, ""mtp"": 0.15890905261039734}",0.63672,0.79688,0.95505,13.49,1.00e-03,168880
13600,0.29355,"{""ntp"": 0.13487228751182556, ""mtp"": 0.15867967903614044}",0.57812,0.80469,0.94855,14.98,1.00e-03,168818
14000,0.28775,"{""ntp"": 0.131204754114151, ""mtp"": 0.1565459817647934}",0.65625,0.84766,0.96241,13.74,1.00e-03,168740
14400,0.28777,"{""ntp"": 0.1303439885377884, ""mtp"": 0.15743045508861542}",0.73047,0.87891,0.96963,13.70,1.00e-03,168612
14800,0.28491,"{""ntp"": 0.12902934849262238, ""mtp"": 0.15587565302848816}",0.71484,0.85156,0.96538,14.09,1.00e-03,168489
15200,0.28532,"{""ntp"": 0.13026757538318634, ""mtp"": 0.1550494134426117}",0.65625,0.82031,0.95296,13.00,1.00e-03,168875
15600,0.28559,"{""ntp"": 0.12917368113994598, ""mtp"": 0.15642015635967255}",0.65234,0.83203,0.95701,11.45,1.00e-03,168794
16000,0.27824,"{""ntp"": 0.12485725432634354, ""mtp"": 0.15338444709777832}",0.71875,0.84766,0.96401,11.88,1.00e-03,168701
16400,0.27804,"{""ntp"": 0.12501877546310425, ""mtp"": 0.15302357077598572}",0.73438,0.86328,0.96502,10.44,1.00e-03,168778
16800,0.27909,"{""ntp"": 0.126724973320961, ""mtp"": 0.1523660272359848}",0.66016,0.82812,0.95464,11.71,1.00e-03,168759
17200,0.28024,"{""ntp"": 0.12913042306900024, ""mtp"": 0.15110869705677032}",0.79297,0.90625,0.97530,10.13,1.00e-03,168789
17600,0.27775,"{""ntp"": 0.12641941010951996, ""mtp"": 0.15133385360240936}",0.75391,0.89062,0.97151,11.56,1.00e-03,168618
18000,0.27824,"{""ntp"": 0.12712910771369934, ""mtp"": 0.1511113941669464}",0.66406,0.83594,0.95633,9.42,1.00e-03,168511
18400,0.27360,"{""ntp"": 0.12272153794765472, ""mtp"": 0.15088051557540894}",0.70703,0.82422,0.96082,11.66,1.00e-03,168536
18800,0.27255,"{""ntp"": 0.12361331284046173, ""mtp"": 0.14893192052841187}",0.73828,0.85156,0.96746,10.48,1.00e-03,168941
19200,0.26936,"{""ntp"": 0.1207461953163147, ""mtp"": 0.14860978722572327}",0.77734,0.91406,0.97258,9.39,1.00e-03,168957
19600,0.27627,"{""ntp"": 0.12537124752998352, ""mtp"": 0.15089499950408936}",0.71484,0.82812,0.96383,8.70,1.00e-03,168881
20000,0.26715,"{""ntp"": 0.12131629884243011, ""mtp"": 0.14583054184913635}",0.71875,0.86719,0.96878,9.44,1.00e-03,168811
20400,0.26062,"{""ntp"": 0.11364207416772842, ""mtp"": 0.1469811499118805}",0.70312,0.87500,0.96599,10.63,1.00e-03,168737
20800,0.28410,"{""ntp"": 0.12896855175495148, ""mtp"": 0.15513567626476288}",0.73047,0.84375,0.96735,10.58,1.00e-03,168672
21200,0.26966,"{""ntp"": 0.11960592120885849, ""mtp"": 0.15005189180374146}",0.72656,0.85156,0.96245,9.03,1.00e-03,168619
21600,0.26824,"{""ntp"": 0.12068718671798706, ""mtp"": 0.1475478708744049}",0.69531,0.81250,0.95748,10.41,1.00e-03,168568
22000,0.26941,"{""ntp"": 0.12138928472995758, ""mtp"": 0.1480172872543335}",0.73047,0.85547,0.96767,9.69,1.00e-03,168510
22400,0.26620,"{""ntp"": 0.12068025767803192, ""mtp"": 0.14551647007465363}",0.73828,0.86328,0.96660,8.65,1.00e-03,168450
22800,0.26283,"{""ntp"": 0.12007337808609009, ""mtp"": 0.14275912940502167}",0.70703,0.84375,0.95952,8.56,1.00e-03,168394
23200,0.26708,"{""ntp"": 0.11867626011371613, ""mtp"": 0.1484076827764511}",0.76562,0.89453,0.97229,8.60,1.00e-03,168384
23600,0.26819,"{""ntp"": 0.12012757360935211, ""mtp"": 0.14806042611598969}",0.78906,0.89844,0.97171,7.77,1.00e-03,168332
24000,0.26235,"{""ntp"": 0.11727356165647507, ""mtp"": 0.14507713913917542}",0.82422,0.91016,0.97900,7.66,1.00e-03,168315
24400,0.26253,"{""ntp"": 0.1173783615231514, ""mtp"": 0.14514775574207306}",0.76562,0.86719,0.96990,8.94,1.00e-03,168382
