step,loss,loss_parts,embed_acc,perm_valid,edge_f1,erank_last,lr,tok_per_s
400,0.91802,"{""ntp"": 0.9180178046226501}",0.00000,0.28125,0.12566,3.47,1.00e-03,197652
800,0.71299,"{""ntp"": 0.712993323802948}",0.00000,0.87109,0.13812,5.77,1.00e-03,206513
1200,0.63852,"{""ntp"": 0.6385241746902466}",0.00000,0.92188,0.14593,6.72,1.00e-03,209786
1600,0.63435,"{""ntp"": 0.634354829788208}",0.00000,0.92188,0.13431,6.32,1.00e-03,211256
2000,0.59551,"{""ntp"": 0.5955077409744263}",0.00000,0.86719,0.22943,8.09,1.00e-03,212687
2400,0.23975,"{""ntp"": 0.2397533357143402}",0.00781,0.25000,0.73835,6.78,1.00e-03,212314
2800,0.24103,"{""ntp"": 0.24103176593780518}",0.01172,0.17188,0.75365,6.77,1.00e-03,212097
3200,0.21313,"{""ntp"": 0.21313129365444183}",0.03125,0.16406,0.76665,7.34,1.00e-03,211840
3600,0.21842,"{""ntp"": 0.21841998398303986}",0.03125,0.11328,0.77501,6.96,1.00e-03,211689
4000,0.21923,"{""ntp"": 0.2192346602678299}",0.03906,0.10938,0.77936,6.97,1.00e-03,211652
4400,0.22664,"{""ntp"": 0.2266407459974289}",0.01562,0.10938,0.76438,6.65,1.00e-03,211510
4800,0.20834,"{""ntp"": 0.20834390819072723}",0.03125,0.15234,0.77965,6.99,1.00e-03,211609
5200,0.21125,"{""ntp"": 0.2112492322921753}",0.03125,0.10547,0.77458,6.43,1.00e-03,211509
5600,0.21138,"{""ntp"": 0.21138013899326324}",0.04688,0.12500,0.79362,6.70,1.00e-03,211172
6000,0.20762,"{""ntp"": 0.20761650800704956}",0.03906,0.15625,0.77616,5.68,1.00e-03,211009
6400,0.20570,"{""ntp"": 0.20569728314876556}",0.05078,0.16016,0.78392,5.08,1.00e-03,210935
6800,0.21197,"{""ntp"": 0.21196718513965607}",0.01172,0.11719,0.77627,5.76,1.00e-03,210902
7200,0.20633,"{""ntp"": 0.2063324898481369}",0.02734,0.13281,0.78715,5.17,1.00e-03,210852
7600,0.20729,"{""ntp"": 0.20729473233222961}",0.02344,0.11328,0.76482,5.43,1.00e-03,210885
8000,0.20416,"{""ntp"": 0.20416152477264404}",0.02344,0.08594,0.77719,5.40,1.00e-03,210842
8400,0.20519,"{""ntp"": 0.20518936216831207}",0.02734,0.10938,0.78842,5.73,1.00e-03,210787
8800,0.20489,"{""ntp"": 0.20488594472408295}",0.04688,0.11328,0.76686,6.03,1.00e-03,210725
9200,0.20808,"{""ntp"": 0.20807912945747375}",0.03906,0.16016,0.78989,5.59,1.00e-03,210602
9600,0.20001,"{""ntp"": 0.20001134276390076}",0.04297,0.12500,0.79356,5.44,1.00e-03,210541
10000,0.20393,"{""ntp"": 0.20393489301204681}",0.00781,0.09375,0.78397,5.16,1.00e-03,210542
