step,loss,loss_parts,path_acc,decision_acc,erank_last,lr,tok_per_s
400,2.14318,"{""ntp"": 2.143181562423706}",0.00000,0.03906,5.66,1.00e-03,177578
800,1.99034,"{""ntp"": 1.9903353452682495}",0.00000,0.07422,3.47,1.00e-03,180603
1200,1.93698,"{""ntp"": 1.9369792938232422}",0.00000,0.05078,3.22,1.00e-03,181237
1600,1.85691,"{""ntp"": 1.8569108247756958}",0.00000,0.06641,2.42,1.00e-03,181547
2000,1.81279,"{""ntp"": 1.8127872943878174}",0.00000,0.05078,1.60,1.00e-03,181703
2400,1.80717,"{""ntp"": 1.8071715831756592}",0.00000,0.05078,1.77,1.00e-03,181674
2800,1.78538,"{""ntp"": 1.7853840589523315}",0.00000,0.03906,1.58,1.00e-03,181613
3200,1.80320,"{""ntp"": 1.8032015562057495}",0.00000,0.03516,1.45,1.00e-03,181509
3600,1.79879,"{""ntp"": 1.7987862825393677}",0.00000,0.06641,1.55,1.00e-03,181429
4000,1.76626,"{""ntp"": 1.7662616968154907}",0.00000,0.01953,1.48,1.00e-03,181384
4400,1.76601,"{""ntp"": 1.7660081386566162}",0.00000,0.04688,1.70,1.00e-03,181362
4800,1.76305,"{""ntp"": 1.7630517482757568}",0.00000,0.04297,1.78,1.00e-03,181373
5200,1.76902,"{""ntp"": 1.7690242528915405}",0.00000,0.04688,1.39,1.00e-03,181415
5600,1.75403,"{""ntp"": 1.7540308237075806}",0.00000,0.06250,1.45,1.00e-03,181457
6000,1.75756,"{""ntp"": 1.757556676864624}",0.00000,0.05859,1.39,1.00e-03,181497
6400,1.32516,"{""ntp"": 1.3251582384109497}",0.03516,0.40234,1.32,1.00e-03,181523
6800,0.03098,"{""ntp"": 0.03097512386739254}",0.96094,0.97656,1.32,1.00e-03,181561
7200,0.02374,"{""ntp"": 0.02374306693673134}",0.98438,0.99219,2.37,1.00e-03,181586
7600,0.00654,"{""ntp"": 0.006543510593473911}",1.00000,1.00000,1.41,1.00e-03,181633
8000,0.00118,"{""ntp"": 0.001179937506094575}",0.98828,1.00000,1.33,1.00e-03,181672
8400,0.00015,"{""ntp"": 0.0001516829215688631}",0.98828,0.99219,1.55,1.00e-03,181687
